population_2024,Population_growthRate,Country_land_area,country,region,unMember,population_density_km,population_densityMi,BillionairesRichestBillionaire2023,BillionairesRichestNetWorth2023,BillionairesPerMillionPeople2023,BillionairesTotalNetWorth2023
1441719852,0.00916,3287590,India,Asia,TRUE,484.9067,1255.9084,Mukesh Ambani,83.4,0.103,669.2
1425178782,-0.00035,9706961,China,Asia,TRUE,151.2174,391.653,Zhong Shanshan,68,0.253,1644.7
341814420,0.00535,9372610,United States,North America,TRUE,37.3673,96.7813,Elon Musk,180,1.853,4490.8
279798049,0.00816,1904569,Indonesia,Asia,TRUE,149.0254,385.9758,Low Tuck Kwong,25.5,0.056,138.4
229152217,0.02389,923768,Nigeria,Africa,TRUE,251.6027,651.6511,Aliko Dangote,14.2,0.014,28.5
217637297,0.00561,8515767,Brazil,South America,TRUE,26.039,67.4409,Vicky Safra & family,16.7,0.211,160.4
174701211,0.0101,147570,Bangladesh,Asia,TRUE,1342.1004,3476.0401,Muhammed Aziz Khan,1,1,
143957079,-0.00337,17098242,Russia,Europe,TRUE,8.7903,22.7668,Andrey Melnichenko & family,25.2,0.856,471.3
129388467,0.00726,1964375,Mexico,North America,TRUE,66.5596,172.3893,Carlos Slim Helu & family,93,0.095,168.9
122631432,-0.00538,377930,Japan,Asia,TRUE,336.4374,871.3729,Tadashi Yanai & family,32.6,0.207,151.1
119106224,0.01508,342353,Philippines,Asia,TRUE,399.4574,1034.5948,Manuel Villar,8.6,0.136,41.4
114484252,0.01568,1002450,Egypt,Africa,TRUE,115.0075,297.8695,Nassef Sawiris,7.4,0.059,19.1
99497680,0.00646,331212,Vietnam,Asia,TRUE,317.4489,822.1926,Pham Nhat Vuong,4.3,0.041,12.6
86260417,0.00518,783562,Turkey,Asia,TRUE,110.0875,285.1267,Ibrahjim Ergemoglu,5.3,0.298,57.8
83252474,-0.00051,357114,Germany,Europe,TRUE,238.2795,617.1439,Dieter Schwarz,42.9,1.46,583
71885799,0.00118,513120,Thailand,Asia,TRUE,140.707,364.4311,Dhanin Chearavanont,14.9,0.3,100.8
69419073,0.02938,945087,Tanzania,Africa,TRUE,78.3688,202.9752,Mohammed Dewji,1.5,0.017,1.5
67961439,0.00332,242900,United Kingdom,Europe,TRUE,280.9136,727.5663,James Ratcliffe,22.9,0.715,202
64881830,0.00193,551695,France,Europe,TRUE,118.4933,306.8976,Bernard Arnault & family,211,0.576,590
61020221,0.01003,1221037,South Africa,Africa,TRUE,50.3015,130.2808,Johann Rupert & family,11.1,0.084,25.6
58697744,-0.00294,301336,Italy,Europe,TRUE,198.493,514.0968,Giovanni Ferrero,38.9,0.607,215.6
52340774,0.00491,1141748,Colombia,South America,TRUE,47.1751,122.1835,Luis Carlos Sarmiento,6.4,0.079,18.1
51741963,-0.00081,100210,South Korea,Asia,TRUE,530.1431,1373.0705,Jay Y. Lee,7.9,0.395,74.4
47473373,-0.00097,505992,Spain,Europe,TRUE,95.031,246.1303,Amancio Ortega,77.3,0.507,135.2
46278751,0.01474,2381741,Algeria,Africa,TRUE,19.4306,50.3254,Issad Rebrab & family,4.6,0.022,4.6
46057866,0.0062,2780400,Argentina,South America,TRUE,16.8298,43.5891,Marcos Galperin,4.9,0.109,12.8
40221726,-0.01961,312679,Poland,Europe,TRUE,131.3877,340.2942,Michal Solowow,6.2,0.183,21.6
39107046,0.0084,9984670,Canada,North America,TRUE,4.3619,11.2973,David Thomson & family,54.4,1.129,245.1
38211459,0.00982,446550,Morocco,Africa,TRUE,85.6183,221.7515,Aziz Akhannouch & family,1.5,0.028,2.8
37937821,0.03247,603500,Ukraine,Europe,TRUE,65.4778,169.5874,Rinat Akhmetov,5.7,0.144,11.6
34683444,0.00963,1285216,Peru,South America,TRUE,27.0964,70.1798,"Anne Marie See Pastor, Carlos Rodriguez-Pastor, George Pastor",1.5,0.061,5.5
