Released Date,Movie,Worldwide,India Hindi Net,India Gross,Overseas,Budget,Verdict
22 Dec 2023,Salaar: Cease Fire - Part 1,325,53.2,247.3,77.7,200,None
21 Dec 2023,Aquaman and the Lost Kingdom,-,0.4,-,-,1,None
21 Dec 2023,Dunki,157,106.43,90,67,1,None
07 Dec 2023,Hi Nanna,67.1,0.11,50.9,16.2,1,None
01 Dec 2023,Sam Bahadur,114.2,81.9,96.7,17.5,1,None
01 Dec 2023,Animal,869.85,486.39,638.85,231,200,All Time Blockbuster
24 Nov 2023,Anaari is Back,-,0.31,-,-,1,Disaster
24 Nov 2023,Napoleon,655,1.54,6.75,385,1,None
24 Nov 2023,Farrey,3.2,2.68,3.2,0,1,None
17 Nov 2023,Khichdi 2,5.25,5.9,5.25,0,1,None
12 Nov 2023,Tiger 3,464,276.62,339.5,124.5,300,None
10 Nov 2023,The Marvels,1050,3.87,14.35,575,1,None
10 Nov 2023,Jigarthanda Double X,64.55,0.02,52.25,12.3,1,None
03 Nov 2023,UT 69,0.12,0.49,0.12,0,1,None
03 Nov 2023,Aankh Micholi,2.4,2,2.4,0,1,None
27 Oct 2023,Sajini Shinde Ka Viral Video,0.8,0.65,0.8,0,1,Disaster
27 Oct 2023,12th Fail,66.5,53.21,63,3.5,1,SuperHit
27 Oct 2023,Tejas,8.05,6.2,7.3,0.75,1,Disaster
20 Oct 2023,Yaariyan 2,3.5,2.75,3.25,0.25,1,None
20 Oct 2023,Tiger Nageswara Rao,49,2.02,44.5,4.5,1,None
20 Oct 2023,Ganapath - A Hero Is Born,18,13.02,15.5,2.5,1,Disaster
19 Oct 2023,Leo,605.9,27.17,401.9,204,1,SuperHit
06 Oct 2023,The Exorcist: Believer,930,1.73,6,924,1,Disaster
06 Oct 2023,Thank You For Coming,9.6,6.87,8,1.6,1,None
06 Oct 2023,Dono,1.1,0.95,1.1,0,1,None
06 Oct 2023,Mission Raniganj,46,34.17,40.4,5.6,1,None
28 Sep 2023,The Vaccine War,14.7,10.33,12.2,2.5,1,None
28 Sep 2023,Chandramukhi 2,54.1,0.81,46.1,8,1,None
28 Sep 2023,Skanda,53,0.31,48.75,4.25,1,None
28 Sep 2023,Fukrey 3,127.75,95.95,113.25,14.5,1,Hit
22 Sep 2023,Expend4bles,295,1.37,5.2,289.8,1,None
