Name,Price,Producer,MPN,EAN,UPC,Supported Sockets,Height,TDP,80mm Fans,92mm Fans,120mm Fans,140mm Fans,200mm Fans,Additional Fan Support,Product Page
be quiet! Dark Rock 4 - 135mm,$64.54 USD,be quiet!,BK021,4260052186251,4260052186251,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, AM5, 1700",159 mm,200 W,0,0,0,0,0,True,https://www.amazon.ca/dp/B07BYP9S95?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Arctic Freezer 34 - 120mm,$30.72 USD,Arctic,ACFRE00052A,4895213701440,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",157 mm,150 W,0,0,0,0,0,True,https://www.amazon.ca/ARCTIC-Freezer-34-Pressure-Optimised-Technology/dp/B07L9T4YC2?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07L9T4YC2
"Arctic Freezer 34 eSports Duo , 2x 120mm - red",$51.28 USD,Arctic,ACFRE00060A,4895213701860,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, 1700",157 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B07MC8CRVZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Arctic Freezer 34 eSports Duo , 2x 120mm - white",$44.94 USD,Arctic,ACFRE00061A,4895213701877,872767009790,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, 1700",157 mm,,0,0,0,0,0,False,https://www.amazon.ca/Freezer-34-Esports-Duo-White/dp/B07MJGNJB3?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07MJGNJB3
Arctic Freezer A11 - 92mm,,Arctic,UCACO-FA11001-CSA01,0872767006829,,"AM2, AM3, AM3+, FM1, FM2, FM2+",130 mm,,0,0,0,0,0,False,
Arctic Freezer A32 - 120mm,,Arctic,ACFRE00005A,0872767007703,,"AM2, AM3, AM3+, FM1, FM2, FM2+",150 mm,,0,0,0,0,0,True,
Arctic Freezer I11 - 92mm,$28.29 USD,Arctic,UCACO-FI11001-CSA01,0872767006812,,"1150, 1151, 1155, 1156, 2011, 2011-V3",130 mm,,0,1,0,0,0,False,https://www.amazon.ca/Freezer-i11-Capacity-Heatpipes-Vibration-Dampened/dp/B00HO9P05A?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00HO9P05A
Arctic Freezer i32,,ARCTIC,Arctic Freezer i32,0872767007697,,"1150, 1151, 1155, 1156, 2011, 2011-V3",150 mm,,0,0,0,0,0,False,
Arctic Liquid Freezer II Processor,,Arctic,ACFRE00068A,4895213701983,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066",0 mm,,0,0,3,0,0,False,
Arctic Liquid Freezer II Processor,,Arctic,ACFRE00066A,4895213701976,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",0 mm,,0,0,0,2,0,False,
