Name,Price,Producer,MPN,EAN,UPC,Width,Depth,Height,Motherboard,Power Supply,Supported GPU Length,Supported CPU Cooler Height,80mm Fans,120mm Fans,140mm Fans,200mm Fans,120mm Radiator Support,140mm Radiator Support,240mm Radiator Support,280mm Radiator Support,360mm Radiator Support,"Disk 2.5""","Disk 3.5""","Disk 2.5""/3.5""","Disk 5.25""",Primary Color(s),Window,Dust Filter,Cable Management,Noise Isolation,Product Page
Corsair 4000D Airflow Tempered Glass Midi-Tower - white Window,$87.03 USD,Corsair,CC-9011201-WW,0840006621928,,230 mm,453 mm,466 mm,E-ATX,ATX,360 mm,170 mm,0/0,2/6,0/4,0/0,1,0,0,1,1,2,0,0,,white,True,True,True,False,https://www.amazon.ca/dp/B08C74694Z?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Aerocool Aero-300 Midi-Tower - black,,Aerocool,EN51738,4713105951738,,198 mm,415 mm,460 mm,ATX,ATX,372 mm,160 mm,0/0,1/7,0/0,0/0,,,,,,3,2,0,,black,False,True,True,False,
Antec P5 Mini - black,$75.82 USD,Antec,0-761345-80012-9,0761345800129,,195 mm,475 mm,395 mm,Micro-ATX,ATX,360 mm,155 mm,0/0,1/3,1/1,0/0,1,0,1,0,0,4,0,0,,black,False,True,True,True,https://www.amazon.ca/Antec-Performance-P5-Dampening-Pre-Installed/dp/B07GCJ9ND3?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07GCJ9ND3
Be quiet! Pure Base 500DX - black,,be quiet!,BGW37,4260052187937,,232 mm,450 mm,463 mm,ATX,ATX,369 mm,190 mm,0/0,0/6,3/5,0/0,0,0,1,0,1,5,2,0,,black,True,True,True,False,
Be quiet! Pure Base 500DX - white,,be quiet!,BGW38,4260052187944,,232 mm,450 mm,463 mm,ATX,ATX,369 mm,190 mm,0/0,0/6,3/5,0/0,0,0,1,0,1,5,2,0,,white,True,True,True,False,
BitFenix Aegis Core Micro-ATX - blue/black,,BitFenix,BFC-AEG-300-BKWN1-RP,4712883212697,,205 mm,480 mm,470 mm,Micro-ATX,ATX,350 mm,170 mm,0/0,1/8,0/5,0/0,1,0,2,0,2,4,4,0,,"blue, black",True,True,True,False,
BitFenix Aegis Core Micro-ATX - yellow/black,,BitFenix,BFC-AEG-300-YKWN1-RP,4712883212703,,205 mm,480 mm,470 mm,Micro-ATX,ATX,350 mm,170 mm,0/0,1/8,0/5,0/0,1,0,2,0,2,4,4,0,,yellow black,True,True,True,False,
BitFenix Aegis Core Micro-ATX - red/black,,BitFenix,BFC-AEG-300-RKWN1-RP,4712883212680,886027012154,205 mm,480 mm,470 mm,Micro-ATX,ATX,350 mm,170 mm,0/0,1/8,0/5,0/0,1,0,2,0,2,4,4,0,,red black,True,True,True,False,
BitFenix Aegis Core Micro-ATX - black,,BitFenix,BFC-AEG-300-KKWN1-RP,4712883212666,,205 mm,480 mm,470 mm,Micro-ATX,ATX,350 mm,170 mm,0/0,1/8,0/5,0/0,,,,,,4,4,0,,black,True,True,True,False,
BitFenix Aegis Core Micro-ATX - white/black,,BitFenix,BFC-AEG-300-WKWN1-RP,4712883212673,,205 mm,480 mm,470 mm,Micro-ATX,ATX,350 mm,170 mm,0/0,1/8,0/5,0/0,1,0,2,0,2,4,4,0,,black-and-white,True,True,True,False,
