Name,Price,Producer,MPN,EAN,UPC,Socket,Chipset,Unlocked,Form Factor,Memory Type,Memory Capacity,RAM Slots,SATA,VGA,DVI,Display Port,HDMI,WiFi,Integrated Graphics,Product Page
MSI B550-A Pro,$145.07 USD,MSI,7C56-002R,4719072733667,824142219362,AM4,B550,False,ATX,DDR4,128 GB,4,6,0,0,1,1,False,False,https://www.amazon.ca/dp/B089CZSQB4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASRock 970 PRO3 R2.0 GL/SATA600/R/USB3.0 970,,ASRock,970 PRO3 R2.0,4717677320190,,AM3+,970,False,ATX,DDR3, GB,4,,,,,,False,False,
ASRock A88M-G/3.1 A88X,,ASRock,A88M-G/3.1,4717677329377,4717677329377,FM2+,A88X,False,Micro-ATX,DDR3,64 GB,4,8,1,1,0,1,False,False,
ASRock B250 Pro4,,ASRock,90-MXB3S0-A0UAYZ,4717677332445,,1151,B250,False,ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,
ASRock B360 Pro4,$112.72 USD,ASRock,90-MXB6V0-A0UAYZ,4717677335262,,1151,B360,False,ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,https://www.amazon.ca/ASRock-B360-PRO4-CrossFireX-Motherboard/dp/B07BMVTZDY?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BMVTZDY
ASRock B360M Pro4,$92.4 USD,ASRock,90-MXB760-A0UAYZ,4717677335149,,1151,B360,False,Micro-ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,https://www.amazon.ca/ASRock-B360M-PRO4-CrossFireX-Motherboard/dp/B07BMVV827?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BMVV827
ASRock B360M-ITX/AC,$103.49 USD,ASRock,90-MXB790-A0UAYZ,4717677335163,,1151,B360,False,Mini-ITX,DDR4,32 GB,2,4,0,0,0,0,False,False,https://www.amazon.ca/ASRock-B360M-ITX-AC-Mini-ITX-Motherboard/dp/B07BMVHFBW?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BMVHFBW
ASRock B650 PG Lightning,,ASRock,90-MXBK20-A0UAYZ,4710483940910,,AM5,B650,False,ATX,DDR5,128 GB,4,4,0,0,1,1,True,False,
ASRock B650 Pro RS,,ASRock,90-MXBL10-A0UAYZ,4710483940750,,AM5,B650,False,ATX,DDR5,128 GB,4,2,0,0,1,1,True,False,
ASRock B650M PG Riptide,$159.58 USD,ASRock,90-MXBJ90-A0UAYZ,4710483940835,,AM5,B650E,False,Micro-ATX,DDR5,128 GB,4,4,0,0,1,1,False,False,https://www.amazon.ca/dp/B0BHYV43QV?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASRock Fatal1ty B250M Performance,,ASRock,90-MXB4R0-A0UAYZ,4717677332513,,1151,B250,False,Micro-ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,
ASRock Fatal1ty X399 Professional Gaming,$431.41 USD,ASRock,90-MXB5Q0-A0UAYZ,4717677333930,,TR4,X399,True,ATX,DDR4,128 GB,8,8,0,0,0,0,False,False,https://www.amazon.ca/dp/B074J6LVBD?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASRock FM2A88M Pro3+,,ASRock,FM2A88M PRO3+,4717677324860,,FM2+,A88X,False,Micro-ATX,DDR3,64 GB,4,8,1,1,0,1,False,False,
ASRock H110M-HDS,,ASRock,90-MXB150-A0UAYZ,4717677329261,,1151,H110,False,Micro-ATX,DDR4,32 GB,2,4,0,0,0,0,False,False,
ASRock H110M-ITX/ac,,ASRock,90-MXB1H0-A0UAYZ,4717677329551,,1151,H110,False,Mini-ITX,DDR4,32 GB,2,4,0,0,0,0,False,False,
ASRock H97M Anniversary,,ASRock,H97M Anniversary,4717677324310,,1150,H97,False,Micro-ATX,DDR3,32 GB,4,6,1,1,0,1,False,False,
