Name,Price,Producer,MPN,EAN,UPC,Watt,Size,Efficiency Rating,Product Page
"Seasonic Core GM 80 Plus Gold, semi-modular",,Seasonic,CORE-GM-650,4711173875703,,650 W,ATX,80 PLUS Gold,
Aerocool Project 7,,Aerocool,ACPP-P775FEC.11,4713105957532,,750 W,ATX,80 Plus Platinum,
Aerocool Project 7,,Aerocool,ACPP-P765FEC.11,4713105957525,841269051194,650 W,ATX,80 Plus Platinum,
be quiet! Dark Power Pro P11 modular,,be quiet!,BN252,4260052183779,4260052183779,750 W,ATX,80 PLUS Platinum,
be quiet! Dark Power Pro P11 modular,,be quiet!,BN255,4260052183809,4260052183809,1200 W,ATX,80 PLUS Platinum,
be quiet! Dark Power Pro P11 modular,,be quiet!,BN254,4260052183793,4260052183793,1000 W,ATX,80 PLUS Platinum,
be quiet! Dark Power Pro P11 modular,,be quiet!,BN253,4260052183786,4260052183786,850 W,ATX,80 PLUS Platinum,
be quiet! Pure Power 11 80 PLUS Bronze,,be quiet!,BN290,4260052186312,,300 W,ATX,80 PLUS Bronze,
be quiet! Pure Power 11 80 PLUS Gold,,be quiet!,BN293,4260052186343,,500 W,ATX,80 PLUS Gold,
be quiet! Pure Power 11 80 PLUS Gold,,be quiet!,BN292,4260052186336,,400 W,ATX,80 PLUS Gold,
be quiet! Pure Power 11 80 PLUS Gold,,be quiet!,BN294,4260052186350,,600 W,ATX,80 PLUS Gold,
be quiet! Pure Power 11 80 PLUS Gold,,be quiet!,BN295,4260052186367,,700 W,ATX,80 PLUS Gold,
be quiet! Pure Power 11 CM 80 PLUS Gold,,be quiet!,BN297,4260052186381,,500 W,ATX,80 PLUS Gold,
be quiet! Pure Power 11 CM 80 PLUS Gold,,be quiet!,BN296,4260052186374,,400 W,ATX,80 PLUS Gold,
be quiet! Pure Power 11 CM 80 PLUS Gold,,be quiet!,BN298,4260052186398,,600 W,ATX,80 PLUS Gold,
be quiet! Pure Power 11 CM 80 PLUS Gold,,be quiet!,BN299,4260052186404,,700 W,ATX,80 PLUS Gold,
be quiet! Pure Power 12M,,be quiet!,BN344,4260052189498,,850 W,ATX,80 PLUS Gold,
be quiet! Pure Power 12M,,be quiet!,BN341,4260052189467,,550 W,ATX,80 PLUS Gold,
be quiet! Pure Power 12M,,be quiet!,BN343,4260052189481,,750 W,ATX,80 PLUS Gold,
be quiet! Pure Power 12M,,be quiet!,BN342,4260052189474,,650 W,ATX,80 PLUS Gold,
be quiet! Straight Power 11,,be quiet!,BN284,4260052185797,,850 W,ATX,80 PLUS Gold,
be quiet! Straight Power 11,,be quiet!,BN285,4260052185803,,1000 W,ATX,80 PLUS Gold,
BitFenix Formula 80 PLUS Gold,,BitFenix,BP-FM450ULAG-9R,4712883216497,886027015551,450 W,ATX,80 PLUS Gold,
BitFenix Formula 80 PLUS Gold,,BitFenix,BP-FM550ULAG-9R,4712883216480,,550 W,ATX,80 PLUS Gold,
BitFenix Formula 80 PLUS Gold,,BitFenix,BP-FM650ULAG-9R,4712883216473,,650 W,ATX,80 PLUS Gold,
BitFenix Whisper M 80 PLUS Gold,,BitFenix,BP-WG450UMAG-9FM,4712883216091,886027015179,450 W,ATX,80 PLUS Gold,
BitFenix Whisper M 80 PLUS Gold,,BitFenix,BP-WG650UMAG-9FM,4712883216084,,650 W,ATX,80 PLUS Gold,
BitFenix Whisper M 80 PLUS Gold,,BitFenix,BP-WG550UMAG-9FM,4712883216060,886027015162,550 W,ATX,80 PLUS Gold,
BitFenix Whisper M 80 PLUS Gold,,BitFenix,BP-WG850UMAG-9FM,4712883216121,,850 W,ATX,80 PLUS Gold,
Cooler Master MasterWatt,,Cooler Master,MPX-4501-AMAAB-EU,4719512053126,,450 W,ATX,80 Plus Bronze,
Corsair CX450,$43.52 USD,Corsair,CP-9020120-NA,0843591083928,843591083928,450 W,ATX,80 Plus Bronze,https://www.amazon.ca/dp/B01MTZ96RU?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair CX450M,$47.14 USD,Corsair,CP-9020101-NA,0843591057967,843591057967,450 W,ATX,80 Plus Bronze,https://www.amazon.ca/dp/B01B72VXE6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair CX550,$68.9 USD,Corsair,CP-9020121-NA,0843591084000,843591084000,550 W,ATX,80 Plus Bronze,https://www.amazon.ca/dp/B01MRW2K79?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair RM Series RM1000i,,Corsair,CP-9020084-EU,0843591045735,,1000 W,ATX,80 PLUS Gold,
Corsair RM Series RM650,,Corsair,CP-9020194-EU,0840006603443,,650 W,ATX,80 PLUS Gold,
Corsair RM Series RM750,,Corsair,CP-9020195-EU,0840006604167,,750 W,ATX,80 PLUS Gold,
Corsair RM Series RM850,,Corsair,CP-9020196-EU,0840006604341,,850 W,ATX,80 PLUS Gold,
Corsair RM Series RM850i,,Corsair,CP-9020083-EU,0843591045650,,850 W,ATX,80 PLUS Gold,
Corsair RM550x,$78.25 USD,Corsair,CP-9020090-NA,0843591050586,843591050586,550 W,ATX,80 Plus Gold,https://www.amazon.ca/Corsair-RM550x-Modular-Certified-Warranty/dp/B015YEICJ2?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B015YEICJ2
Corsair RM750x,$108.8 USD,Corsair,CP-9020092-NA,0843591050746,843591050746,750 W,ATX,80 Plus Gold,https://www.amazon.ca/Corsair-RM750x-Modular-Certified-Warranty/dp/B015YEI9NQ?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B015YEI9NQ
Corsair RMX Series RM1000x,,Corsair,CP-9020094-EU,0843591050876,,1000 W,ATX,80 PLUS Gold,
Corsair RMX Series RM750x,,Corsair,CP-9020179-EU,0843591034937,,750 W,ATX,80 PLUS Gold,
Corsair RMX Series RM850x,,Corsair,CP-9020180-EU,0843591035156,,850 W,ATX,80 PLUS Gold,
Corsair RMX Series RMX550,,Corsair,CP-9020090-EU,0843591050555,,550 W,ATX,80 Plus Gold,
Corsair RMX Series RMX550x,,Corsair,CP-9020177-EU,0843591034562,,550 W,ATX,80 PLUS Gold,
Corsair RMX Series RMX650,,Corsair,CP-9020091-EU,0843591050630,,650 W,ATX,80 Plus Gold,
Corsair RMX Series RMX650x,,Corsair,CP-9020178-EU,0843591034821,,650 W,ATX,80 PLUS Gold,
Corsair RMX Series RMX750,,Corsair,CP-9020092-EU,0843591050715,,750 W,ATX,80 Plus Gold,
Corsair RMX Series RMX850,,Corsair,CP-9020093-EU,0843591050791,,850 W,ATX,80 Plus Gold,
Corsair SF Series SF450 80 PLUS Gold SFX,,Corsair,CP-9020104-EU,0843591068932,,450 W,SFX,80 PLUS Gold,
Corsair TX550M,$90.66 USD,Corsair,CP-9020133-NA,0843591091282,843591091282,550 W,ATX,80 Plus Gold,https://www.amazon.ca/dp/B01MSEYY23?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair TX550M Series Modular,,Corsair,CP-9020133-EU,0843591091251,,550 W,ATX,80 PLUS Gold,
Corsair TX650M,$93.57 USD,Corsair,CP-9020132-NA,0843591091206,843591091206,650 W,ATX,80 Plus Gold,https://www.amazon.ca/dp/B01N18J52E?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair TX650M Series Modular,,Corsair,CP-9020132-EU,0843591091176,,650 W,ATX,80 PLUS Gold,
Corsair TX750M,$79.78 USD,Corsair,CP-9020131-NA,0843591091121,843591091121,750 W,ATX,80 Plus Gold,https://www.amazon.ca/dp/B00FZLD2O0?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair TX750M Series Modular,,Corsair,CP-9020131-EU,0843591091091,,750 W,ATX,80 PLUS Gold,
Corsair TX850M,$101.55 USD,Corsair,CP-9020130-NA,0843591091046,843591091046,850 W,ATX,80 Plus Gold,https://www.amazon.ca/dp/B01N5WW9GQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair TX850M Series Modular,,Corsair,CP-9020130-EU,0843591091015,,850 W,ATX,80 PLUS Gold,
