Date,Open,High,Low,Close,Adj Close,Volume
2020-04-06,0.832005,1.313487,0.694187,0.882507,0.882507,169963617
2020-04-13,0.890760,0.891603,0.598487,0.606969,0.606969,98322797
2020-04-20,0.612948,0.706964,0.508549,0.635506,0.635506,75064649
2020-04-27,0.635714,0.800816,0.561028,0.679535,0.679535,39629143
2020-05-04,0.679625,0.705812,0.513081,0.537034,0.537034,19268839
2020-05-11,0.536255,0.640196,0.505194,0.612989,0.612989,15758356
2020-05-18,0.612682,0.676432,0.543346,0.549053,0.549053,19697324
2020-05-25,0.548570,0.650138,0.538064,0.570022,0.570022,18807900
2020-06-01,0.573472,0.698279,0.552294,0.616578,0.616578,11877653
2020-06-08,0.615078,0.679001,0.569920,0.587077,0.587077,7225481
2020-06-15,0.588373,0.836398,0.547287,0.673149,0.673149,14147524
2020-06-22,0.672577,0.843977,0.645877,0.798495,0.798495,14227035
2020-06-29,0.798495,1.029176,0.642635,0.691664,0.691664,16145755
2020-07-06,0.691664,1.130978,0.686580,1.016716,1.016716,16048041
2020-07-13,1.016716,1.396835,0.801884,0.920349,0.920349,31220453
2020-07-20,0.920515,1.624648,0.851878,1.565110,1.565110,38034970
2020-07-27,1.565098,2.095622,1.411973,1.742810,1.742810,74731416
2020-08-03,1.732290,2.706823,1.668726,2.665228,2.665228,58976190
2020-08-10,2.665228,4.155814,2.525898,3.385653,3.385653,157896317
2020-08-17,3.385653,3.709911,2.757327,3.322431,3.322431,103753874
2020-08-24,3.312222,4.705005,3.027719,4.435823,4.435823,136427394
2020-08-31,4.421679,4.944731,2.191675,3.086043,3.086043,151191948
2020-09-07,3.086084,3.851309,2.389806,3.225839,3.225839,153606653
2020-09-14,3.231526,3.524934,2.370034,2.870903,2.870903,124777487
2020-09-21,2.870903,3.265165,2.500419,3.152947,3.152947,109827379
2020-09-28,3.152705,3.204191,2.428889,2.515995,2.515995,67453281
2020-10-05,2.519135,2.662624,2.028526,2.426578,2.426578,72552919
2020-10-12,2.426115,2.698639,2.127921,2.214267,2.214267,68018930
2020-10-19,2.213372,2.213512,1.768644,1.787459,1.787459,80270681
2020-10-26,1.787459,1.862990,1.342213,1.599840,1.599840,74750301
2020-11-02,1.599840,2.481369,1.281868,2.156598,2.156598,133138411
2020-11-09,2.156598,2.307988,1.831728,2.043234,2.043234,98143126
2020-11-16,2.043234,2.498828,1.994853,2.144845,2.144845,111834343
2020-11-23,2.144845,2.477587,1.741493,1.915155,1.915155,129542341
2020-11-30,1.915142,2.221310,1.815854,1.854249,1.854249,79457418
2020-12-07,1.853451,1.895688,1.440602,1.565456,1.565456,58106721
2020-12-14,1.567968,1.803120,1.523698,1.563576,1.563576,87948911
2020-12-21,1.563775,1.618326,1.090161,1.303042,1.303042,73858538
2020-12-28,1.303993,2.364981,1.294349,2.161752,2.161752,176917320
2021-01-04,2.162412,3.779320,1.876342,3.466111,3.466111,681730871
2021-01-11,3.461065,3.965372,2.597124,3.818139,3.818139,472415305
