,Unnamed: 0,Name,Date_Of_Birth,Country,Test,ODI,T20
0,2,Aaftab Alam Khan,31/01/1986,Malta,,,27
1,3,Aamer Hameed,18/10/1954,Pakistan,,2.0,
2,4,Aamer Hanif,04/10/1971,Pakistan,,5.0,
3,5,Aamer Ikram,07/07/1979,Portugal,,,4
4,6,Aamer Jamal,05/07/1996,Pakistan,2.0,,4
5,7,Aamer Malik,03/01/1963,Pakistan,14.0,24.0,
6,8,Aamer Yamin,26/06/1990,Pakistan,,4.0,2
7,9,Aamir Kaleem,20/11/1981,Oman,,3.0,33
8,10,Aamir Lal,10/08/1990,South Korea,,,4
9,11,Aamir Nazir,02/01/1971,Pakistan,6.0,9.0,
10,12,Aamir Sohail,14/09/1966,Pakistan,47.0,156.0,
11,13,Aanand Pandey,20/10/1993,Luxembourg,,,3
12,14,Aaqib Javed,05/08/1972,Pakistan,22.0,163.0,
13,15,Aarif Sheikh,05/10/1997,Nepal,,48.0,31
14,16,V R Aaron,29/10/1989,India,9.0,9.0,
15,17,Aarush Bhagwat,12/09/2003,Hong Kong,,,4
16,18,Aasif Sheikh,22/01/2001,Nepal,,43.0,33
17,19,Aayan Afzal Khan,15/11/2005,United Arab Emirates,,25.0,21
18,20,J Ababu,15/04/1980,Kenya,,9.0,
19,21,P Abanda,12/03/1985,Cameroon,,,13
20,22,Abass Gbla,15/10/1997,Sierra Leone,,,27
21,23,Abbas Ghani,16/11/2000,Hungary,,,2
22,24,Abbas Saad,01/06/1986,Saudi Arabia,,,2
23,25,Z Abbasi,22/04/1987,Botswana,,,4
24,26,K J Abbott,18/06/1987,South Africa,11.0,28.0,21
25,27,S A Abbott,29/02/1992,Australia,,18.0,14
26,28,Abdul Baladraf,11/04/2000,Saudi Arabia,,,9
27,29,Abdul Bashir,01/06/1998,Germany,,,1
28,30,Abdul Farhad,20/01/1990,Czech Republic,,,4
29,31,Abdul Hashmi,04/09/1997,Denmark,,,21
30,32,Abdul Jabbar,01/03/1983,Canada,,2.0,
31,33,Abdul Kadir,10/05/1944,Pakistan,4.0,,
32,34,Abdul Majid,13/02/1992,Bahrain,,,7
33,35,Abdul Majid Abbasi,07/09/1993,Bahrain,,,13
34,36,Abdul Malik,11/03/1998,Afghanistan,2.0,,
