"Language","Endonym","World Region","Country","Global Speakers","Language Family","Location","Size","Status"
"Abaza","Абаза","Western Asia","Turkey,
Russia","49,800","Abkhaz-Adyge","Wayne (NJ)","Smallest","Residential"
"Abruzzese","","Southern Europe","Italy","","Indo-European","Astoria","Small","Residential"
"Abruzzese","","Southern Europe","Italy","","Indo-European","Little Italy","Small","Historical"
"Acehnese","Bahsa Acèh","Southeastern Asia","Indonesia","3,500,000","Austronesian","Astoria","Smallest","Community"
"Acehnese","Bahsa Acèh","Southeastern Asia","Indonesia","3,500,000","Austronesian","Elmhurst","Smallest","Residential"
"Adjoukrou","","Western Africa","Ivory Coast","140,000","Atlantic-Congo","Concourse","Smallest","Residential"
"Adyghe","","Western Asia","Turkey,
Russia","117,500","Abkhaz-Adyge","Wayne (NJ)","Small","Residential"
"Afenmai","Afenmai","Western Africa","Nigeria","270,000","Atlantic-Congo","Castle Hill","Smallest","Residential"
"African-American English","Black English","Northern America","United States","45,109,521","Indo-European","Bedford-Stuyvesant","Largest","Residential"
"African-American English","Black English","Northern America","United States","45,109,521","Indo-European","Newark (NJ)","Largest","Residential"
"African-American English","Black English","Northern America","United States","45,109,521","Indo-European","Clifton","Largest","Residential"
"African-American English","Black English","Northern America","United States","45,109,521","Indo-European","Hollis","Largest","Residential"
"African-American English","Black English","Northern America","United States","45,109,521","Indo-European","Edenwald","Largest","Residential"
"African-American English","Black English","Northern America","United States","45,109,521","Indo-European","Central Harlem","Largest","Residential"
"African-American English","Black English","Northern America","United States","45,109,521","Indo-European","Hempstead (NY)","Large","Residential"
"Afrikaans","Afrikaans","Southern Africa","South Africa,
Zimbabwe","17,543,580","Indo-European","Murray Hill","Small","Community"
"Akan","Akan","Western Africa","Ghana","9,231,300","Atlantic-Congo","Flatbush","Small","Residential"
"Akan","Akan","Western Africa","Ghana","9,231,300","Atlantic-Congo","Shore Acres","Small","Residential"
"Akan","Akan","Western Africa","Ghana","9,231,300","Atlantic-Congo","University Heights","Large","Residential"
"Akan","Akan","Western Africa","Ghana","9,231,300","Atlantic-Congo","TriBeCa","Medium","Historical"
"Aklanon","Akeanon","Southeastern Asia","Philippines","525,600","Austronesian","Woodside","Smallest","Residential"
"Algerian Arabic","دزيرية","Northern Africa","Algeria,
Egypt","32,387,600","Afro-Asiatic","Bath Beach","Medium","Residential"
"Algerian Arabic","دزيرية","Northern Africa","Algeria,
Egypt","32,387,600","Afro-Asiatic","Astoria","Medium","Residential"
"Alsatian","Ëlsässisch","Western Europe","France","500,000","Indo-European","Roosevelt Island","Small","Residential"
"Amdo Tibetan","ཨ་མདོ་སྐད་","Eastern Asia","China,
India","1,800,000","Sino-Tibetan","Jackson Heights","Medium","Residential"
"Amdo Tibetan","ཨ་མདོ་སྐད་","Eastern Asia","China,
India","1,800,000","Sino-Tibetan","DUMBO","Small","Community"
"American Sign Language","American Sign Language","Northern America","United States","271,700",,"Jackson Heights","Large","Residential"
"American Sign Language","American Sign Language","Northern America","United States","271,700",,"Tompkinsville","Large","Residential"
"American Sign Language","American Sign Language","Northern America","United States","271,700",,"Midwood","Large","Residential"
"American Sign Language","American Sign Language","Northern America","United States","271,700",,"Upper East Side","Large","Residential"
"American Sign Language","American Sign Language","Northern America","United States","271,700",,"Pelham Bay","Large","Residential"
"Amharic","ኣማርኛ","Eastern Africa","Ethiopia","25,880,630","Afro-Asiatic","East Orange (NJ)","Small","Residential"
"Amharic","ኣማርኛ","Eastern Africa","Ethiopia","25,880,630","Afro-Asiatic","Norwood","Small","Residential"
"Amharic","ኣማርኛ","Eastern Africa","Ethiopia","25,880,630","Afro-Asiatic","Hamilton Heights","Small","Residential"
"Amuzgo","","Central America","Mexico","45,900","Otomanguean","Corona","Smallest","Residential"
"Anaang","Anaañ","Western Africa","Nigeria","2,550,000","Atlantic-Congo","Norwood","Small","Residential"
"Ancient Greek","","Southern Europe","Greece","","Indo-European","SoHo","Smallest","Reviving"
"Antigua and Barbuda Creole","Creole","Caribbean","Antigua and Barbuda","150,000","Indo-European","Central Harlem","Small","Community"
"Ao","Ao","Southern Asia","India","","Sino-Tibetan","Edison (NJ)","Smallest","Residential"
"Appolo","Nzema","Western Africa","Ghana,
Ivory Coast","412,000","Atlantic-Congo","Concourse","Smallest","Residential"
"Apulo-Lucano","Materano","Southern Europe","Italy","","Indo-European","Chinatown","Small","Historical"
"Arbëresh","Arbëresh","Southern Europe","Italy","380,000","Indo-European","Great Kills","Small","Residential"
"Arbëresh","Arbëresh","Southern Europe","Italy","380,000","Indo-European","Lower East Side","Small","Historical"
"Arbëresh","Arbëresh","Southern Europe","Italy","380,000","Indo-European","Mott Haven","Small","Historical"
