ISO3,Country,Continent,Hemisphere,Human Development Groups,UNDP Developeing Regions,HDI Rank (2021),"Maternal Mortality Ratio (deaths per 100,000 live births) (1990)","Maternal Mortality Ratio (deaths per 100,000 live births) (1991)","Maternal Mortality Ratio (deaths per 100,000 live births) (1992)","Maternal Mortality Ratio (deaths per 100,000 live births) (1993)","Maternal Mortality Ratio (deaths per 100,000 live births) (1994)","Maternal Mortality Ratio (deaths per 100,000 live births) (1995)","Maternal Mortality Ratio (deaths per 100,000 live births) (1996)","Maternal Mortality Ratio (deaths per 100,000 live births) (1997)","Maternal Mortality Ratio (deaths per 100,000 live births) (1998)","Maternal Mortality Ratio (deaths per 100,000 live births) (1999)","Maternal Mortality Ratio (deaths per 100,000 live births) (2000)","Maternal Mortality Ratio (deaths per 100,000 live births) (2001)","Maternal Mortality Ratio (deaths per 100,000 live births) (2002)","Maternal Mortality Ratio (deaths per 100,000 live births) (2003)","Maternal Mortality Ratio (deaths per 100,000 live births) (2004)","Maternal Mortality Ratio (deaths per 100,000 live births) (2005)","Maternal Mortality Ratio (deaths per 100,000 live births) (2006)","Maternal Mortality Ratio (deaths per 100,000 live births) (2007)","Maternal Mortality Ratio (deaths per 100,000 live births) (2008)","Maternal Mortality Ratio (deaths per 100,000 live births) (2009)","Maternal Mortality Ratio (deaths per 100,000 live births) (2010)","Maternal Mortality Ratio (deaths per 100,000 live births) (2011)","Maternal Mortality Ratio (deaths per 100,000 live births) (2012)","Maternal Mortality Ratio (deaths per 100,000 live births) (2013)","Maternal Mortality Ratio (deaths per 100,000 live births) (2014)","Maternal Mortality Ratio (deaths per 100,000 live births) (2015)","Maternal Mortality Ratio (deaths per 100,000 live births) (2016)","Maternal Mortality Ratio (deaths per 100,000 live births) (2017)","Maternal Mortality Ratio (deaths per 100,000 live births) (2018)","Maternal Mortality Ratio (deaths per 100,000 live births) (2019)","Maternal Mortality Ratio (deaths per 100,000 live births) (2020)","Maternal Mortality Ratio (deaths per 100,000 live births) (2021)"
AFG,Afghanistan,Asia,Northern Hemisphere,Low,SA,180,1500,1530,1520,1480,1540,1490,1440,1470,1410,1470,1450,1390,1300,1240,1180,1140,1120,1090,1030,993,954,905,858,810,786,701,673,638,638,638,638,638
AGO,Angola,Africa,Southern Hemisphere,Medium,SSA,148,1150,1100,1130,1110,1130,1060,1020,985,953,909,827,766,690,628,574,519,473,431,395,359,326,300,281,269,258,251,246,241,241,241,241,241
ALB,Albania,Europe,Northern Hemisphere,High,ECA,67,40,47,49,47,39,38,32,30,27,25,23,23,21,21,18,22,18,19,20,20,21,22,17,16,16,15,16,15,15,15,15,15
AND,Andorra,Europe,Northern Hemisphere,Very High,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,United Arab Emirates,Asia,Northern Hemisphere,Very High,AS,26,13,12,11,10,10,9,8,8,7,7,6,6,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3
ARG,Argentina,America,Southern Hemisphere,Very High,LAC,47,84,82,80,76,75,72,71,71,69,70,66,67,65,65,61,59,57,56,53,56,51,48,47,44,42,41,40,39,39,39,39,39
ARM,Armenia,Asia,Northern Hemisphere,High,ECA,85,52,47,56,60,54,54,55,50,50,43,43,42,39,38,36,35,36,32,36,32,32,30,30,26,27,28,26,26,26,26,26,26
ATG,Antigua and Barbuda,America,Northern Hemisphere,High,LAC,71,54,54,55,52,52,51,51,52,50,49,44,44,43,44,41,40,46,48,50,45,44,43,44,43,42,43,43,42,42,42,42,42
AUS,Australia,Oceania,Southern Hemisphere,Very High,,5,8,9,8,8,8,8,8,8,7,7,7,6,6,6,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6
AUT,Austria,Europe,Northern Hemisphere,Very High,,25,8,8,8,8,8,7,7,6,6,6,6,6,6,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
AZE,Azerbaijan,Asia,Northern Hemisphere,High,ECA,91,37,39,46,50,57,57,55,54,52,49,47,44,43,44,39,42,35,34,32,32,31,30,29,28,28,27,26,26,26,26,26,26
BDI,Burundi,Africa,Southern Hemisphere,Low,SSA,187,1290,1340,1360,1360,1340,1280,1220,1130,1090,1030,1010,956,925,890,844,814,785,756,733,698,665,635,608,591,576,568,558,548,548,548,548,548
BEL,Belgium,Europe,Northern Hemisphere,Very High,,13,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5
BEN,Benin,Africa,Northern Hemisphere,Low,SSA,166,572,564,557,552,548,544,539,533,530,525,520,516,511,510,505,500,493,486,480,471,464,458,450,441,432,421,408,397,397,397,397,397
BFA,Burkina Faso,Africa,Northern Hemisphere,Low,SSA,184,702,673,651,633,617,598,581,564,546,531,516,501,486,471,454,437,422,410,401,393,385,377,369,362,353,343,331,320,320,320,320,320
BGD,Bangladesh,Asia,Northern Hemisphere,Medium,SA,129,595,589,552,534,514,499,482,467,457,445,434,423,410,395,372,343,315,297,280,269,258,248,238,227,214,200,186,173,173,173,173,173
BGR,Bulgaria,Europe,Northern Hemisphere,High,,68,25,24,24,22,24,23,22,24,21,20,19,18,17,16,16,15,14,13,13,12,12,12,11,10,11,10,10,10,10,10,10,10
BHR,Bahrain,Asia,Northern Hemisphere,Very High,AS,35,21,29,19,21,18,19,22,22,21,20,27,19,25,21,21,19,24,16,18,19,18,15,18,17,15,15,15,14,14,14,14,14
BHS,Bahamas,America,Northern Hemisphere,Very High,LAC,55,68,69,71,72,72,72,72,72,73,74,75,76,78,79,78,77,78,77,77,78,78,78,78,78,77,74,72,70,70,70,70,70
BIH,Bosnia and Herzegovina,Europe,Northern Hemisphere,High,ECA,74,27,29,30,29,27,25,22,20,19,18,17,16,14,14,14,13,13,13,11,11,11,10,10,10,10,10,10,10,10,10,10,10
BLR,Belarus,Europe,Northern Hemisphere,Very High,ECA,60,33,32,32,34,33,33,32,29,27,25,22,19,18,15,13,11,9,7,6,6,5,5,4,3,3,3,3,2,2,2,2,2
BLZ,Belize,America,Northern Hemisphere,Medium,LAC,123,77,94,108,109,106,102,97,93,92,89,89,88,82,80,75,70,65,61,59,57,54,52,50,48,46,43,39,36,36,36,36,36
BOL,Bolivia,America,Southern Hemisphere,Medium,LAC,118,473,455,439,422,406,393,379,367,356,344,331,320,309,297,283,271,258,246,234,222,212,202,192,184,175,168,161,155,155,155,155,155
BRA,Brazil,America,Southern Hemisphere,High,LAC,87,115,112,111,112,109,103,97,89,83,75,69,68,69,70,71,71,72,71,70,69,65,61,60,61,62,63,62,60,60,60,60,60
BRB,Barbados,America,Northern Hemisphere,High,LAC,70,76,74,72,70,67,64,61,58,55,53,50,48,47,45,43,42,41,40,39,38,36,35,34,32,31,31,30,27,27,27,27,27
BRN,Brunei,Asia,Northern Hemisphere,Very High,EAP,51,33,30,29,30,31,31,30,29,28,28,28,28,29,30,30,29,28,27,27,27,28,28,29,28,29,30,31,31,31,31,31,31
BTN,Bhutan,Asia,Northern Hemisphere,Medium,SA,127,809,752,698,647,606,557,520,485,456,427,423,384,365,348,332,310,291,275,264,255,247,239,231,223,214,203,193,183,183,183,183,183
BWA,Botswana,Africa,Southern Hemisphere,Medium,SSA,117,250,227,216,212,213,218,224,233,243,253,262,271,278,278,264,239,221,209,203,189,179,176,170,164,160,156,151,144,144,144,144,144
CAF,Central African Republic,Africa,Northern Hemisphere,Low,SSA,188,1230,1280,1320,1320,1330,1320,1310,1310,1310,1300,1280,1290,1280,1250,1230,1200,1170,1130,1090,1050,1000,981,963,1030,961,912,890,829,829,829,829,829
