Movie,Director,Running time,Actor 1,Actor 2,Actor 3,Genre,Budget,Box Office,Actors Box Office %,Director Box Office %,Earnings,Oscar and Golden Globes nominations,Oscar and Golden Globes awards,Release year,IMDb score
13 Hours,Michael Bay,144,Toby Stephens,James Badge Dale,David Costabile,Action,50000000,69400000,50.0,69.23,19400000,0,0,2016,7.4
16 Blocks,Richard Donner,102,Bruce Willis,David Zayas,Sasha Roiz,Action,52000000,65000000,33.33,50.0,13000000,0,0,2006,6.6
17 Again,Burr Steers,102,Matthew Perry,Hunter Parrish,Thomas Lennon,Comedy,20000000,139000000,44.44,25.0,119000000,0,0,2009,6.4
1982,Tommy Oliver,90,Bokeem Woodbine,Ruby Dee,Quinton Aaron,Drama,1000000,2000000,50.0,100.0,1000000,0,0,2013,7.1
2 Fast 2 Furious,John Singleton,107,Paul Walker,Cole Hauser,Mo Gallini,Action,76000000,236000000,75.0,42.85,160000000,0,0,2003,5.9
2 Guns,Baltasar Kormákur,109,Denzel Washington,Patrick Fischler,Fred Ward,Action,61000000,132000000,66.67,100.0,71000000,0,0,2013,6.7
2012,Roland Emmerich,158,Oliver Platt,Liam James,Tom McCarthy,Action,200000000,800000000,63.88,50.0,600000000,0,0,2009,5.8
21,Robert Luketic,123,Kevin Spacey,Jim Sturgess,Josh Gad,Crime,35000000,81000000,61.0,66.67,46000000,0,0,2008,6.8
22 Jump Street,Phil Lord,112,Channing Tatum,Craig Roberts,Amber Stevens West,Action,50000000,331000000,55.55,100.0,281000000,0,0,2014,7.1
27 Dresses,Anne Fletcher,111,Judy Greer,Bern Cohen,Yetta Gottesman,Comedy,30000000,160000000,77.00,60.0,130000000,0,0,2008,6.1
3 Backyards,Eric Mendelsohn,88,Embeth Davidtz,Edie Falco,Kathryn Erbe,Drama,300000,1000000,50.0,100.0,700000,0,0,2010,5.2
30 Days of Night,David Slade,113,Danny Huston,Mark Rendall,Megan Franich,Horror,32000000,75000000,77.00,100.0,43000000,0,0,2007,6.6
300,Zack Snyder,117,Gerard Butler,Michael Fassbender,Vincent Regan,Action,65000000,456000000,36.66,57.14,391000000,0,0,2006,7.7
300: Rise of an Empire,Noam Murro,102,Eva Green,Sullivan Stapleton,Peter Mensah,Action,110000000,337000000,50.0,100.0,227000000,0,0,2014,6.2
3000 Miles to Graceland,Demian Lichtenstein,125,Jon Lovitz,Bokeem Woodbine,Ice-T,Action,42000000,77000000,66.67,0.0,35000000,0,0,2001,5.9
47 Ronin,Carl Rinsch,128,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Action,175000000,152000000,55.55,0.0,-23000000,0,0,2013,6.3
50 First Dates,Peter Segal,99,Adam Sandler,Peter Dante,Allen Covert,Comedy,75000000,197000000,96.29,71.42,122000000,0,0,2004,6.8
8 Heads in a Duffel Bag,Tom Schulman,95,Kristy Swanson,George Hamilton,Dyan Cannon,Comedy,3000000,2000000,0.0,0.0,-1000000,0,0,1997,5.3
8MM,Joel Schumacher,123,Nicolas Cage,Chris Bauer,Anthony Heald,Thriller,40000000,96000000,83.33,66.67,56000000,0,0,1999,6.5
9,Shane Acker,79,Martin Landau,Alan Oppenheimer,Tom Kane,Action,30000000,37000000,16.67,0.0,7000000,0,0,2009,7.1
A Christmas Carol,Robert Zemeckis,96,Robin Wright,Colin Firth,Gary Oldman,Animation,200000000,325000000,42.22,61.5,125000000,0,0,2009,6.8
A Civil Action,Steven Zaillian,115,Robert Duvall,Kathleen Quinlan,Sydney Pollack,Drama,60000000,114000000,57.14,0.0,54000000,0,0,1998,6.5
A Good Day to Die Hard,John Moore,101,Bruce Willis,Cole Hauser,Megalyn Echikunwoke,Action,92000000,305000000,75.0,50.0,213000000,0,0,2013,5.3
A Guy Named Joe,Victor Fleming,122,Spencer Tracy,Esther Williams,Irene Dunne,Drama,2627000,5000000,33.33,66.67,2373000,0,0,1943,7.0
A Knight's Tale,Brian Helgeland,144,Heath Ledger,Rufus Sewell,Bérénice Bejo,Action,65000000,117000000,53.33,40.0,52000000,0,0,2001,6.9
A League of Their Own,Penny Marshall,128,Tom Hanks,Lori Petty,Rosie O'Donnell,Comedy,40000000,132000000,75.0,50.0,92000000,0,0,1992,7.2
A Madea Christmas,Tyler Perry,100,Alicia Witt,Tika Sumpter,Larry the Cable Guy,Comedy,25000000,53000000,75.0,100.0,28000000,0,0,2013,4.7
A Man Apart,F. Gary Gray,109,Vin Diesel,Jeff Kober,Larenz Tate,Action,36000000,47000000,33.33,62.5,11000000,0,0,2003,6.1
A Million Ways to Die in the West,Seth MacFarlane,136,Liam Neeson,Charlize Theron,Seth MacFarlane,Western,40000000,87000000,64.44,100.0,47000000,0,0,2014,6.1
A Monster in Paris,Bibo Bergeron,90,Adam Goldberg,Bob Balaban,François Cluzet,Animation,25000000,26000000,38.33,33.33,1000000,0,0,2011,6.8
A Most Wanted Man,Anton Corbijn,122,Philip Seymour Hoffman,Nina Hoss,Homayoun Ershadi,Crime,15000000,36000000,93.33,66.67,21000000,0,0,2014,6.8
A Shine of Rainbows,Vic Sarin,101,Connie Nielsen,Aidan Quinn,John Bell,Drama,6000000,3000000,66.67,0.0,-3000000,0,0,2009,7.2
A Sound of Thunder,Peter Hyams,102,David Oyelowo,Catherine McCormack,Jemima Rooper,Action,52000000,58000000,44.0,50.0,6000000,0,0,2005,4.2
A Thousand Words,Brian Robbins,91,John Gatins,Lou Saliba,Greg Collins,Comedy,40000000,22000000,0.0,33.33,-18000000,0,0,2012,5.9
A View to a Kill,John Glen,131,Patrick Macnee,Alison Doody,Tanya Roberts,Action,30000000,152000000,100.0,100.0,122000000,0,0,1985,6.3
A Walk on the Moon,Tony Goldwyn,107,Viggo Mortensen,Julie Kavner,Tovah Feldshuh,Drama,14000000,5000000,35.71,0.0,-9000000,0,0,1999,6.6
Ã†on Flux,Karyn Kusama,93,Charlize Theron,Sophie Okonedo,Paterson Joseph,Sci-Fi,62000000,52600000,33.33,0.0,-9400000,0,0,2005,5.5
Abduction,John Singleton,106,Ken Arnold,Benjamin J. Cain Jr.,Richard Cetrone,Action,35000000,50000000,0.0,42.85,15000000,0,0,2011,5.0
Abraham Lincoln: Vampire Hunter,Timur Bekmambetov,105,Rufus Sewell,Dominic Cooper,Benjamin Walker,Action,69000000,116000000,50.0,50.0,47000000,0,0,2012,5.9
Absolute Power,Clint Eastwood,121,Clint Eastwood,Mark Margolis,Scott Glenn,Action,50000000,50500000,46.11,75.0,500000,0,0,1997,6.7
Ace Ventura: When Nature Calls,Steve Oedekerk,90,Bruce Spence,Bob Gunton,Sophie Okonedo,Adventure,30000000,108000000,30.55,75.0,78000000,0,0,1995,6.3
Addicted,Bille Woodruff,106,Boris Kodjoe,Cameron Mills,Sharon Leal,Thriller,5000000,17000000,83.33,100.0,12000000,0,0,2014,5.2
Adore,Anne Fontaine,112,Robin Wright,Naomi Watts,Ben Mendelsohn,Drama,16000000,2500000,42.85,0.0,-13500000,0,0,2013,6.2
After Earth,M. Night Shyamalan,100,Will Smith,Zoë Kravitz,Glenn Morshower,Action,130000000,244000000,16.67,77.00,114000000,0,0,2013,4.9
After the Sunset,Brett Ratner,97,Salma Hayek,Don Cheadle,Chris Penn,Action,58000000,50000000,75.0,60.0,-8000000,0,0,2004,6.3
