Title,Available Globally?,Release Date,Hours Viewed,,
The Night Agent: Season 1,Yes,2023-03-23,"812,100,000",,
Ginny & Georgia: Season 2,Yes,2023-01-05,"665,100,000",,
The Glory: Season 1 // 더 글로리: 시즌 1,Yes,2022-12-30,"622,800,000",,
Wednesday: Season 1,Yes,2022-11-23,"507,700,000",,
Queen Charlotte: A Bridgerton Story,Yes,2023-05-04,"503,000,000",,
You: Season 4,Yes,2023-02-09,"440,600,000",,
La Reina del Sur: Season 3,No,2022-12-30,"429,600,000",,
Outer Banks: Season 3,Yes,2023-02-23,"402,500,000",,
Ginny & Georgia: Season 1,Yes,2021-02-24,"302,100,000",,
FUBAR: Season 1,Yes,2023-05-25,"266,200,000",,
Manifest: Season 4,Yes,2022-11-04,"262,600,000",,
Kaleidoscope: Limited Series,Yes,2023-01-01,"252,500,000",,
Firefly Lane: Season 2,Yes,2022-12-02,"251,500,000",,
The Mother,Yes,2023-05-12,"249,900,000",,
Physical: 100: Season 1 // 피지컬: 100: 시즌 1,Yes,2023-01-24,"235,000,000",,
Crash Course in Romance: Limited Series // 일타 스캔들: 리미티드 시리즈,Yes,2023-01-14,"234,800,000",,
Love Is Blind: Season 4,Yes,2023-03-24,"229,700,000",,
BEEF: Season 1,Yes,2023-04-06,"221,100,000",,
The Diplomat: Season 1,Yes,2023-04-20,"214,100,000",,
Luther: The Fallen Sun,Yes,2023-03-10,"209,700,000",,
Fake Profile: Season 1 // Perfil falso: Temporada 1,No,2023-05-31,"206,500,000",,
Vikings: Valhalla: Season 2,Yes,2023-01-12,"205,500,000",,
Extraction 2,Yes,2023-06-16,"201,800,000",,
"XO, Kitty: Season 1",Yes,2023-05-18,"200,700,000",,
Doctor Cha: Limited Series // 닥터 차정숙: 리미티드 시리즈,Yes,2023-04-15,"194,700,000",,
Shadow and Bone: Season 2,Yes,2023-03-16,"192,900,000",,
Outer Banks: Season 1,Yes,2020-04-15,"184,000,000",,
Sweet Tooth: Season 2,Yes,2023-04-27,"182,300,000",,
You People,Yes,2023-01-27,"181,800,000",,
Perfect Match: Season 1,Yes,2023-02-14,"176,800,000",,
Sex/Life: Season 2,Yes,2023-03-02,"175,500,000",,
The Marked Heart: Season 2 // Pálpito: Temporada 2,Yes,2023-04-19,"174,300,000",,
Murder Mystery 2,Yes,2023-03-31,"173,600,000",,
The Surrogacy: Season 1 // Madre de alquiler: Temporada 1,No,2023-06-14,"172,400,000",,
"Pablo Escobar, el patrón del mal: Season 1",Yes,,"170,100,000",,
Never Have I Ever: Season 4,Yes,2023-06-08,"168,300,000",,
Your Place or Mine,Yes,2023-02-10,"163,000,000",,
Chiquititas (2013),No,,"162,000,000",,
Emily in Paris: Season 3,Yes,2022-12-21,"161,100,000",,
Alice in Borderland: Season 2 // 今際の国のアリス: シーズン2,Yes,2022-12-22,"157,600,000",,
Alchemy of Souls: Part 1 // 환혼: 파트 1,Yes,2022-06-18,"155,300,000",,
Outer Banks: Season 2,Yes,2021-07-30,"153,900,000",,
New Amsterdam (2018): Season 1,No,,"153,000,000",,
Til Money Do Us Part: Season 1 // Hasta que la plata nos separe: Temporada 1,No,2022-10-19,"152,100,000",,
Mr. Queen // 철인왕후,No,,"151,500,000",,
Manifest: Season 1,No,2021-06-10,"151,400,000",,
Alchemy of Souls: Part 2 // 환혼: 파트 2,Yes,2022-12-10,"150,200,000",,
PAW Patrol: Season 6,No,,"149,300,000",,
The Good Bad Mother: Limited Series // 나쁜엄마: 리미티드 시리즈,Yes,2023-04-26,"148,600,000",,
The Recruit: Season 1,Yes,2022-12-16,"146,900,000",,
Bloodhounds: Season 1 // 사냥개들: 시즌 1,Yes,2023-06-09,"146,700,000",,
Glass Onion: A Knives Out Mystery,Yes,2022-12-23,"142,900,000",,
Wrong Side of the Tracks: Season 2 // Entrevías: Temporada 2,No,2023-03-01,"140,100,000",,
Black Mirror: Season 6,Yes,2023-06-15,"139,900,000",,
Triptych: Season 1 // Tríada: Temporada 1,Yes,2023-02-22,"139,300,000",,
The Walking Dead: Season 11,No,,"136,800,000",,
Bridgerton: Season 1,Yes,2020-12-25,"136,600,000",,
CoComelon: Season 1,No,2020-05-31,"136,200,000",,
Extraordinary Attorney Woo: Season 1 // 이상한 변호사 우영우: 시즌 1,Yes,2022-06-29,"135,900,000",,
The Snow Girl: Season 1 // La chica de nieve: Temporada 1,Yes,2023-01-27,"134,800,000",,
Stranger Things 4,Yes,2022-05-27,"133,600,000",,
The Marked Heart: Season 1 // Pálpito: Temporada 1,Yes,2022-04-20,"133,500,000",,
Bridgerton: Season 2,Yes,2022-03-25,"133,400,000",,
Little Angel: Volume 1,Yes,,"132,100,000",,
PAW Patrol: Season 5,No,,"130,700,000",,
Pasión de Gavilanes: Season 1,No,,"129,200,000",,
Suits (2011): Season 1,Yes,,"129,100,000",,
Sex/Life: Season 1,Yes,2021-06-25,"126,400,000",,
We Have a Ghost,Yes,2023-02-24,"124,400,000",,
You: Season 1,Yes,2018-12-26,"123,500,000",,
Business Proposal: Season 1 // 사내맞선: 시즌 1,Yes,2022-02-28,"120,700,000",,
The Pale Blue Eye,Yes,2023-01-06,"120,500,000",,
Crash Landing on You: Season 1 // 사랑의 불시착: 시즌 1,Yes,2019-12-14,"120,300,000",,
AKA,Yes,2023-04-28,"120,000,000",,
MH370: The Plane That Disappeared: Limited Series,Yes,2023-03-08,"118,900,000",,
Queenmaker: Season 1 // 퀸메이커: 시즌 1,Yes,2023-04-14,"118,600,000",,
Vikings: Valhalla: Season 1,Yes,2022-02-25,"116,500,000",,
Breaking Bad: Season 2,No,,"116,200,000",,
Muted: Limited Series // El silencio: Miniserie,Yes,2023-05-19,"115,800,000",,
Lockwood & Co.: Season 1,Yes,2023-01-27,"113,600,000",,
You: Season 3,Yes,2021-10-15,"107,200,000",,
Breaking Bad: Season 5,No,,"107,000,000",,
Suits (2011): Season 2,Yes,,"106,600,000",,
Murdaugh Murders: A Southern Scandal: Season 1,Yes,2023-02-22,"104,600,000",,
Welcome to Eden: Season 2 // Bienvenidos a Edén: Temporada 2,Yes,2023-04-21,"104,500,000",,
Breaking Bad: Season 3,No,,"104,300,000",,
Lucifer: Season 3,No,2017-10-03,"102,800,000",,
CoComelon: Season 2,No,2020-12-17,"102,300,000",,
Café con aroma de mujer: Season 1,No,2021-12-29,"101,700,000",,
Love to Hate You: Season 1 // 연애대전: 시즌 1,Yes,2023-02-10,"99,900,000",,
The Blacklist: Season 1,No,,"99,900,000",,
Shadow and Bone: Season 1,Yes,2021-04-23,"99,500,000",,
"The Unbroken Voice: Season 1 // Canto para no llorar, Arelys Henao: Temporada 1",No,2022-11-23,"99,000,000",,
Designated Survivor: Season 1,Yes,2016-09-22,"98,500,000",,
The Interest of Love: Limited Series // 사랑의 이해: 리미티드 시리즈,Yes,2022-12-21,"97,800,000",,
Wrong Side of the Tracks: Season 1 // Entrevías: Temporada 1,No,2022-05-20,"97,600,000",,
Minions: The Rise of Gru,No,,"96,400,000",,
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc // 鬼滅の刃: 竈門炭治郎 立志編",No,,"95,800,000",,
The Blacklist: Season 9,No,,"95,700,000",,
That '90s Show: Part 1,Yes,2023-01-19,"95,100,000",,
You: Season 2,Yes,2019-12-26,"95,000,000",,
La Reina del Sur: Season 1,No,2011-09-05,"94,700,000",,
All of Us Are Dead: Season 1 // 지금 우리 학교는: 시즌 1,Yes,2022-01-28,"94,600,000",,
New Amsterdam (2018): Season 2,No,,"94,400,000",,
