Quarter,State,Total_Crashes,Num_Injured,Num_Killed,Total_Vehicles_Involved,SPV,DAD,PWR,FTQ,Other_Factors
Q4 2020,Abia,30,146,31,37,19,0,0,0,18
Q4 2020,Adamawa,77,234,36,94,57,0,0,0,37
Q4 2020,Akwa Ibom,22,28,7,24,15,0,0,1,8
Q4 2020,Anambra,72,152,20,83,43,1,0,0,39
Q4 2020,Bauchi,154,685,90,140,74,0,0,0,66
Q4 2020,Bayelsa,1,3,0,1,1,0,0,0,0
Q4 2020,Benue,77,177,25,81,81,0,0,0,0
Q4 2020,Borno,25,67,16,18,11,0,0,0,7
Q4 2020,Cross River,33,65,11,39,23,0,0,0,16
Q4 2020,Delta,67,182,36,111,70,0,0,0,41
Q4 2020,Ebonyi,27,82,11,29,9,0,0,0,20
Q4 2020,Edo,55,118,32,102,77,0,0,0,25
Q4 2020,Ekiti,30,71,9,46,23,1,0,0,22
Q4 2020,Enugu,44,116,30,48,10,0,0,0,38
Q4 2020,FCT,312,572,90,480,284,1,0,2,193
Q4 2020,Gombe,70,231,26,84,59,0,0,0,25
Q4 2020,Imo,31,91,15,24,11,0,0,0,13
Q4 2020,Jigawa,92,318,64,177,118,0,0,0,59
Q4 2020,Kaduna,281,1010,224,363,194,0,0,0,169
Q4 2020,Kano,102,499,194,130,90,0,0,2,38
Q4 2020,Katsina,77,277,39,107,80,0,0,0,27
Q4 2020,Kebbi,58,222,56,64,45,0,0,0,19
Q4 2020,Kogi,122,335,55,178,91,1,0,1,85
Q4 2020,Kwara,102,313,60,163,105,0,0,0,58
Q4 2020,Lagos,113,181,21,114,46,1,0,3,64
Q4 2020,Nasarawa,200,513,65,271,114,0,0,0,157
Q4 2020,Niger,110,347,91,126,102,0,0,0,24
Q4 2020,Ogun,279,548,83,377,254,0,0,0,123
Q4 2020,Ondo,114,320,84,155,107,0,0,1,47
Q4 2020,Osun,109,292,52,143,93,0,0,0,50
Q4 2020,Oyo,155,385,68,209,128,0,0,4,77
Q4 2020,Plateau,45,123,17,48,18,2,0,0,28
Q4 2020,Rivers,25,77,6,29,19,0,0,0,10
Q4 2020,Sokoto,32,138,47,60,49,0,0,0,11
Q4 2020,Taraba,59,149,7,92,57,0,0,0,35
Q4 2020,Yobe,56,383,60,53,28,0,0,0,25
Q4 2020,Zamfara,55,252,40,72,40,0,0,0,32
Q1 2021,Abia,44,119,35,36,7,0,0,0,29
Q1 2021,Adamawa,84,251,21,110,60,0,0,0,50
Q1 2021,Akwa Ibom,22,35,12,24,15,0,0,0,9
Q1 2021,Anambra,80,147,9,109,59,0,0,0,50
Q1 2021,Bauchi,131,634,115,153,77,0,0,0,76
Q1 2021,Bayelsa,7,15,0,9,7,0,1,0,1
Q1 2021,Benue,52,123,15,54,46,0,0,0,8
Q1 2021,Borno,31,78,24,46,31,0,0,0,15
Q1 2021,Cross River,25,50,30,31,17,0,0,0,14
Q1 2021,Delta,71,196,51,108,68,0,0,0,40
Q1 2021,Ebonyi,31,121,27,32,13,0,0,0,19
Q1 2021,Edo,56,140,51,89,68,0,0,0,21
Q1 2021,Ekiti,31,101,13,41,29,1,0,0,11
Q1 2021,Enugu,66,222,37,75,3,0,0,0,72
Q1 2021,FCT,278,518,56,400,158,1,0,0,241
Q1 2021,Gombe,72,232,31,82,33,0,0,0,49
Q1 2021,Imo,16,71,17,16,5,0,0,0,11
Q1 2021,Jigawa,67,264,35,132,82,0,0,1,49
Q1 2021,Kaduna,256,1149,196,368,211,0,0,7,150
Q1 2021,Kano,137,604,100,184,110,0,0,3,71
Q1 2021,Katsina,71,287,29,93,74,0,0,0,19
Q1 2021,Kebbi,44,139,21,47,38,0,0,0,9
Q1 2021,Kogi,143,425,94,216,105,1,0,0,110
Q1 2021,Kwara,100,369,69,163,91,0,0,0,72
Q1 2021,Lagos,151,243,26,152,85,0,0,2,65
Q1 2021,Nasarawa,176,452,77,218,75,1,0,1,141
Q1 2021,Niger,108,492,93,171,128,0,0,2,41
Q1 2021,Ogun,299,670,82,407,270,0,0,0,137
Q1 2021,Ondo,115,290,43,152,96,0,0,2,54
Q1 2021,Osun,105,317,43,132,78,0,0,3,51
Q1 2021,Oyo,176,399,103,222,129,0,2,1,90
Q1 2021,Plateau,48,130,15,51,15,0,0,0,36
Q1 2021,Rivers,21,54,4,22,12,0,0,0,10
Q1 2021,Sokoto,37,119,33,57,46,0,0,0,11
Q1 2021,Taraba,67,213,12,104,31,0,0,0,73
Q1 2021,Yobe,42,235,35,51,28,0,0,0,23
Q1 2021,Zamfara,41,153,14,47,29,0,0,0,18
Q2 2021,Abia,21,69,19,32,20,0,0,0,12
Q2 2021,Adamawa,90,280,21,107,70,0,0,0,37
Q2 2021,Akwa Ibom,16,32,10,17,10,0,0,0,7
Q2 2021,Anambra,66,138,18,100,37,0,0,0,63
Q2 2021,Bauchi,105,418,46,112,55,0,0,0,57
Q2 2021,Bayelsa,10,19,3,10,5,0,0,0,5
Q2 2021,Benue,69,170,19,69,63,0,0,0,6
Q2 2021,Borno,17,65,4,24,7,0,0,0,17
Q2 2021,Cross River,29,74,5,34,17,0,0,0,17
Q2 2021,Delta,41,136,16,72,46,0,0,0,26
Q2 2021,Ebonyi,29,82,15,35,20,0,0,0,15
Q2 2021,Edo,58,154,34,81,61,0,0,0,20
Q2 2021,Ekiti,41,98,20,60,39,0,0,0,21
Q2 2021,Enugu,66,157,22,78,8,0,0,0,70
Q2 2021,FCT,252,483,37,356,135,2,0,0,219
Q2 2021,Gombe,93,239,28,107,40,0,0,0,67
Q2 2021,Imo,23,64,14,24,6,0,0,0,18
Q2 2021,Jigawa,63,370,46,120,74,0,0,1,45
Q2 2021,Kaduna,222,837,217,299,179,0,0,5,115
Q2 2021,Kano,70,286,57,87,56,0,0,0,31
Q2 2021,Katsina,39,148,40,58,40,0,0,0,18
Q2 2021,Kebbi,53,130,4,55,41,1,0,0,13
Q2 2021,Kogi,97,246,25,139,56,0,0,0,83
Q2 2021,Kwara,108,368,80,144,64,2,0,0,78
Q2 2021,Lagos,145,266,47,146,75,0,0,3,68
Q2 2021,Nasarawa,242,600,53,286,107,2,0,0,177
Q2 2021,Niger,148,516,103,194,114,0,0,18,62
Q2 2021,Ogun,337,637,121,343,293,1,0,0,49
Q2 2021,Ondo,114,299,47,148,90,2,0,1,55
Q2 2021,Osun,87,250,52,112,61,0,0,3,48
Q2 2021,Oyo,152,400,85,181,107,0,0,5,69
Q2 2021,Plateau,99,283,23,104,31,0,0,0,73
Q2 2021,Rivers,26,65,6,29,13,0,0,0,16
Q2 2021,Sokoto,23,87,37,39,35,0,0,0,4
Q2 2021,Taraba,56,171,12,77,28,0,0,0,49
Q2 2021,Yobe,32,168,17,47,24,0,0,0,23
Q2 2021,Zamfara,46,213,50,57,35,0,0,0,22
Q3 2021,Abia,20,62,11,24,1,0,0,4,19
Q3 2021,Adamawa,80,208,26,95,0,0,0,66,29
Q3 2021,Akwa Ibom,13,18,1,15,0,0,0,11,4
Q3 2021,Anambra,62,142,17,146,3,0,0,20,123
Q3 2021,Bauchi,130,627,79,127,0,1,0,69,57
Q3 2021,Bayelsa,19,23,8,22,0,0,1,16,5
Q3 2021,Benue,53,159,18,53,1,0,0,37,15
Q3 2021,Borno,17,110,3,16,0,0,0,9,7
Q3 2021,Cross River,37,144,15,40,0,0,1,24,15
Q3 2021,Delta,45,122,23,66,0,0,0,30,36
Q3 2021,Ebonyi,34,100,18,35,0,0,0,19,16
Q3 2021,Edo,66,158,33,98,0,0,0,68,30
Q3 2021,Ekiti,44,127,10,60,1,0,0,30,29
Q3 2021,Enugu,97,270,28,100,0,0,0,45,55
Q3 2021,FCT,307,562,57,436,0,0,2,260,174
Q3 2021,Gombe,73,218,13,83,1,0,0,38,44
Q3 2021,Imo,27,85,16,27,1,0,0,10,16
Q3 2021,Jigawa,94,312,65,137,0,2,0,89,46
Q3 2021,Kaduna,174,684,144,201,0,0,1,118,82
Q3 2021,Kano,32,131,53,33,0,0,0,16,17
Q3 2021,Katsina,18,98,33,27,0,0,0,21,6
Q3 2021,Kebbi,54,159,59,58,0,0,1,41,16
Q3 2021,Kogi,95,280,42,137,0,0,1,72,64
Q3 2021,Kwara,78,255,21,108,0,0,0,65,43
Q3 2021,Lagos,141,233,41,144,0,1,2,71,70
Q3 2021,Nasarawa,212,535,33,265,0,0,0,126,139
Q3 2021,Niger,219,577,150,273,0,0,25,162,86
Q3 2021,Ogun,299,618,98,312,2,0,0,253,57
Q3 2021,Ondo,96,251,51,113,0,0,0,72,41
Q3 2021,Osun,105,324,82,134,0,0,0,78,56
Q3 2021,Oyo,137,344,58,159,0,0,4,88,67
Q3 2021,Plateau,77,249,25,77,0,0,0,23,54
Q3 2021,Rivers,31,88,23,36,0,0,0,16,20
Q3 2021,Sokoto,27,78,15,34,0,0,0,26,8
Q3 2021,Taraba,45,128,3,66,0,0,0,18,48
Q3 2021,Yobe,55,292,41,66,0,0,0,33,33
Q3 2021,Zamfara,21,56,19,21,0,0,0,9,12
Q4 2021,Abia,21,57,3,27,0,0,2,8,17
Q4 2021,Adamawa,76,191,25,92,0,0,0,62,30
Q4 2021,Akwa Ibom,22,39,10,23,0,0,0,12,11
Q4 2021,Anambra,59,156,45,64,1,0,1,24,38
Q4 2021,Bauchi,217,882,156,247,0,0,1,124,122
Q4 2021,Bayelsa,12,37,24,19,0,0,0,16,3
Q4 2021,Benue,53,123,9,51,1,0,0,34,16
Q4 2021,Borno,21,70,5,21,0,0,0,13,8
Q4 2021,Cross River,54,133,20,70,0,0,0,48,22
Q4 2021,Delta,58,172,30,71,0,0,0,29,42
Q4 2021,Ebonyi,30,87,29,33,0,0,0,16,17
Q4 2021,Edo,63,125,40,87,0,0,0,61,26
Q4 2021,Ekiti,27,62,5,38,0,0,0,18,20
Q4 2021,Enugu,56,134,21,63,0,0,0,24,39
Q4 2021,FCT,280,621,66,328,0,0,0,172,156
Q4 2021,Gombe,90,256,30,112,0,0,0,44,68
Q4 2021,Imo,37,130,22,38,0,0,0,20,18
Q4 2021,Jigawa,129,510,62,221,0,0,0,142,79
Q4 2021,Kaduna,177,691,120,188,0,0,5,121,62
Q4 2021,Kano,40,190,40,51,0,0,0,30,21
Q4 2021,Katsina,10,38,13,17,0,0,0,11,6
Q4 2021,Kebbi,62,248,28,64,0,0,0,47,17
Q4 2021,Kogi,137,428,68,232,1,0,0,105,126
Q4 2021,Kwara,108,365,76,136,0,0,0,64,72
Q4 2021,Lagos,159,262,43,156,2,0,3,84,67
Q4 2021,Nasarawa,263,686,59,301,3,0,0,92,206
Q4 2021,Niger,180,759,108,225,0,0,3,154,68
Q4 2021,Ogun,286,633,129,299,0,0,0,239,60
Q4 2021,Ondo,134,247,62,162,0,0,2,95,65
Q4 2021,Osun,107,302,63,134,0,0,0,73,61
Q4 2021,Oyo,163,494,93,185,1,0,5,101,78
Q4 2021,Plateau,74,261,34,80,2,0,0,31,47
Q4 2021,Rivers,27,135,23,37,0,0,0,14,23
Q4 2021,Sokoto,35,146,25,65,0,0,0,61,4
Q4 2021,Taraba,70,178,9,78,0,0,0,25,53
Q4 2021,Yobe,45,188,25,59,0,0,0,29,30
Q4 2021,Zamfara,25,135,32,32,0,0,0,22,10
Q1 2022,Abia,33,144,13,41,1,0,0,20,20
Q1 2022,Adamawa,79,245,61,101,0,0,0,75,26
Q1 2022,Akwa Ibom,16,35,7,16,0,0,0,12,4
Q1 2022,Anambra,38,103,22,46,0,0,1,24,21
Q1 2022,Bauchi,140,499,73,165,0,0,0,90,75
