"Date","Windows","Android","iOS","OS X","Unknown","Linux","Series 40","SymbianOS","Samsung","BlackBerry OS","Chrome OS","Nokia Unknown","Playstation","Sony Ericsson","KaiOS","Xbox","bada","Tizen","LG","Nintendo","Other"
2009-01,94.8,0,0.24,3.66,0.27,0.64,0,0.26,0,0.01,0,0,0.1,0,0,0,0,0,0,0.01,0.01
2009-02,94.74,0.01,0.25,3.73,0.22,0.61,0,0.26,0,0.04,0,0,0.1,0,0,0,0,0,0,0.01,0.02
2009-03,94.48,0.02,0.32,3.84,0.25,0.64,0,0.28,0,0.05,0,0,0.11,0,0,0,0,0,0,0.01,0.01
2009-04,94.32,0.02,0.36,3.89,0.26,0.66,0,0.3,0,0.06,0,0,0.12,0,0,0,0,0,0,0.01,0.01
2009-05,94.44,0.02,0.32,3.72,0.32,0.64,0,0.34,0,0.06,0,0,0.12,0,0,0,0,0,0,0.01,0.01
2009-06,93.89,0,0.34,4.04,0.38,0.74,0,0.38,0,0.07,0,0,0.14,0,0,0,0,0,0,0.01,0.02
2009-07,93.85,0.02,0.36,4.07,0.37,0.76,0,0.25,0,0.09,0,0,0.16,0.02,0,0,0,0,0,0.02,0.02
2009-08,93.66,0.03,0.38,4.3,0.17,0.68,0,0.38,0.02,0.1,0,0,0.17,0.08,0,0,0,0,0,0.02,0.02
2009-09,93.58,0.03,0.35,4.39,0.17,0.69,0,0.4,0.02,0.1,0,0,0.14,0.08,0,0,0,0,0,0.02,0.02
2009-10,93.29,0.03,0.35,4.66,0.17,0.68,0,0.44,0.02,0.1,0,0,0.15,0.08,0,0,0,0,0,0.02,0.02
2009-11,92.87,0.04,0.38,4.9,0.24,0.71,0,0.44,0.02,0.12,0,0,0.16,0.08,0,0,0,0,0,0.02,0.02
2009-12,93,0.05,0.41,4.66,0.3,0.68,0,0.45,0.02,0.12,0,0,0.17,0.09,0,0,0,0,0,0.02,0.02
2010-01,92.31,0.07,0.52,5.08,0.29,0.69,0,0.53,0.03,0.16,0,0,0.17,0.11,0,0,0,0,0,0.02,0.02
2010-02,91.78,0.09,0.58,5.53,0.2,0.73,0,0.56,0.03,0.19,0,0,0.15,0.11,0,0,0,0,0,0.02,0.02
2010-03,91.36,0.12,0.59,5.67,0.21,0.77,0,0.68,0.03,0.25,0,0,0.15,0.12,0,0,0,0,0,0.02,0.02
2010-04,90.95,0.12,0.64,5.79,0.3,0.78,0,0.73,0.04,0.31,0,0,0.16,0.13,0,0,0,0,0,0.02,0.02
2010-05,90.89,0.09,0.7,5.63,0.39,0.79,0,0.77,0.07,0.33,0,0,0.17,0.14,0,0,0,0,0,0.02,0.02
2010-06,90.88,0.1,0.79,5.42,0.33,0.78,0,0.86,0.09,0.39,0,0,0.17,0.15,0,0,0,0,0,0.03,0.02
2010-07,90.63,0.23,0.88,5.38,0.27,0.75,0,0.92,0.08,0.47,0,0,0.18,0.16,0,0,0,0,0,0.03,0.03
2010-08,90.13,0.3,1,5.48,0.28,0.77,0,1.01,0.09,0.54,0,0,0.17,0.17,0,0,0,0,0.01,0.03,0.03
2010-09,89.64,0.34,1,5.69,0.31,0.76,0,1.14,0.1,0.63,0,0,0.15,0.2,0,0,0,0,0,0.02,0.02
2010-10,89.2,0.41,1.08,5.82,0.3,0.74,0,1.25,0.11,0.69,0,0,0.15,0.21,0,0,0,0,0,0.02,0.02
2010-11,88.81,0.47,1.13,5.97,0.28,0.75,0,1.29,0.14,0.77,0,0,0.14,0.2,0,0,0,0,0,0.02,0.03
2010-12,88.65,0.56,1.28,6,0.28,0.72,0,1.22,0.17,0.74,0,0,0.16,0.18,0,0,0,0,0,0.02,0.03
2011-01,88.08,0.63,1.49,6.28,0.29,0.71,0,1.3,0.19,0.65,0,0,0.16,0.17,0,0,0,0,0.01,0.02,0.03
2011-02,87.91,0.69,1.51,6.3,0.3,0.72,0,1.36,0.2,0.65,0,0,0.14,0.17,0,0,0,0,0.01,0.02,0.02
2011-03,87.71,0.76,1.58,6.22,0.31,0.73,0,1.44,0.22,0.66,0,0,0.14,0.18,0,0,0,0,0.01,0.02,0.02
2011-04,87.22,0.86,1.72,6.13,0.34,0.72,0,1.64,0.26,0.71,0,0,0.15,0.19,0,0,0.01,0,0.01,0.02,0.02
2011-05,86.69,1.05,1.84,5.99,0.4,0.76,0,1.8,0.29,0.74,0,0,0.16,0.2,0,0,0.02,0,0.01,0.02,0.02
2011-06,85.97,1.22,1.96,5.86,0.46,0.74,0,2.19,0.37,0.79,0,0,0.15,0.21,0,0,0.03,0,0.01,0.02,0.02
2011-07,85.45,1.39,2.18,5.79,0.47,0.71,0,2.28,0.4,0.88,0,0,0.15,0.21,0,0,0.03,0,0.01,0.02,0.02
2011-08,85.25,1.54,2.22,5.83,0.44,0.72,0,2.29,0.43,0.85,0,0,0.16,0.19,0,0,0.03,0,0.01,0.02,0.02
2011-09,85,1.48,2.36,6.32,0.45,0.75,0,2.15,0.38,0.73,0,0,0.16,0.15,0,0,0.03,0,0.01,0.02,0.01
2011-10,84.58,1.58,2.58,6.71,0.46,0.79,0,1.95,0.34,0.63,0,0,0.16,0.13,0,0,0.03,0,0.01,0.02,0.02
2011-11,84.25,1.66,2.83,6.56,0.4,0.79,0,2.15,0.38,0.59,0,0,0.15,0.13,0,0,0.04,0,0.01,0.02,0.03
2011-12,83.07,1.93,3.12,6.45,0.44,0.77,0,2.69,0.45,0.64,0,0,0.16,0.16,0,0,0.04,0,0.01,0.02,0.04
2012-01,82.06,2.19,3.61,6.71,0.44,0.76,0,2.71,0.5,0.61,0,0,0.14,0.15,0,0,0.04,0,0.01,0.02,0.05
2012-02,81.92,2.35,3.83,6.78,0.44,0.77,0,2.58,0.43,0.6,0,0,0.05,0.13,0,0,0.04,0,0.01,0.02,0.05
2012-03,81.4,2.37,3.88,6.66,0.56,0.77,0,2.83,0.54,0.6,0,0,0.07,0.15,0,0,0.06,0,0.01,0.02,0.08
2012-04,80.31,2.56,4.2,6.93,0.48,0.78,0.26,2.73,0.65,0.61,0,0,0.13,0.15,0,0,0.07,0,0.01,0.02,0.13
2012-05,79.9,2.71,4.33,6.69,0.51,0.78,1.2,2.05,0.73,0.6,0,0,0.12,0.15,0,0,0.08,0,0.01,0.02,0.12
2012-06,79.72,2.94,4.71,6.32,0.5,0.76,1.42,1.8,0.75,0.57,0,0,0.13,0.13,0,0,0.08,0,0.01,0.02,0.13
2012-07,79.14,3.29,5.16,6.16,0.55,0.75,1.63,1.49,0.74,0.58,0,0,0.14,0.13,0,0,0.08,0,0.01,0.02,0.15
