Entity,Code,Year,rate over65
Afghanistan,AFG,2011,62.57
Africa,,2011,63.92
Albania,ALB,2011,29.59
Algeria,DZA,2011,54.98
Americas,,2011,53.6
Angola,AGO,2011,73.83
Antigua and Barbuda,ATG,2011,42.39
Argentina,ARG,2011,102.75
Armenia,ARM,2011,31.12
Aruba,ABW,2011,44.11
Australia,AUS,2011,21.76
Austria,AUT,2011,37.09
Azerbaijan,AZE,2011,42.02
Bahamas,BHS,2011,41.17
Bahrain,BHR,2011,60.01
Bangladesh,BGD,2011,74.48
Barbados,BRB,2011,52.58
Belarus,BLR,2011,35.81
Belgium,BEL,2011,33.72
Belize,BLZ,2011,52.91
Benin,BEN,2011,68.69
Bhutan,BTN,2011,60.2
Bolivia,BOL,2011,57.16
Bosnia and Herzegovina,BIH,2011,25.12
Botswana,BWA,2011,43.56
Brazil,BRA,2011,20.75
Brunei,BRN,2011,49.73
Bulgaria,BGR,2011,30.48
Burkina Faso,BFA,2011,69.59
Burundi,BDI,2011,66.41
Cambodia,KHM,2011,57.69
Cameroon,CMR,2011,62.66
Canada,CAN,2011,28.29
Cape Verde,CPV,2011,67.8
Central African Republic,CAF,2011,65.09
Chad,TCD,2011,66.15
Channel Islands,OWID_CIS,2011,39.45
Chile,CHL,2011,81.65
China,CHN,2011,52.91
Colombia,COL,2011,53.09
Comoros,COM,2011,65.39
Congo,COG,2011,67.8
Costa Rica,CRI,2011,49.86
Cote d'Ivoire,CIV,2011,65.85
Croatia,HRV,2011,26.66
Cuba,CUB,2011,59.31
Curacao,CUW,2011,43.43
Cyprus,CYP,2011,32.61
Czechia,CZE,2011,17.71
Democratic Republic of Congo,COD,2011,73.52
Denmark,DNK,2011,34.63
Djibouti,DJI,2011,65.95
Dominican Republic,DOM,2011,53.26
East Timor,TLS,2011,82.98
Eastern Mediterranean,,2011,57.14
Ecuador,ECU,2011,52.8
Egypt,EGY,2011,50.93
El Salvador,SLV,2011,50.04
Equatorial Guinea,GNQ,2011,64.7
Eritrea,ERI,2011,65.02
Estonia,EST,2011,24.04
Eswatini,SWZ,2011,42.4
Ethiopia,ETH,2011,64.34
Europe,,2011,30.82
Fiji,FJI,2011,36.57
Finland,FIN,2011,27.74
France,FRA,2011,29.08
French Polynesia,PYF,2011,43.99
Gabon,GAB,2011,73.86
Gambia,GMB,2011,71.58
Georgia,GEO,2011,33
Germany,DEU,2011,12.76
Ghana,GHA,2011,73.39
Greece,GRC,2011,28.83
Grenada,GRD,2011,57.03
Guam,GUM,2011,61.51
Guatemala,GTM,2011,52.66
Guinea,GIN,2011,71.79
Guinea-Bissau,GNB,2011,71.09
Guyana,GUY,2011,59.83
Haiti,HTI,2011,60.48
Honduras,HND,2011,52.41
Hong Kong,HKG,2011,50.04
Hungary,HUN,2011,24.72
Iceland,ISL,2011,28.8
India,IND,2011,68.79
Indonesia,IDN,2011,78.57
Iran,IRN,2011,49.12
Iraq,IRQ,2011,58.23
Ireland,IRL,2011,31.53
Israel,ISR,2011,27.83
Italy,ITA,2011,28.41
Jamaica,JAM,2011,49.98
Japan,JPN,2011,33.48
Jordan,JOR,2011,52.15
Kazakhstan,KAZ,2011,39.28
Kenya,KEN,2011,57.59
Kiribati,KIR,2011,52.71
Kuwait,KWT,2011,69.44
