Entity,Code,Day,cumulative_estimated_daily_excess_deaths,Total confirmed deaths due to COVID-19,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_95_bot
Afghanistan,AFG,2020-01-01,-18.756844,,122.48365,-116.71083
Afghanistan,AFG,2020-01-06,-37.516743,,247.00064,-230.20143
Afghanistan,AFG,2020-01-13,-56.289806,,388.1859,-327.66223
Afghanistan,AFG,2020-01-20,-25.927069,,541.51245,-434.27994
Afghanistan,AFG,2020-01-27,-19.829502,,677.72424,-617.6911
Afghanistan,AFG,2020-02-03,-16.548454,,830.5787,-706.57855
Afghanistan,AFG,2020-02-10,-21.487867,,990.5903,-1233.0511
Afghanistan,AFG,2020-02-17,-27.289562,,1189.491,-1527.3579
Afghanistan,AFG,2020-02-24,-25.445044,,1347.1414,-1835.647
Afghanistan,AFG,2020-03-02,-141.13145,,1489.2374,-2328.838
Afghanistan,AFG,2020-03-09,-205.6315,,1714.499,-2602.1592
Afghanistan,AFG,2020-03-16,24.72356,,2185.4514,-2490.2883
Afghanistan,AFG,2020-03-23,-114.45871,,2600.8992,-2594.0999
Afghanistan,AFG,2020-03-30,-227.824,,2968.6719,-3073.532
Afghanistan,AFG,2020-04-06,-126.19543,,3270.8748,-3438.1519
Afghanistan,AFG,2020-04-13,-151.94252,,3724.3762,-3729.3523
Afghanistan,AFG,2020-04-20,-229.26039,,4273.466,-4208.36
Afghanistan,AFG,2020-04-27,-260.94507,,4780.5522,-4677.586
Afghanistan,AFG,2020-05-04,-97.91591,,5415.9526,-4731.5146
Afghanistan,AFG,2020-05-11,106.183815,,6079.084,-4587.6436
Afghanistan,AFG,2020-05-18,567.59705,,6740.5493,-4185.1714
Afghanistan,AFG,2020-05-25,937.4551,,7476.2095,-3666.5479
Afghanistan,AFG,2020-06-01,1464.353,,8370.978,-2812.084
Afghanistan,AFG,2020-06-08,2983.698,,9643.546,-2218.5493
Afghanistan,AFG,2020-06-15,4553.3125,,11199.854,-1887.7346
Afghanistan,AFG,2020-06-22,6212.5596,,12757.291,-1547.1381
Afghanistan,AFG,2020-06-29,7420.9067,,14120.668,-898.0542
Afghanistan,AFG,2020-07-06,8714.138,,15302.635,-435.92288
Afghanistan,AFG,2020-07-13,9648.156,,16723.115,-17.801569
Afghanistan,AFG,2020-07-20,10590.962,,17977.082,472.39767
Afghanistan,AFG,2020-07-27,11379.025,,19046.666,711.0971
Afghanistan,AFG,2020-08-03,12096.184,,19761.45,899.1823
Afghanistan,AFG,2020-08-10,12674.096,,20336.465,1046.7819
Afghanistan,AFG,2020-08-17,13609.068,,20841.19,1213.1656
Afghanistan,AFG,2020-08-24,14812.757,,21421.332,1504.697
Afghanistan,AFG,2020-08-31,15795.586,,22028.09,1669.1609
Afghanistan,AFG,2020-09-07,16325.63,,22506.748,1933.89
Afghanistan,AFG,2020-09-14,16808.86,,22968.969,2223.0186
Afghanistan,AFG,2020-09-21,17181.297,,23436.312,2521.333
Afghanistan,AFG,2020-09-28,17674.197,,23930.309,2774.8467
Afghanistan,AFG,2020-10-05,18099.258,,24407.664,3001.6602
Afghanistan,AFG,2020-10-12,18794.098,,25262.521,3444.8645
Afghanistan,AFG,2020-10-19,19516.594,,26165.764,3901.048
Afghanistan,AFG,2020-10-26,20214.62,,27320.838,4362.7734
Afghanistan,AFG,2020-11-02,21096.71,,28356.291,4884.151
Afghanistan,AFG,2020-11-09,22001.244,,29266.16,5472.0415
Afghanistan,AFG,2020-11-16,22908.266,,30206.168,5855.4927
Afghanistan,AFG,2020-11-23,23822.836,,31295.379,6325.5117
Afghanistan,AFG,2020-11-30,24360.832,,32332.004,6898.074
Afghanistan,AFG,2020-12-07,25373.533,,33791.016,7438.1187
Afghanistan,AFG,2020-12-14,25880.1,,34963.773,7798.3364
Afghanistan,AFG,2020-12-21,26383.443,,36174.305,8107.155
Afghanistan,AFG,2020-12-28,26584.734,,37082.633,8196.56
Afghanistan,AFG,2021-01-04,26849.943,,38493.29,8247.522
Afghanistan,AFG,2021-01-11,27095.328,,39763.84,8177.064
Afghanistan,AFG,2021-01-18,27236.383,,40916.074,8100.648
Afghanistan,AFG,2021-01-25,27391.38,,41903.46,8091.289
Afghanistan,AFG,2021-02-01,27547.832,,42466.445,8165.6904
Afghanistan,AFG,2021-02-08,27745.518,,42925.66,8172.965
Afghanistan,AFG,2021-02-15,27912.13,,43860.15,8271.211
Afghanistan,AFG,2021-02-22,28105.557,,44391.938,8474.209
Afghanistan,AFG,2021-03-01,28318.002,,44744.098,8731.905
Afghanistan,AFG,2021-03-08,28535.277,,44927.223,8960.581
Afghanistan,AFG,2021-03-15,28842.133,,45112.098,9260.679
Afghanistan,AFG,2021-03-22,29153.047,,45781.184,9637.27
Afghanistan,AFG,2021-03-29,29599.447,,46875.46,9831.536
Afghanistan,AFG,2021-04-05,30073.105,,48112.395,10100.329
Afghanistan,AFG,2021-04-12,30566.488,,49280.09,10454.233
Afghanistan,AFG,2021-04-19,31215.248,,50568.87,10642.752
Afghanistan,AFG,2021-04-26,31891.105,,51845.73,11035.494
Afghanistan,AFG,2021-05-03,32669.342,,53416.52,11786.872
Afghanistan,AFG,2021-05-10,33761.625,,55247.016,12555.654
Afghanistan,AFG,2021-05-17,34973.926,,56893.938,13302.93
Afghanistan,AFG,2021-05-24,36477.707,,58601.703,13539.355
Afghanistan,AFG,2021-05-31,38160.27,,59628.26,13833.209
Afghanistan,AFG,2021-06-07,40286.332,,60477.816,14496.6
Afghanistan,AFG,2021-06-14,42606.305,,61745.01,15821.513
Afghanistan,AFG,2021-06-21,44912.734,,63033.293,17277.326
Afghanistan,AFG,2021-06-28,46410.586,,64180.484,18523.719
Afghanistan,AFG,2021-07-05,48170.14,,65928.13,19527.4
Afghanistan,AFG,2021-07-12,49959.69,,67740.805,21093.482
Afghanistan,AFG,2021-07-19,51537.88,,69102.164,22069.273
Afghanistan,AFG,2021-07-26,53505.49,,70851.63,22807.693
Afghanistan,AFG,2021-08-02,55204.203,,72310.32,23605.525
Afghanistan,AFG,2021-08-09,56372.098,,73833.7,24728.498
Afghanistan,AFG,2021-08-16,57475.69,,74811.516,25437.842
Afghanistan,AFG,2021-08-23,58526.215,,75806.58,25968.191
Afghanistan,AFG,2021-08-30,59523.96,,76836.12,26474.676
Afghanistan,AFG,2021-09-06,60312.14,,77771.84,27063.309
Afghanistan,AFG,2021-09-13,60973.395,,78832.82,27582.031
Afghanistan,AFG,2021-09-20,61541.836,,79842.625,28004.432
Afghanistan,AFG,2021-09-27,62066.6,,80707.305,28204.428
Afghanistan,AFG,2021-10-04,62586.758,,81613.195,28517.955
Afghanistan,AFG,2021-10-11,63190.18,,82394.42,28684.953
Afghanistan,AFG,2021-10-18,63723.645,,83129.016,28963.838
Afghanistan,AFG,2021-10-25,64142.71,,83761.18,29317.877
Afghanistan,AFG,2021-11-01,64623.547,,84440.25,29723.307
Afghanistan,AFG,2021-11-08,65015.152,,84926.58,30027.057
Afghanistan,AFG,2021-11-15,65357.09,,85346.69,30487.332
Afghanistan,AFG,2021-11-22,65709.055,,85745.52,30623.299
Afghanistan,AFG,2021-11-29,65962.9,,86263.766,30571.008
Afghanistan,AFG,2021-12-06,66209.44,,86836.45,30484.986
Afghanistan,AFG,2021-12-13,66456.57,,87409.65,30361.58
Afghanistan,AFG,2021-12-20,66718.01,,87855.08,30275.25
Afghanistan,AFG,2021-12-27,67218.086,,88304.66,30117.826
Afghanistan,AFG,2022-01-03,67638.875,,88795.65,29886.424
Afghanistan,AFG,2022-01-10,68051.3,,89284.375,29759.986
Afghanistan,AFG,2022-01-17,68451.27,,90395.47,29696.082
Afghanistan,AFG,2022-01-24,68923.51,,92934.086,29664.398
Afghanistan,AFG,2022-01-31,70250.44,,96685.33,31070.729
Afghanistan,AFG,2022-02-07,71639.055,,98705.266,33301.47
Afghanistan,AFG,2022-02-14,73034.14,,100706.53,33730.47
Afghanistan,AFG,2022-02-21,74263.984,,102354.52,34468.414
Afghanistan,AFG,2022-02-28,75525.57,,103452.91,34922.164
Afghanistan,AFG,2022-03-07,77013.8,,104320.63,35173.344
Afghanistan,AFG,2022-03-14,78103.055,,104976.984,35045.71
Afghanistan,AFG,2022-03-21,78563.83,,105487.09,34810.5
Afghanistan,AFG,2022-03-28,79180.9,,106449.66,35087.04
Afghanistan,AFG,2022-04-04,79706.02,,107035.22,34959.926
Afghanistan,AFG,2022-04-11,80088.67,,107650.13,34846.43
Afghanistan,AFG,2022-04-18,80491.945,,108935.27,34751.484
Afghanistan,AFG,2022-04-25,80899.625,,110690.75,34588.97
Afghanistan,AFG,2022-05-02,81204.664,,112360.06,34444.305
Afghanistan,AFG,2022-05-09,81600.7,,113905.734,34367.105
Afghanistan,AFG,2022-05-16,81967.6,,115356.42,34271.203
Afghanistan,AFG,2022-05-23,82354.87,,116800.96,34279.957
Afghanistan,AFG,2022-05-30,83071.23,,118542.25,34361.605
