Month-Year,Number_Trucks_Sold
03-Jan,155
03-Feb,173
03-Mar,204
03-Apr,219
03-May,223
03-Jun,208
03-Jul,228
03-Aug,228
03-Sep,188
03-Oct,165
03-Nov,152
03-Dec,182
04-Jan,160
04-Feb,185
04-Mar,217
04-Apr,229
04-May,231
04-Jun,230
04-Jul,262
04-Aug,262
04-Sep,219
04-Oct,185
04-Nov,167
04-Dec,216
05-Jan,201
05-Feb,220
05-Mar,274
05-Apr,276
05-May,318
05-Jun,274
05-Jul,307
05-Aug,307
05-Sep,255
05-Oct,224
05-Nov,213
05-Dec,255
06-Jan,237
06-Feb,263
06-Mar,297
06-Apr,307
06-May,338
06-Jun,336
06-Jul,354
06-Aug,373
06-Sep,289
06-Oct,265
06-Nov,252
06-Dec,299
07-Jan,272
07-Feb,287
07-Mar,363
07-Apr,398
07-May,424
07-Jun,374
07-Jul,407
07-Aug,419
07-Sep,329
07-Oct,293
07-Nov,263
07-Dec,309
08-Jan,283
08-Feb,275
08-Mar,362
08-Apr,385
08-May,432
08-Jun,407
08-Jul,465
08-Aug,451
08-Sep,359
08-Oct,318
08-Nov,297
08-Dec,353
09-Jan,336
09-Feb,341
09-Mar,411
09-Apr,455
09-May,499
09-Jun,485
09-Jul,561
09-Aug,535
09-Sep,432
09-Oct,380
09-Nov,347
09-Dec,428
10-Jan,394
10-Feb,405
10-Mar,488
10-Apr,530
10-May,587
10-Jun,576
10-Jul,636
10-Aug,624
10-Sep,492
10-Oct,425
10-Nov,396
10-Dec,471
11-Jan,437
11-Feb,440
11-Mar,548
11-Apr,590
11-May,656
11-Jun,650
11-Jul,716
11-Aug,719
11-Sep,560
11-Oct,481
11-Nov,447
11-Dec,517
12-Jan,471
12-Feb,465
12-Mar,558
12-Apr,590
12-May,671
12-Jun,670
12-Jul,756
12-Aug,778
12-Sep,560
12-Oct,497
12-Nov,453
12-Dec,519
13-Jan,499
13-Feb,501
13-Mar,625
13-Apr,671
13-May,777
13-Jun,727
13-Jul,844
13-Aug,861
13-Sep,641
13-Oct,564
13-Nov,529
13-Dec,624
14-Jan,578
14-Feb,572
14-Mar,646
14-Apr,781
14-May,872
14-Jun,824
14-Jul,958
14-Aug,933
14-Sep,704
14-Oct,639
14-Nov,571
14-Dec,666
