name,price,stars,review_count,condition
Apple iPhone 13 (512GB) - Starlight,"66,999",4,"21,717",new
Apple iPhone 12 (256GB) - Green,"69,900",3,"31,899",new
Apple iPhone 15 Pro (128 GB) - Natural Titanium,"1,31,990",2,55,new
Apple iPhone 13 (512 GB) - Green,"66,999",1,"21,717",new
Apple iPhone 15 Plus (128 GB) - Pink,"86,990",4.4,138,new
Apple iPhone 15 (256 GB) - Pink,"86,990",4.6,290,new
Apple iPhone 15 (256 GB) - Black,"86,990",4.5,290,new
Apple iPhone 13 (512GB) - Midnight,"66,999",4.5,"21,717",new
Apple iPhone 15 Pro (256 GB) - Blue Titanium,"1,41,990",4.5,55,new
Apple iPhone 14 Pro (256 GB) - Gold,"1,39,900",3.6,782,new
Apple iPhone 15 Plus (256 GB) - Black,"99,900",4.5,138,new
Apple iPhone 13 (512GB) - Pink,"66,999",4.4,"21,717",new
Apple iPhone 13 (256GB) - Blue,"63,999",3.6,"21,717",new
Apple iPhone 15 Plus (128 GB) - Green,"86,990",4.5,138,new
Apple iPhone 15 Plus (256 GB) - Pink,"96,990",4.5,138,new
Apple iPhone 13 (256 GB) - Green,"63,999",3.6,"21,717",new
iPhone 15 Pro Max (256 GB) - White Titanium,"1,56,990",4.5,78,new
iPhone 15 Plus (256 GB) - Pink,"96,990",4.4,138,new
iPhone 15 (256 GB) - Pink,"86,990",4.5,290,new
iPhone 13 (512GB) - Pink,"66,999",4.6,"21,717",new
iPhone 15 (128 GB) - Yellow,"76,990",4,290,new
iPhone 15 Pro (256 GB) - Blue Titanium,"1,41,990",3,55,new
iPhone 15 (256 GB) - Green,"86,990",2,290,new
iPhone 15 Pro Max (256 GB) - Black Titanium,"1,56,990",1,78,new
iPhone 15 Pro (1 TB) - Natural Titanium,"1,81,990",4.5,55,new
iPhone 12 (256GB) - Purple,"63,999",4.5,"31,899",new
iPhone 13 (512GB) - Starlight,"66,999",4.5,"21,717",new
iPhone 15 Pro (128 GB) - Black Titanium,"1,31,990",4.6,55,new
iPhone 14 (256 GB) - (Product) RED,"71,999",4.4,189,new
iPhone 14 Plus (128 GB) - (Product) RED,"69,999",4.5,750,new
iPhone 13 (512GB) - Blue,"66,999",3.6,"21,717",new
iPhone 15 Plus (256 GB) - Yellow,"96,990",4.4,138,new
iPhone 12 (256GB) - Black,"63,999",4.6,"31,899",new
iPhone 13 (256GB) - (Product) RED,"63,999",3.6,"21,717",new
iPhone 13 (512GB) - Pink,"66,999",4.5,"21,717",new
iPhone 15 Pro Max (256 GB) - Black Titanium,"1,56,990",4.5,78,new
iPhone 15 (128 GB) - Yellow,"76,990",3.6,290,new
iPhone 14 Plus (256 GB) - (Product) RED,"79,999",4.5,750,new
iPhone 15 Pro Max (256 GB) - White Titanium,"1,56,990",4.5,78,new
iPhone 15 (512 GB) - Yellow,"1,06,990",4.5,290,new
iPhone 15 Pro (256 GB) - Blue Titanium,"1,41,990",4,55,new
iPhone 13 (512GB) - Starlight,"66,999",3,"21,717",new
iPhone 12 (256GB) - Purple,"63,999",2,"31,899",new
iPhone 15 Pro (1 TB) - Natural Titanium,"1,81,990",1,55,new
iPhone 15 Plus (256 GB) - Yellow,"96,990",4.5,138,new
iPhone 13 (512 GB) - Green,"66,999",4.5,"21,717",new
