country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,7480461,7571537,7667533,7764546,7864285,7971931,8087727,8210201,8333826,8468211,8622466,8790140,8969047,9157465,9355514,9565147,9783147,10010030,10247780,10494489,10752971,11015857,11286753,11575305,11869879,12157386,12425267,12687301,12938862,12986369,12486631,11155195,10088289,9951449,10243686,10512221,10448442,10322758,10383460,10673168,10694796,10745167,12057433,14003760,15455555,16418912,17106595,17788819,18493132,19262847,19542982,19688632,21000256,22645130,23553551,24411191,25442944,25903301,26427199,27385307,28189672,29249157,30466479,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462,41128771,42239854
Albania,1252582,1289168,1326948,1366744,1409005,1453730,1500624,1549571,1600983,1655020,1711189,1769079,1828232,1888302,1949013,2009789,2070689,2132443,2195466,2259799,2324731,2389812,2455171,2520436,2585452,2650122,2713560,2774795,2833314,2888763,2941651,2992389,3041179,3087911,3131726,3171725,3207128,3237676,3263019,3282182,3295066,3302081,3303739,3300711,3293999,3284364,3271331,3253719,3232175,3208260,3182021,3153612,3123551,3092991,3062622,3032634,3003387,2976084,2951689,2930541,2913399,2900654,2892193,2887014,2884102,2882481,2881063,2879355,2877013,2873883,2866849,2854710,2842321,2832439
Algeria,9019866,9271734,9521702,9771686,10011541,10242288,10473168,10703251,10933784,11164443,11394307,11598608,11778260,11969451,12179099,12381256,12613389,12897115,13190975,13491016,13795915,14110271,14439748,14786469,15153602,15724692,16500516,17134192,17632645,18166981,18739378,19351357,20000096,20682111,21393530,22132905,22882553,23586101,24243018,24889507,25518074,26133905,26748303,27354327,27937006,28478022,28984634,29476031,29924668,30346083,30774621,31200985,31624696,32055883,32510186,32956690,33435080,33983827,34569592,35196037,35856344,36543541,37260563,38000626,38760168,39543154,40339329,41136546,41927007,42705368,43451666,44177969,44903225,45606480
American Samoa,19032,19425,19561,19670,19758,19826,19902,19937,19918,19883,20085,20626,21272,21949,22656,23391,24122,24848,25608,26396,27075,27593,28063,28529,29012,29573,30198,30816,31428,32045,32886,34059,35367,36735,38168,39663,41221,42842,44532,46288,47818,48992,50078,51174,52288,53401,54500,55578,56603,57594,58230,58324,58177,57941,57626,57254,56837,56383,55891,55366,54849,54310,53691,52995,52217,51368,50448,49463,48424,47321,46189,45035,44273,43914
Andorra,6005,5827,5454,5308,5566,6116,6705,7330,7994,8700,9443,10216,11014,11839,12690,13563,14546,15745,17079,18449,19860,21322,22832,24393,26003,27640,29294,30949,32574,34142,35611,36987,38598,40432,42181,43809,45605,47635,49654,51639,53569,55434,57283,59156,61037,62928,64147,64682,65186,65655,66097,67820,70849,73907,76933,79826,80221,78168,76055,73852,71519,70567,71013,71367,71621,71746,72540,73837,75013,76343,77700,79034,79824,80088
Angola,4478184,4569738,4663958,4758724,4850458,4938118,5022109,5104328,5185839,5269947,5357195,5441333,5521400,5599827,5673199,5736582,5787044,5827503,5868203,5928386,6029700,6177049,6364731,6578230,6802494,7032713,7266780,7511895,7771590,8043218,8330047,8631457,8947152,9276707,9617702,9970621,10332574,10694057,11060261,11439498,11828638,12228691,12632507,13038270,13462031,13912253,14383350,14871146,15366864,15870753,16394062,16941587,17516139,18124342,18771125,19450959,20162340,20909684,21691522,22507674,23364185,24259111,25188292,26147002,27128337,28127721,29154746,30208628,31273533,32353588,33428486,34503774,35588987,36684202
Anguilla,5017,5244,5403,5529,5659,5752,5787,5793,5783,5756,5752,5795,5855,5913,5968,6018,6071,6127,6178,6229,6283,6329,6366,6399,6429,6463,6497,6519,6535,6548,6560,6571,6585,6601,6691,6907,7167,7436,7718,8017,8316,8617,8887,9121,9356,9601,9863,10132,10416,10722,11047,11344,11560,11744,11934,12128,12325,12524,12730,12946,13172,13341,13455,13700,14120,14525,14813,15015,15181,15380,15585,15753,15857,15899
Antigua and Barbuda,45435,46398,47359,48317,49280,50264,51250,52245,53263,54299,55342,56245,57008,57778,58664,59644,60615,61617,62658,63742,64517,64769,64695,64463,64218,64035,63990,64117,64329,64609,64889,65076,65231,65408,65362,65048,64712,64353,63982,63636,63328,63634,64659,65834,67072,68398,69798,71218,72572,73821,75055,76215,77195,78075,78941,79869,80895,82016,83251,84534,85695,86729,87674,88497,89236,89941,90564,91119,91626,92117,92664,93219,93763,94298
Argentina,17017742,17354612,17693853,18032740,18369249,18700686,19031192,19363786,19695352,20024524,20349744,20680653,21020359,21364017,21708487,22053661,22403116,22757014,23112971,23472028,23842803,24223379,24612794,25020588,25449754,25875558,26290257,26713780,27146121,27584134,28024803,28471285,28922762,29377137,29832197,30287112,30748326,31216453,31690792,32165766,32637657,33105763,33568285,34027240,34488696,34946110,35389362,35815971,36233195,36653031,37070774,37480493,37885028,38278164,38668796,39070501,39476851,39876111,40273769,40684338,41100123,41520740,41952365,42388269,42824054,43257065,43668241,44054616,44413596,44745520,45036032,45276780,45510318,45773884
Armenia,1385041,1424000,1465061,1508559,1554921,1604376,1657515,1714534,1774816,1838234,1904148,1971530,2039346,2106142,2171029,2234051,2295496,2355997,2416461,2476359,2534377,2590923,2648048,2706852,2767646,2830798,2896311,2965523,3038224,3097058,3135123,3167876,3202011,3238291,3272102,3300896,3327182,3351364,3366838,3448186,3556539,3617631,3574555,3457349,3373713,3322782,3298898,3271418,3240550,3206030,3168523,3133133,3105037,3084102,3065745,3047246,3026486,3004393,2983421,2964296,2946293,2928976,2914421,2901385,2889930,2878595,2865835,2851923,2836557,2820602,2805608,2790974,2780469,2777970
Aruba,38797,40231,41758,43305,44869,46464,48094,49747,51404,53044,54608,55811,56682,57475,58178,58782,59291,59522,59471,59330,59106,58816,58855,59365,60028,60715,61193,61465,61738,62006,62267,62614,63116,63683,64174,64478,64553,64450,64332,64596,65712,67864,70192,72360,74710,77050,79417,81858,84355,86867,89101,90691,91781,92701,93540,94483,95606,96787,97996,99212,100341,101288,102112,102880,103594,104257,104874,105439,105962,106442,106585,106537,106445,106277
Australia,8177167,8419830,8632792,8819165,9003370,9209844,9429810,9644191,9853146,10065683,10286647,10505938,10711941,10917375,11131609,11359442,11592675,11809110,12027262,12268349,12595034,12993834,13300308,13513318,13713388,13886854,14038072,14193365,14355814,14520527,14706322,14930052,15168445,15383076,15579476,15785682,16012299,16259249,16525903,16796588,17048003,17271086,17462504,17631511,17805504,18002999,18211845,18410250,18601667,18800892,19017963,19248143,19475844,19698999,19925056,20171731,20467030,20830828,21247873,21660892,22019168,22357034,22729269,23111782,23469579,23820236,24195701,24590334,24979230,25357170,25670051,25921089,26177413,26439111
Austria,6936440,6930431,6927015,6931794,6939642,6946260,6951739,6965319,6986787,7013596,7046553,7085435,7128967,7174868,7222900,7269888,7320913,7375630,7413808,7439324,7465301,7498541,7542077,7584023,7597030,7576926,7563511,7566358,7560249,7547481,7547561,7566316,7571289,7559110,7558563,7562114,7567248,7572380,7583761,7619391,7678729,7755638,7840816,7905278,7935365,7947296,7958041,7967093,7975862,7991377,8010428,8039626,8078992,8120104,8171217,8227034,8267763,8294722,8321131,8342935,8362829,8391200,8429637,8479539,8546066,8642421,8736487,8797496,8840513,8879940,8907777,8922082,8939617,8958960
Azerbaijan,3158966,3225280,3296850,3374174,3458184,3550017,3649871,3758021,3874677,3999395,4131484,4269886,4412316,4556648,4699755,4837811,4969078,5091822,5207417,5318380,5425317,5529211,5630344,5729065,5826984,5925012,6021448,6115755,6208636,6297208,6383060,6472524,6567522,6669007,6777225,6891140,7009127,7132685,7261151,7348874,7427836,7538267,7643338,7740107,7821880,7889330,7949101,8000061,8041096,8101449,8190337,8282023,8372127,8462322,8556164,8656237,8763353,8878411,8999696,9119628,9237202,9359014,9485576,9614478,9741880,9863480,9976248,10071567,10152522,10232753,10284951,10312992,10358074,10412651
