title,published_at,duration,view_count
Taylor Swift - You're Losing Me (From The Vault),2023-11-29T13:00:47Z,PT4M39S,7278886
"Rent on demand starting … you guessed it, December 13 🫶💋",2023-11-27T20:21:45Z,PT1M1S,1050064
✨🫶 My name is Taylor and I was born in 1989 🫶✨,2023-10-31T20:08:57Z,PT19S,1196267
Taylor Swift - Cruel Summer (LP Giobbi Remix),2023-10-19T00:30:06Z,PT3M19S,696792
Taylor Swift - Cruel Summer (Live from Taylor Swift | The Eras Tour),2023-10-19T00:30:25Z,PT3M55S,3437493
The Eras Tour concert film is now officially coming to theaters WORLDWIDE on Oct 13! 🩵,2023-09-26T11:58:51Z,PT31S,1338900
"Thank you for making these reveals so much chaotic fun (which is the best kind of fun, after all 😜)",2023-09-20T22:13:54Z,PT29S,857197
TAYLOR SWIFT | THE ERAS TOUR Concert Film Official Trailer,2023-08-31T12:17:49Z,PT1M30S,11545908
Pre order 1989 (Taylor’s Version) now on my site 🩵😎🩵,2023-08-10T06:26:11Z,PT16S,1489197
Summer forecast: Cruel. 😎,2023-07-21T18:56:15Z,PT26S,2505814
13 days til we return Speak Now to its mother 😝,2023-06-24T15:56:37Z,PT7S,3541103
Taylor Swift - Snow On The Beach (Feat. More Lana Del Rey),2023-05-26T04:00:01Z,PT3M50S,11267965
Taylor Swift - Hits Different,2023-05-26T04:00:19Z,PT3M56S,8500076
It fills me with such pride & joy to announce that my version of Speak Now will be out July 7 💜💜💜,2023-05-06T04:06:59Z,PT7S,884474
Taylor Swift - Lavender Haze (Acoustic Version),2023-03-31T04:00:01Z,PT3M,1675872
Taylor Swift - Lavender Haze (Tensnake Remix),2023-03-03T05:00:16Z,PT3M38S,262921
Taylor Swift - Lavender Haze (Jungle Remix),2023-03-03T05:00:23Z,PT3M59S,257925
Taylor Swift - Lavender Haze (Snakehips Remix),2023-03-03T05:00:29Z,PT3M11S,709726
Taylor Swift - Lavender Haze (Behind The Scenes),2023-03-03T04:56:53Z,PT3M32S,1385247
Taylor Swift - Lavender Haze (Felix Jaehn Remix),2023-02-10T05:00:05Z,PT2M57S,683311
Meet me at midnight…for the Lavender Haze music video premiere (!!!!!!!!!!!!!),2023-01-26T13:10:08Z,PT10S,1425226
Taylor Swift - All Too Well: The Short Film (Behind The Scenes),2022-12-08T14:00:09Z,PT6M57S,6206403
Taylor Swift - Anti-Hero (ILLENIUM Remix),2022-11-18T05:00:32Z,PT4M32S,1740851
"It’s me, Benjamin 🐱 joining the #TSAntiHeroChallenge brought to you by YouTube Shorts",2022-11-11T17:04:21Z,PT16S,50506505
Taylor Swift - Anti-Hero (Kungs Remix),2022-11-11T03:00:20Z,PT3M19S,1217013
Taylor Swift - Anti-Hero (Roosevelt Remix),2022-11-11T03:00:30Z,PT5M4S,636417
Taylor Swift - Anti-Hero (Jayda G Remix),2022-11-11T03:00:06Z,PT3M36S,706548
The Anti Hero (Roosevelt remix) makes me feel hyped enough for an imaginary funeral brawl,2022-11-09T21:05:35Z,PT16S,2242473
Taylor Swift - Anti-Hero (feat. Bleachers),2022-11-08T05:00:13Z,PT3M52S,2074071
"It’s me, 👋 sharing ALL the problems. Join the #TSAntiHeroChallenge brought to you by YouTube Shorts",2022-11-04T14:53:16Z,PT16S,57972784
"Hits Different really hits different, plus it’s got one of my fav bridges 😆 only avail at Target",2022-11-04T13:42:37Z,PT11S,2629356
Total surprise 😉 Share yours with  #TSAntiHeroChallenge brought to you by YouTube Shorts.,2022-11-01T12:31:39Z,PT16S,78028885
We’re the problem,2022-10-26T18:32:03Z,PT10S,2218621
"🫣 Join my #TSAntiHeroChallenge and share your anti-heroic traits, brought to you by YouTube Shorts.",2022-10-21T12:10:21Z,PT16S,125922041
"😺 Join my #TSAntiHeroChallenge and share your anti-heroic traits, brought to you by YouTube Shorts.",2022-10-21T12:10:06Z,PT16S,105500781
