channel,title,published_at,duration,view_count,like_count,comment_count
T-Series,"Vaaste Song: Dhvani Bhanushali, Tanishk Bagchi | Nikhil D | Bhushan Kumar | Radhika Rao, Vinay Sapru",2019-04-06T11:56:37Z,PT4M27S,1561022629,12988151,354618
T-Series,"Lut Gaye (Full Song) Emraan Hashmi, Yukti | Jubin N, Tanishk B, Manoj M | Bhushan K | Radhika-Vinay",2021-02-17T06:30:11Z,PT4M58S,1359806730,10843379,339291
T-Series,"DILBAR Lyrical | Satyameva Jayate |John Abraham, Nora Fatehi,Tanishk B, Neha Kakkar,Dhvani, Ikka",2018-07-09T13:50:00Z,PT3M19S,1282963820,5473245,187258
T-Series,"SIMMBA: Aankh Marey Lyrical | Ranveer Singh, Sara Ali Khan | Tanishk Bagchi, Mika Singh,Neha,Kumar S",2018-12-11T13:59:09Z,PT3M49S,1225984874,3538702,84363
T-Series,Guru Randhawa: High Rated Gabru Official Song | DirectorGifty | Bhushan Kumar | T-Series,2017-07-04T04:33:11Z,PT3M37S,1199323677,6332393,418830
T-Series,"Cham Cham Full Video | BAAGHI | Tiger Shroff, Shraddha Kapoor| Meet Bros, Monali Thakur| Sabbir Khan",2016-05-06T08:02:29Z,PT3M52S,1190009786,3942036,92361
T-Series,Guru Randhawa: Lahore (Official Video) Bhushan Kumar | Vee | DirectorGifty | T-Series,2017-12-14T04:29:47Z,PT3M55S,1077490049,6130006,313570
T-Series,Bom Diggy Diggy  (VIDEO) | Zack Knight | Jasmin Walia | Sonu Ke Titu Ki Sweety,2018-02-08T08:24:30Z,PT3M22S,1034346763,4573061,128828
T-Series,"Bum Bum Bole (Full Song) Film - Taare Zameen Par |  Shaan, Aamir Khan",2011-05-24T20:39:36Z,PT4M57S,1002373219,2802111,62345
T-Series,"Full Song: KHAIRIYAT (BONUS TRACK) | CHHICHHORE | Sushant, Shraddha | Pritam, Amitabh B|Arijit Singh",2019-09-26T11:15:00Z,PT3M59S,984582060,7269045,255433
T-Series,Leja Re | Dhvani Bhanushali | Tanishk Bagchi | Rashmi Virag |Radhika Rao| Vinay Sapru | Siddharth,2018-11-24T07:43:34Z,PT4M20S,971434735,5793321,147862
T-Series,"SIMMBA: Aankh Marey | Ranveer Singh, Sara Ali Khan | Tanishk Bagchi,Mika Singh,Neha Kakkar,  Kumar S",2018-12-06T05:30:01Z,PT3M23S,952716007,4286157,154380
T-Series,Official Video: Humnava Mere Song | Jubin Nautiyal | Manoj Muntashir | Rocky - Shiv | Bhushan Kumar,2018-05-23T05:31:53Z,PT6M47S,929512863,6647898,155169
T-Series,"'PREM RATAN DHAN PAYO' Title Song (Full VIDEO) | Salman Khan, Sonam Kapoor | Palak Muchhal T-Series",2015-12-01T12:42:52Z,PT4M24S,916311375,2603353,70815
T-Series,"Jagga Jasoos: Galti Se Mistake Video Song | Ranbir, Katrina | Pritam, Arijit, Amit | Amitabh B",2017-06-09T08:19:17Z,PT2M45S,900813585,3407857,72760
T-Series,Official Video: Nikle Currant Song | Jassi Gill | Neha Kakkar | Sukh-E Muzical Doctorz | Jaani,2018-10-12T04:30:08Z,PT3M34S,886822105,4498555,160416
