channel,title,published_at,duration,view_count,like_count,comment_count
Zee Music Company,Mile Ho Tum - Reprise Version | Neha Kakkar | Tony Kakkar | Fever | Gaurav Jang,2016-07-27T12:25:03Z,PT4M1S,1306078283,7833023,383935
Zee Music Company,"Kala Chashma | Baar Baar Dekho | Sidharth M Katrina K | Prem, Hardeep, Badshah, Kam, Neha, Indeep",2016-07-27T04:28:59Z,PT2M54S,955890603,3398338,68632
Zee Music Company,"Phir Bhi Tumko Chaahunga - Full Song | Arijit Singh | Arjun K & Shraddha K | Mithoon, Manoj M",2017-07-06T13:48:11Z,PT6M2S,944312202,5155964,195383
Zee Music Company,Jaha Tum Rahoge | Maheruh | Amit Dolawat & Drisha More | Altamash Faridi | Kalyan Bhardhan,2017-11-02T10:21:42Z,PT5M22S,887911122,1484635,61045
Zee Music Company,Laila Main Laila | Raees | Shah Rukh Khan | Sunny Leone | Pawni Pandey | Ram Sampath,2016-12-21T12:29:15Z,PT2M41S,796425443,3002659,74340
Zee Music Company,Pyaar De | Sunny Leone & Rajniesh Duggall | Ankit Tiwari | Beiimaan Love,2016-09-14T03:30:01Z,PT5M25S,667380722,1466065,24612
Zee Music Company,Ve Maahi | Kesari | Akshay Kumar & Parineeti Chopra | Arijit Singh & Asees Kaur | Tanishk Bagchi,2019-03-21T05:33:15Z,PT3M55S,645689652,3825111,138323
Zee Music Company,"Kaun Hain Voh - Full Video | Baahubali - The  Beginning | Kailash K | Prabhas | MM Kreem , Manoj M",2015-10-28T08:34:49Z,PT4M1S,617896549,3116109,72322
Zee Music Company,"Thoda Thoda Pyaar | Sidharth Malhotra,Neha Sharma|Stebin Ben,Nilesh Ahuja,Kumaar|Zee Music Originals",2021-02-12T05:25:08Z,PT4M33S,580679709,5027844,82679
Zee Music Company,Namo Namo - Lyrical | Kedarnath | Sushant Rajput | Sara Ali Khan | Amit Trivedi | Amitabh B,2020-07-09T06:13:47Z,PT5M29S,579252385,3884090,135239
Zee Music Company,Hook Up Song -  Student Of The Year 2 | Tiger Shroff & Alia | Vishal and Shekhar |Neha Kakkar|Kumaar,2019-04-30T10:29:08Z,PT3M22S,515813087,2828207,86306
Zee Music Company,"Makhna - Drive| Sushant Singh Rajput, Jacqueline Fernandez| Tanishk Bagchi, Asees Kaur",2019-10-03T06:33:28Z,PT3M14S,479540402,3346875,64148
Zee Music Company,Teri Mitti - Kesari | Akshay Kumar & Parineeti Chopra | Arko | B Praak | Manoj Muntashir,2019-03-15T09:34:55Z,PT4M48S,443903724,5369519,209204
Zee Music Company,"Sauda Khara Khara |Good Newwz| Akshay kumar , Kareena , Diljit , Kiara| Sukhbir,Dhvani,Lijo,DjChetas",2019-12-03T08:28:45Z,PT3M42S,417572495,2012508,33774
Zee Music Company,"Jogi - Lyrical |Shaadi Mein Zaroor Aana |Rajkummar Rao,Kriti K|Arko ft Aakanksha Sharma",2017-11-09T12:16:33Z,PT4M40S,407124670,1988158,46711
Zee Music Company,Zaalima | Raees | Shah Rukh Khan & Mahira Khan | Arijit Singh & Harshdeep Kaur | JAM8 | Pritam,2017-01-05T06:36:49Z,PT2M52S,388257593,2655049,80201
Zee Music Company,"Sun Saathiya Full Video | Disney's ABCD 2 | Varun Dhawan , Shraddha Kapoor | Sachin Jigar | Priya S",2015-07-30T08:30:00Z,PT3M16S,382244479,2741507,45315
Zee Music Company,"Tareefan | Veere Di Wedding | QARAN  Ft. Badshah | Kareena Kapoor Khan, Sonam Kapoor, Swara & Shikha",2018-05-02T06:30:53Z,PT3M5S,381247595,2221331,93301
Zee Music Company,"Dilbaro - Full Video | Raazi | Alia Bhatt | Harshdeep Kaur, Vibha Saraf & Shankar Mahadevan",2018-07-05T12:58:13Z,PT3M41S,368109309,2146533,80727
Zee Music Company,Teri Mitti - Lyrical | Kesari | Akshay Kumar & Parineeti Chopra | Arko | B Praak| Manoj Muntashir,2019-04-30T07:50:26Z,PT5M26S,367403107,3365264,109872
Zee Music Company,"Nazm Nazm - Lyrical | Bareilly Ki Barfi | Kriti Sanon, Ayushmann Khurrana & Rajkummar Rao | Arko",2017-08-16T10:25:06Z,PT3M56S,359934822,1890462,36751
Zee Music Company,Burjkhalifa | Laxmii | Akshay Kumar | Kiara Advani | Nikhita Gandhi | Shashi-Dj Khushi | Gagan,2020-10-18T07:00:27Z,PT3M26S,347746051,2744310,20318
Zee Music Company,"Ik Mulaqaat - Dream Girl | Ayushmann Khurrana, Nushrat Bharucha | Meet Bros Ft. Altamash F & Palak M",2019-09-03T06:00:27Z,PT2M37S,343514830,2071513,35405
Zee Music Company,"Apna Bana Le - Bhediya | Varun Dhawan, Kriti Sanon| Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya",2022-11-07T09:00:10Z,PT3M25S,337306130,2696799,30805
Zee Music Company,Pallo Latke | Jyotica Tangri | Shaadi Mein Zaroor Aana |Rajkummar & Kriti Kharbanda | Fazilpuria,2017-10-23T06:30:10Z,PT3M40S,336166694,1569658,53150
Zee Music Company,"Rula Ke Gaya Ishq | Bhavin, Sameeksha, Vishal | Stebin Ben, Sunny-Inder, Kumaar| Zee Music Originals",2019-11-21T06:30:11Z,PT4M17S,323413290,4709777,105213
Zee Music Company,"Jitni Dafa - Lyrical | PARMANU | John Abraham , Diana | Jeet Gannguli | RashmiVirag",2018-05-25T11:08:57Z,PT3M33S,313774004,1624098,72004
Zee Music Company,Qaafirana | Kedarnath | Sushant Rajput | Sara Ali Khan | Arijit Singh & Nikhita | Amit Trivedi,2019-01-02T14:37:38Z,PT6M16S,306676815,2036255,48162
Zee Music Company,Zingaat Hindi | Dhadak | Ishaan & Janhvi | Ajay-Atul | Amitabh Bhattacharya,2018-06-27T07:00:07Z,PT2M57S,303350113,1562251,81684
Zee Music Company,Gadar - Udja Kale Kawa (Victory) - Full Song Video | Sunny Deol & Ameesha Patel | Udit Narayan,2014-05-16T08:38:19Z,PT4M39S,301145163,1497932,38540
Zee Music Company,Manali Trance | Yo Yo Honey Singh & Neha Kakkar | The Shaukeens | Lisa Haydon | Akshay Kumar,2014-11-18T10:39:15Z,PT3M40S,289130039,2052457,31984
Zee Music Company,"Mera Intkam Dekhegi | Shaadi Mein Zaroor Aana | Rajkummar R, Kriti K | Krishna Beuraa |Anand R Anand",2017-10-31T06:31:19Z,PT2M15S,279543044,2294472,93833
Zee Music Company,Apna Time Aayega | Gully Boy | Ranveer Singh & Alia Bhatt | DIVINE | Dub Sharma | Zoya Akhtar,2019-01-14T06:30:04Z,PT2M11S,274599556,2767428,62758
Zee Music Company,Naino Ne Baandhi - Lyrical | Gold | Akshay Kumar | Mouni Roy | Arko,2018-07-19T10:59:01Z,PT4M10S,255384051,1063095,24639
Zee Music Company,Tere Sang Yaara - Full Video | Rustom | Akshay Kumar & Ileana D'cruz | Arko ft. Atif Aslam | Manoj M,2016-10-18T13:51:26Z,PT4M55S,254305691,1704166,32185
Zee Music Company,Roko Na | Haseena | Mohit Arora & Inaayat Sharma | Ali Aslam & Shom Chanda,2017-08-23T12:30:00Z,PT2M14S,249375384,367029,9315
Zee Music Company,Udi Udi Jaye | Raees | Shah Rukh Khan & Mahira Khan | Ram Sampath,2017-01-12T04:30:07Z,PT2M31S,243353685,1018125,26355
Zee Music Company,"Mumbai Dilli Di Kudiyaan | Student Of The Year 2 |  Tiger, Tara & Ananya| Vishal Shekhar| Dev, Payal",2019-04-24T06:39:12Z,PT3M39S,240785638,1414029,48153
Zee Music Company,"Kalank Title Track - Lyrical | Alia Bhatt , Varun Dhawan | Arijit Singh | Pritam| Amitabh",2019-04-17T12:40:24Z,PT5M14S,239410318,1545668,33661
Zee Music Company,Raftaar x Nora Fatehi - Baby Marvake Maanegi | Remo D'souza | Hot Dance Song,2017-05-09T06:29:56Z,PT3M16S,236989575,1939456,34157
Zee Music Company,"Pal Pal Dil Ke Paas - Title | Arijit Singh | Karan Deol, Sahher | Parampara, Sachet, Rishi Rich",2019-08-27T03:30:14Z,PT3M3S,227365862,3140345,72544
Zee Music Company,"Manohari - Full Video | Baahubali - The Beginning | Prabhas & Rana | Divya Kumar | M M Kreem , Manoj",2015-11-03T13:45:03Z,PT4M18S,224189648,1314034,25998
Zee Music Company,"Bang Bang Title Track Full Video | BANG BANG|Hrithik Roshan Katrina Kaif |Vishal Shekhar,Benny,Neeti",2014-09-29T13:16:48Z,PT4M8S,214780116,924419,27446
Zee Music Company,"Kalank - First Class | Varun Dhawan , Alia Bhatt , Kiara Advani | Arijit Singh | Pritam | Amitabh B",2019-03-22T09:00:30Z,PT2M53S,214152087,1584718,54139
Zee Music Company,"Jaan Ban Gaye - Khuda Haafiz |Vidyut Jammwal , Shivaleeka O | Mithoon Ft. Vishal Mishra, Asees Kaur",2020-07-29T06:30:19Z,PT3M44S,214285921,2214108,36621
Zee Music Company,Maheroo Maheroo | Super Nani | Sharman Joshi | Shweta Kumar |Shreya Ghoshal | Sanjeev Darshan,2014-12-13T05:17:51Z,PT4M52S,213511225,1385664,39108
Zee Music Company,"Sweety Tera Drama | Bareilly Ki Barfi | Kriti Sanon, Ayushmann, Rajkummar | Tanishk | Pawni , Dev",2017-07-24T04:30:10Z,PT2M30S,213118869,916281,17513
Zee Music Company,"Baarish - Full Video | Half Girlfriend | Arjun Kapoor & Shraddha Kapoor| Ash King , Sashaa | Tanishk",2017-07-06T13:48:12Z,PT4M46S,210872721,1411115,31081
Zee Music Company,"Seeti Maar | Radhe - Your Most Wanted Bhai | Salman Khan, Disha Patani|Kamaal K, Iulia V|DSP|Shabbir",2021-04-26T05:30:18Z,PT3M,209041039,1506722,242239
Zee Music Company,"Naiyo Lagda - Kisi Ka Bhai Kisi Ki Jaan | Salman Khan & Pooja Hegde | Himesh R, Kamaal K, Palak M",2023-02-12T16:31:20Z,PT3M56S,208124700,2635713,108981
Zee Music Company,"Maiyya Mainu - Lyrical | Jersey | Shahid Kapoor, Mrunal Thakur| Sachet-Parampara| Shellee | Gowtam T",2021-12-29T04:30:11Z,PT4M2S,206333896,1097228,9084
Zee Music Company,"Jatt Ludhiyane Da - Student Of The Year 2 | Tiger Shroff, Tara & Ananya |Vishal & Shekhar| Payal Dev",2019-05-07T07:30:32Z,PT2M24S,202977051,1233350,34190
Zee Music Company,"First Class - Full Video | Kalank | Varun Dhawan, Alia Bhatt, Kiara | Arijit Singh | Pritam| Amitabh",2019-05-14T13:06:13Z,PT5M3S,200143128,1306087,25067
Zee Music Company,Jaan Nisaar - Lyrical | Kedarnath| Arijit Singh | Sushant Singh Rajput | Sara Ali Khan| Amit Trivedi,2020-06-25T07:31:08Z,PT4M9S,199662701,1798357,42276
Zee Music Company,"The Wakhra Song - Judgementall Hai Kya |Kangana R & Rajkummar R|Tanishk,Navv Inder,Raja Kumari",2019-07-08T05:11:26Z,PT2M41S,196825585,1302546,26394
Zee Music Company,Happy Bday Full Song | ABCD 2 | Varun Dhawan - Shraddha Kapoor | Sachin - Jigar | D. Soldierz,2015-06-03T15:32:11Z,PT3M36S,196554566,1340114,20290
