Rank,University_Name,National/Regional Rank,Alumni,Award,Hici,N&S,PUB,PCP
1,Harvard University,1,100.0,97.1,100.0,100.0,100.0,85.7
2,Stanford University,2,45.3,88.1,73.1,83.9,73.1,59.6
3,Massachusetts Institute of Technology (MIT),3,71.9,82.8,55.2,70.8,59.1,73.6
4,University of Cambridge,1,78.2,90.8,45.1,59.8,67.2,60.6
5,"University of California, Berkeley",4,65.3,76.5,46.9,62.8,57.1,55.5
6,University of Oxford,2,49.5,59.7,51.3,57.2,77.1,47.9
7,Princeton University,5,61.2,100.0,26.0,51.3,42.3,75.3
8,California Institute of Technology,6-7,55.7,63.4,29.8,57.9,41.0,100.0
8,Columbia University,6-7,59.4,63.2,42.7,51.9,67.0,31.6
10,University of Chicago,8,59.0,84.5,32.5,44.9,53.0,44.2
11,Yale University,9,50.3,49.6,45.1,54.3,65.2,38.6
12,Paris-Saclay University,1,36.9,73.8,33.8,33.9,65.7,47.1
12,Cornell University,10,42.2,44.2,41.7,55.8,63.9,45.0
14,University of Pennsylvania,11,32.0,39.6,51.7,44.5,68.5,42.6
15,"University of California, Los Angeles",12,29.8,45.0,44.6,51.0,67.2,29.1
16,University College London,3,27.0,31.5,48.7,41.7,78.5,34.1
17,Johns Hopkins University,13,34.0,34.6,45.6,38.7,74.6,29.3
18,University of Washington,14-15,22.6,33.2,43.7,52.3,71.4,25.9
18,"University of California, San Diego",14-15,18.0,32.4,54.5,51.7,60.8,32.7
20,"University of California, San Francisco",16,0.0,41.9,49.6,55.6,60.1,31.1
21,ETH Zurich,1,26.5,42.2,30.5,53.3,54.6,48.8
22,Tsinghua University,1,9.0,0.0,57.5,47.1,86.2,34.0
23,Washington University in St. Louis,17,20.8,27.4,47.8,39.1,53.2,36.7
24,Peking University,2,10.4,0.0,41.2,44.0,89.2,32.2
25,Imperial College London,4,12.7,31.3,37.4,36.2,63.7,39.2
26,University of Toronto,1,16.4,13.0,39.1,36.6,82.0,30.3
27,Zhejiang University,3,0.0,0.0,41.2,37.0,99.5,27.0
28,The University of Tokyo,1,36.3,23.5,21.6,45.3,68.6,24.0
29,Rockefeller University,18,15.6,57.6,26.8,41.7,16.0,74.4
30,University of Michigan-Ann Arbor,19,37.1,9.8,33.2,39.1,74.0,23.3
31,New York University,20,26.5,35.1,29.8,40.1,56.5,19.9
32,University of Copenhagen,1,18.7,20.6,30.5,36.3,66.4,36.1
33,PSL University,2,50.3,45.1,9.2,23.7,52.6,50.0
33,Northwestern University,21,12.7,25.8,38.5,38.3,57.6,28.9
35,University of North Carolina at Chapel Hill,22,7.3,21.9,41.7,34.1,59.8,32.2
36,University of Wisconsin - Madison,23,28.0,31.3,27.6,31.7,59.9,24.0
37,The University of Melbourne,1,14.7,11.3,42.2,24.6,72.0,32.2
38,Shanghai Jiao Tong University,4,0.0,0.0,32.5,28.3,95.7,27.4
39,Duke University,24,19.4,17.8,33.2,37.7,60.1,22.1
40,The University of Edinburgh,5,25.4,22.6,35.7,28.9,55.2,27.3
41,Sorbonne University,3,38.6,23.4,20.6,29.2,61.4,27.4
42,University of Science and Technology of China,5,0.0,0.0,41.2,34.2,76.1,31.3
43,Karolinska Institute,1,22.6,23.8,22.5,25.1,56.0,53.2
43,University of Munich,1,24.9,19.2,25.2,32.0,55.2,42.7
45,The University of Texas at Austin,25,23.2,21.6,32.5,29.0,55.6,28.6
45,Kyoto University,2,33.6,38.8,17.2,25.7,55.2,21.7
47,"University of Minnesota, Twin Cities",26,26.0,15.0,36.2,26.9,60.5,22.7
47,Technical University of Munich,2,34.0,17.2,22.5,26.9,55.3,47.9
47,University of British Columbia,2,13.7,17.2,31.9,29.6,65.5,24.1
50,Heidelberg University,3,18.0,21.1,20.6,32.5,53.6,50.3
50,Fudan University,6,0.0,0.0,36.8,31.1,80.5,27.4
52,The University of Manchester,6,14.7,29.1,22.5,30.5,57.3,28.6
53,King's College London,7,23.2,16.8,41.2,18.5,57.5,29.4
54,The University of Texas Southwestern Medical Center at Dallas,27,17.2,31.4,31.2,34.4,39.9,27.4
55,Utrecht University,1,20.8,17.2,35.1,24.2,57.3,27.6
55,University of Illinois at Urbana-Champaign,28,25.4,33.0,17.2,29.9,51.9,26.1
55,Swiss Federal Institute of Technology Lausanne,2,0.0,29.1,25.2,38.2,39.8,50.7
58,University of Geneva,3,37.4,37.3,13.0,25.7,43.2,37.9
58,"University of Maryland, College Park",29,17.2,18.4,29.8,35.6,48.5,31.5
60,Université Paris Cité,4,13.9,10.1,34.4,27.9,59.5,25.0
61,University of Bonn,4,30.3,33.0,18.4,20.7,41.8,42.6
62,University of Southern California,30,0.0,29.1,31.2,23.6,53.3,25.0
63,The University of Queensland,2,11.6,0.0,39.1,24.1,63.6,34.1
64,"University of California, Santa Barbara",31,13.7,36.0,18.4,35.2,34.5,35.8
65,University of Colorado at Boulder,32,11.6,31.4,19.5,32.2,43.8,31.9
66,Vanderbilt University,33,13.7,26.1,26.0,21.0,51.3,33.5
67,University of Zurich,4,0.0,20.6,23.5,30.7,54.5,35.8
68,National University of Singapore,1,0.0,0.0,40.7,24.9,63.1,33.5
69,University of Groningen,2,12.7,22.6,26.0,21.3,54.4,28.3
69,The University of Hong Kong,1,0.0,0.0,48.7,24.2,56.5,29.9
69,Weizmann Institute of Science,1,16.4,15.0,32.5,39.7,26.3,45.3
72,University of Oslo,1,24.9,29.1,18.4,15.0,54.4,29.2
72,Sun Yat-sen University,7,0.0,0.0,27.6,17.8,85.9,25.0
74,University of Sydney,3,12.7,0.0,34.4,21.4,66.4,29.7
74,McGill University,3,29.4,0.0,26.0,30.4,58.7,27.3
76,"University of California, Irvine",34,14.7,26.9,25.2,25.0,46.4,24.6
77,The University of New South Wales,4,0.0,0.0,38.0,25.2,63.3,31.3
78,KU Leuven,1,0.0,0.0,32.5,28.2,59.8,32.9
79,Huazhong University of Science and Technology,8,0.0,0.0,26.8,18.7,79.1,23.0
80,Aarhus University,2,10.4,20.3,15.9,24.4,55.7,28.2
81,The Hebrew University of Jerusalem,2,29.8,26.1,13.0,22.7,43.2,30.7
82,The Ohio State University - Columbus,35,10.4,16.8,20.6,21.0,62.7,17.0
82,Nanjing University,9,0.0,0.0,26.8,27.6,66.8,26.6
82,Monash University,5,0.0,0.0,26.0,25.5,67.9,30.8
85,Technion-Israel Institute of Technology,3,22.0,34.9,13.0,20.7,34.9,39.6
86,Seoul National University,1,15.6,0.0,19.5,24.4,68.4,26.0
86,The University of Texas M. D. Anderson Cancer Center,36,0.0,13.8,35.1,20.4,36.9,53.7
88,Uppsala University,2,20.1,20.6,14.6,24.0,49.9,27.1
89,Wuhan University,10,0.0,0.0,29.1,20.5,72.5,20.3
90,King Saud University,1,0.0,0.0,40.1,6.1,73.0,24.9
90,Ghent University,2,0.0,9.2,32.5,17.8,55.5,33.3
90,Nanyang Technological University,2,0.0,0.0,42.2,20.4,53.9,30.3
90,University of Pittsburgh,37,16.4,0.0,31.2,25.2,58.0,18.1
94,Central South University,11,0.0,0.0,27.6,9.3,81.6,24.5
