revision_number,date,region,Residence,divorce_count,region_code
r_1,2000,Total for the country,Total,10578,BG
r_1,2000,Total for the country,City/Urban,9024,BG
r_1,2000,Total for the country,Rural,1554,BG
r_1,2001,Total for the country,Total,10275,BG
r_1,2001,Total for the country,City/Urban,8771,BG
r_1,2001,Total for the country,Rural,1504,BG
r_1,2002,Total for the country,Total,10203,BG
r_1,2002,Total for the country,City/Urban,8618,BG
r_1,2002,Total for the country,Rural,1585,BG
r_1,2003,Total for the country,Total,12003,BG
r_1,2003,Total for the country,City/Urban,9976,BG
r_1,2003,Total for the country,Rural,2027,BG
r_1,2004,Total for the country,Total,14669,BG
r_1,2004,Total for the country,City/Urban,11811,BG
r_1,2004,Total for the country,Rural,2858,BG
r_1,2005,Total for the country,Total,14676,BG
r_1,2005,Total for the country,City/Urban,11813,BG
r_1,2005,Total for the country,Rural,2863,BG
r_1,2006,Total for the country,Total,14828,BG
r_1,2006,Total for the country,City/Urban,12160,BG
r_1,2006,Total for the country,Rural,2668,BG
r_1,2007,Total for the country,Total,16347,BG
r_1,2007,Total for the country,City/Urban,13672,BG
r_1,2007,Total for the country,Rural,2675,BG
r_1,2008,Total for the country,Total,14104,BG
r_1,2008,Total for the country,City/Urban,11515,BG
r_1,2008,Total for the country,Rural,2589,BG
r_1,2009,Total for the country,Total,11662,BG
r_1,2009,Total for the country,City/Urban,9640,BG
r_1,2009,Total for the country,Rural,2022,BG
r_1,2010,Total for the country,Total,11012,BG
r_1,2010,Total for the country,City/Urban,9254,BG
r_1,2010,Total for the country,Rural,1758,BG
r_1,2011,Total for the country,Total,10581,BG
r_1,2011,Total for the country,City/Urban,8849,BG
r_1,2011,Total for the country,Rural,1732,BG
r_1,2012,Total for the country,Total,11947,BG
r_1,2012,Total for the country,City/Urban,9861,BG
r_1,2012,Total for the country,Rural,2086,BG
r_1,2013,Total for the country,Total,10908,BG
r_1,2013,Total for the country,City/Urban,9058,BG
r_1,2013,Total for the country,Rural,1850,BG
r_1,2014,Total for the country,Total,10584,BG
r_1,2014,Total for the country,City/Urban,8680,BG
r_1,2014,Total for the country,Rural,1904,BG
r_1,2000,Severna i Yugoiztochna Bulgaria,Total,5710,BG3
r_1,2000,Severna i Yugoiztochna Bulgaria,City/Urban,4680,BG3
r_1,2000,Severna i Yugoiztochna Bulgaria,Rural,1030,BG3
r_1,2001,Severna i Yugoiztochna Bulgaria,Total,5727,BG3
r_1,2001,Severna i Yugoiztochna Bulgaria,City/Urban,4703,BG3
r_1,2001,Severna i Yugoiztochna Bulgaria,Rural,1024,BG3
r_1,2002,Severna i Yugoiztochna Bulgaria,Total,5556,BG3
r_1,2002,Severna i Yugoiztochna Bulgaria,City/Urban,4522,BG3
r_1,2002,Severna i Yugoiztochna Bulgaria,Rural,1034,BG3
r_1,2003,Severna i Yugoiztochna Bulgaria,Total,6562,BG3
r_1,2003,Severna i Yugoiztochna Bulgaria,City/Urban,5189,BG3
r_1,2003,Severna i Yugoiztochna Bulgaria,Rural,1373,BG3
r_1,2004,Severna i Yugoiztochna Bulgaria,Total,8444,BG3
r_1,2004,Severna i Yugoiztochna Bulgaria,City/Urban,6453,BG3
r_1,2004,Severna i Yugoiztochna Bulgaria,Rural,1991,BG3
r_1,2005,Severna i Yugoiztochna Bulgaria,Total,8055,BG3
r_1,2005,Severna i Yugoiztochna Bulgaria,City/Urban,6164,BG3
r_1,2005,Severna i Yugoiztochna Bulgaria,Rural,1891,BG3
r_1,2006,Severna i Yugoiztochna Bulgaria,Total,7984,BG3
r_1,2006,Severna i Yugoiztochna Bulgaria,City/Urban,6230,BG3
r_1,2006,Severna i Yugoiztochna Bulgaria,Rural,1754,BG3
r_1,2007,Severna i Yugoiztochna Bulgaria,Total,7707,BG3
r_1,2007,Severna i Yugoiztochna Bulgaria,City/Urban,6066,BG3
r_1,2007,Severna i Yugoiztochna Bulgaria,Rural,1641,BG3
r_1,2008,Severna i Yugoiztochna Bulgaria,Total,7775,BG3
r_1,2008,Severna i Yugoiztochna Bulgaria,City/Urban,6068,BG3
r_1,2008,Severna i Yugoiztochna Bulgaria,Rural,1707,BG3
r_1,2009,Severna i Yugoiztochna Bulgaria,Total,6308,BG3
r_1,2009,Severna i Yugoiztochna Bulgaria,City/Urban,5050,BG3
r_1,2009,Severna i Yugoiztochna Bulgaria,Rural,1258,BG3
r_1,2010,Severna i Yugoiztochna Bulgaria,Total,5571,BG3
r_1,2010,Severna i Yugoiztochna Bulgaria,City/Urban,4520,BG3
r_1,2010,Severna i Yugoiztochna Bulgaria,Rural,1051,BG3
r_1,2011,Severna i Yugoiztochna Bulgaria,Total,5401,BG3
r_1,2011,Severna i Yugoiztochna Bulgaria,City/Urban,4359,BG3
r_1,2011,Severna i Yugoiztochna Bulgaria,Rural,1042,BG3
r_1,2012,Severna i Yugoiztochna Bulgaria,Total,6157,BG3
r_1,2012,Severna i Yugoiztochna Bulgaria,City/Urban,4948,BG3
r_1,2012,Severna i Yugoiztochna Bulgaria,Rural,1209,BG3
r_1,2013,Severna i Yugoiztochna Bulgaria,Total,5575,BG3
r_1,2013,Severna i Yugoiztochna Bulgaria,City/Urban,4509,BG3
r_1,2013,Severna i Yugoiztochna Bulgaria,Rural,1066,BG3
r_1,2014,Severna i Yugoiztochna Bulgaria,Total,5537,BG3
r_1,2014,Severna i Yugoiztochna Bulgaria,City/Urban,4412,BG3
r_1,2014,Severna i Yugoiztochna Bulgaria,Rural,1125,BG3
r_1,2000,Severozapaden,Total,1222,BG31
r_1,2000,Severozapaden,City/Urban,961,BG31
r_1,2000,Severozapaden,Rural,261,BG31
r_1,2001,Severozapaden,Total,1284,BG31
r_1,2001,Severozapaden,City/Urban,1016,BG31
r_1,2001,Severozapaden,Rural,268,BG31
r_1,2002,Severozapaden,Total,1270,BG31
r_1,2002,Severozapaden,City/Urban,991,BG31
r_1,2002,Severozapaden,Rural,279,BG31
r_1,2003,Severozapaden,Total,1517,BG31
r_1,2003,Severozapaden,City/Urban,1149,BG31
r_1,2003,Severozapaden,Rural,368,BG31
r_1,2004,Severozapaden,Total,2198,BG31
r_1,2004,Severozapaden,City/Urban,1608,BG31
r_1,2004,Severozapaden,Rural,590,BG31
r_1,2005,Severozapaden,Total,2248,BG31
r_1,2005,Severozapaden,City/Urban,1621,BG31
r_1,2005,Severozapaden,Rural,627,BG31
r_1,2006,Severozapaden,Total,1973,BG31
r_1,2006,Severozapaden,City/Urban,1471,BG31
r_1,2006,Severozapaden,Rural,502,BG31
r_1,2007,Severozapaden,Total,1726,BG31
r_1,2007,Severozapaden,City/Urban,1281,BG31
r_1,2007,Severozapaden,Rural,445,BG31
r_1,2008,Severozapaden,Total,1711,BG31
r_1,2008,Severozapaden,City/Urban,1266,BG31
r_1,2008,Severozapaden,Rural,445,BG31
r_1,2009,Severozapaden,Total,1402,BG31
r_1,2009,Severozapaden,City/Urban,1069,BG31
r_1,2009,Severozapaden,Rural,333,BG31
r_1,2010,Severozapaden,Total,1104,BG31
r_1,2010,Severozapaden,City/Urban,837,BG31
r_1,2010,Severozapaden,Rural,267,BG31
r_1,2011,Severozapaden,Total,1144,BG31
r_1,2011,Severozapaden,City/Urban,879,BG31
r_1,2011,Severozapaden,Rural,265,BG31
r_1,2012,Severozapaden,Total,1190,BG31
r_1,2012,Severozapaden,City/Urban,893,BG31
r_1,2012,Severozapaden,Rural,297,BG31
r_1,2013,Severozapaden,Total,1164,BG31
r_1,2013,Severozapaden,City/Urban,878,BG31
