Name,Price,Producer,MPN,EAN,UPC,Form Factor,Size,RPM,Cache,Product Page
HGST Deskstar NAS 0S03661,,HGST,0S03661,0705487193794,,,3 TB,7200,,
HGST Deskstar NAS 0S03665,,HGST,0S03665,0705487194036,,,4 TB,7200,,
HGST Deskstar NAS 0S03940,,HGST,0S03940,0705487200201,,,5 TB,7200,,
HGST Deskstar NAS v2 0S03941,,HGST,0S03941,0705487200300,,,6 TB,7200,,
Toshiba DT01ACA100 1TB 32MB,$65.49 USD,Toshiba,DT01ACA100,0608729688839,696859078965,,1 TB,7200,,https://www.amazon.ca/Toshiba-3-5-Inch-Internal-Drive-DT01ACA100/dp/B00AV5FEV4?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00AV5FEV4
Toshiba P300 HDWD110EZSTA 1TB 64MB,$18.88 USD,Toshiba,HDWD110EZSTA,4051528202670,,,1 TB,7200,,https://www.amazon.ca/1868806-Flexible-Cable-Black-White/dp/B0140Z4P7Y?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0140Z4P7Y
HGST Ultrastar 7K4000,,HGST,0F14683,8717306631082,,,4 TB,7200,,
HGST Ultrastar He6,$466.85 USD,HGST,0F18335,0672042149803,,,6 TB,7200,,https://www.amazon.ca/Ultrastar-Enterprise-Internal-Drive-Cache/dp/B00GTD3AR2?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00GTD3AR2
HGST Ultrastar He8,$491.18 USD,HGST,0F23267,8717306633901,,,8 TB,7200,,https://www.amazon.ca/Western-Digital-Ultrastar-3-5-Inch-0F23267/dp/B00NP6AOCK?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00NP6AOCK
Hitachi HGST Travelstar 5K1000,,Hitachi HGST,HTS541010A9E680,4016138794397,,,1 TB,5400,8,
Hitachi HGST Travelstar 7K1000,,Hitachi HGST,HTS721010A9E630,0829686002661,,,1 TB,7200,32,
Hitachi HGST Ultrastar 7K4000,,Hitachi HGST,HUS724020ALE640,0829686002449,,,2 TB,7200,,
Seagate Archive Hard Drive ST6000AS0002 6TB 5900rpm 128MB,,Seagate,ST6000AS0002,8592978037819,,,6 TB,5900,,
Seagate Archive Hard Drive ST8000AS0002 8TB 5900rpm 128MB,,Seagate,ST8000AS0002,7636490056932,,,8 TB,5900,,
Seagate BarraCuda Compute Hard Drive 2 TB,$43.52 USD,Seagate,ST2000DM008,0763649113653,763649113653,"3.5""",2 TB,7200,256,https://www.amazon.ca/dp/B07H2RR55Q?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate Barracuda Hard Drive,,Seagate,ST4000DM000,7636490034879,,,4 TB,5900,64,
Seagate Barracuda Hard Drive,$48.67 USD,Seagate,ST1000DM003,7636490025914,,,1 TB,7200,64,https://www.amazon.ca/Seagate-Desktop-HDD-Hard-Drive/dp/B01KALOV08?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01KALOV08
