Name,Price,Producer,MPN,EAN,UPC,Resolution,Refresh Rate,Size,Panel,Response Time,HDMI,DisplayPort,DVI,VGA,Speaker,Curved,Adjustable Height,Sync,Product Page
Acer CB242Y bir,$166.76 USD,Acer,UM.QB2AA.001,0744759158536,193199329202,1920 x 1080,75 Hz,"23.8""",IPS,1,1,0,0,1,True,False,True,FreeSync,https://www.amazon.ca/dp/B07V9ZM155?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Acer CB242Y bmiprx,,Acer,UM.QB2EE.001,4710180458268,,1920 x 1080,75 Hz,"23.8""",IPS,1,1,1,0,1,True,False,True,FreeSync,
AOC 24G2U,,AOC,24G2U/BK,4038986146944,,1920 x 1080,144 Hz,"23.8""",IPS,5,0,0,0,0,True,False,True,FreeSync,
AOC 27G2U,,AOC,27G2U/BK,4038986186964,,1920 x 1080,144 Hz,"27""",IPS,5,0,0,0,0,True,False,True,FreeSync,
ASUS TUF Gaming VG279QM,,ASUS,90LM05H0-B01370,4718017505918,,1920 x 1080,280 Hz,"27""",IPS,1,0,0,0,0,False,False,True,,
Gigabyte G27QC,,Gigabyte,G27QC,4719331807870,,2560 x 1440,165 Hz,"27""",VA,4,0,0,0,0,False,True,True,FreeSync,
LG UltraGear 27GL850-B,,LG,27GL850-B,8806098542314,,2560 x 1440,144 Hz,"27""",IPS,1,0,0,0,0,False,False,True,FreeSync,
LG UltraGear 27GN950-B,,LG,27GN950-B,8806098724802,,4096 x 2160,144 Hz,"27""",IPS,1,0,0,0,0,False,False,True,,
LG UltraGear 27GP850-B,,LG,27GP850-B,8806091278838,,2560 x 1440,165 Hz,"27""",IPS,1,0,0,0,0,False,False,True,,
LG UltraGear 34GN850-B,,LG,34GN850-B,8806098724765,,3440 x 1440,160 Hz,"34""",IPS,1,0,0,0,0,False,False,True,FreeSync,
Samsung S24F356,,SAMSUNG,LS24F356FHUX/EN,8806088380049,,1920 x 1080,60 Hz,"23.5""",PLS,4,0,0,0,0,False,False,False,FreeSync,
Viewsonic VX2758-2KP-MHD,$301.26 USD,ViewSonic,VX2758-2KP-MHD,0766907003901,,2560 x 1440,144 Hz,"27""",IPS,1,0,0,0,0,True,False,False,FreeSync,https://www.amazon.ca/dp/B07VJJXDBX?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Acer ED270UP,,Acer,UM.HE0EE.P10,4710886088219,,2560 x 1440,165 Hz,"27""",VA,5,0,0,0,0,False,False,False,,
Acer ED273URP,,Acer,UM.HE3EE.P01,4710180195132,,2560 x 1440,144 Hz,"27""",VA,4,0,0,0,0,True,True,False,FreeSync,
Acer ET430KB,,Acer,UM.ME0EE.010,4713883326933,,3840 × 2160,60 Hz,"43""",IPS,5,0,0,0,0,True,False,False,,
Acer GN246HL,,Acer,UM.FG6EE.B06,4713147249510,,1920 x 1080,144 Hz,"24""",TN,1,0,0,0,0,False,False,False,,
Acer GN276HL,,Acer,UM.HG6EE.006,4713392462221,,1920 x 1080,144 Hz,"27""",TN,1,1,0,1,1,False,False,False,,
Acer KG241P,,Acer,UM.FX1EE.P01,4713883789349,,1920 x 1080,144 Hz,"24""",TN,1,0,0,0,0,False,False,False,FreeSync,
Acer KG241QS,,Acer,UM.UX1EE.S01,4710180690064,,1920 x 1080,165 Hz,"23.6""",TN,1,0,0,0,0,False,False,False,FreeSync,
Acer KG281K,,Acer,UM.PX1EE.005,4713883483766,,3840 × 2160,60 Hz,"28""",TN,1,0,0,0,0,False,False,False,FreeSync,
Acer Nitro EI491CRP,,Acer,UM.SE1EE.P01,4710180164244,,3840 x 1080,144 Hz,"49""",VA,4,0,0,0,0,True,False,False,FreeSync,
Acer Nitro VG0 VG270UP,,Acer,UM.HV0EE.P01,4713883814393,,2560 x 1440,144 Hz,"27""",IPS,1,0,0,0,0,True,False,False,FreeSync,
Acer Nitro VG270K,,Acer,UM.HV0EE.010,4713883857635,,3840 × 2160,60 Hz,"27""",IPS,4,0,0,0,0,True,False,False,FreeSync,
Acer Nitro XV2 XV272UP,,Acer,UM.HX2EE.P01,4713883973922,,2560 x 1440,144 Hz,"27""",IPS,4,0,0,0,0,False,False,True,FreeSync,
Acer Nitro XV273KP,,Acer,UM.HX3EE.P04,4713883973885,,3840 × 2160,144 Hz,"27""",IPS,1,0,0,0,0,True,False,True,FreeSync,
Acer Predator X27,,Acer,UM.HX0EE.009,4713883329408,,3840 × 2160,144 Hz,"27""",IPS,4,0,0,0,0,False,False,True,G-Sync,
Acer Predator X27P,,Acer,UM.HX0EE.P01,4710180440799,,3840 × 2160,144 Hz,"27""","IPS, Quantum Dot",4,0,0,0,0,False,False,True,,
Acer Predator X34P,,Acer,UM.CX0EE.P01,4713883391726,,3440 x 1440,122 Hz,"34""",IPS,4,0,0,0,0,True,True,True,,
Acer Predator X35,,Acer,UM.CX0EE.005,4710180378368,,3440 x 1440,200 Hz,"35""","VA, Quantum Dot",4,0,0,0,0,False,True,True,,
Acer Predator XB241H,,Acer,UM.FX1EE.001,4713392448713,,1920 x 1080,180 Hz,"24""",TN,1,0,0,0,0,True,False,True,,
Acer Predator XB252Q,,Acer,UM.KX2EE.001,4713883087780,,1920 x 1080,144 Hz,"25""",TN,1,1,1,0,0,True,False,True,G-Sync,
Acer Predator XB253QGP 62,,Acer,UM.KX3EE.P08,4710180704860,,1920 x 1080,144 Hz,"24.5""",IPS,2,0,0,0,0,True,False,True,,
Acer Predator XB271HU,,Acer,UM.HX1EE.005,4713392260216,,2560 x 1440,144 Hz,"27""",IPS,4,0,0,0,0,False,False,True,G-Sync,
Acer Predator XB271HUA,,Acer,UM.HX1EE.A01,4713392553301,,2560 x 1440,165 Hz,"27""",TN,1,0,0,0,0,True,False,True,,
Acer Predator XB272,,Acer,UM.HX2EE.005,4713392948978,,1920 x 1080,240 Hz,"27""",TN,1,0,0,0,0,True,False,True,,
Acer Predator XB273KGP,,Acer,UM.HX3EE.P13,4710180480627,,3840 × 2160,144 Hz,"27""","IPS, Quantum Dot",4,0,0,0,0,True,False,True,FreeSync,
Acer Predator XB273P,,Acer,UM.HX3EE.P18,4710180501766,,1920 x 1080,144 Hz,"27""",IPS,4,0,0,0,0,True,False,True,,
