Name,Price,Producer,MPN,EAN,UPC,Ram Type,Size,Clock,Timings,Sticks,Product Page
Corsair Vengeance RGB RS,$61.19 USD,Corsair,CMG16GX4M2E3200C16,0840006649007,,DDR4-3200,16 GB,3200,16-20-20-38,2,https://www.amazon.ca/dp/B09C5V7M9X?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ADATA Lancer DDR5-5200,,ADATA,AX5U5200C3816G-CLABK,4711085936769,,DDR5-5200,16 GB,5200,38-38-38,1,
ADATA Premier DDR5-4800,,ADATA,AD5U480016G-S,4711085936448,,DDR5-4800,16 GB,4800,40,1,
ADATA XPG Spectrix D80 red,,ADATA,AX4U3200316G16-DB80,4713218467928,,DDR4-3200,32 GB,3200,16-18-18,2,
ADATA XPG Spectrix D80 black,,ADATA,AX4U320038G16-DB80,4713218467966,,DDR4-3200,16 GB,3200,16-18-18,2,
ADATA XPG Spectrix RGB D41 grey,,ADATA,AX4U320038G16-DT41,4713218466815,,DDR4-3200,16 GB,3200,16-18-18,2,
ADATA XPG Spectrix RGB D41 grey,,ADATA,AX4U3200316G16-DT41,4713218468345,,DDR4-3200,32 GB,3200,16-18-18,2,
ADATA XPG Spectrix RGB D41 grey,,ADATA,AX4U360038G17-DT41,4713218467089,,DDR4-3600,16 GB,3600,17-18-18,2,
ADATA XPG Spectrix RGB D41 red,,ADATA,AX4U360038G17-DR41,4713218467119,,DDR4-3600,16 GB,3600,17-18-18,2,
ADATA XPG Spectrix RGB D41 red,,ADATA,AX4U320038G16-DR41,4713218466808,,DDR4-3200,16 GB,3200,16-18-18,2,
ADATA XPG Spectrix RGB D60G grey,,ADATA,AX4U320038G16-DT60,4710273771908,,DDR4-3200,16 GB,3200,16-18-18,2,
ADATA XPG Spectrix RGB D60G grey,$131.73 USD,ADATA,AX4U360038G17-DT60,4710273772011,,DDR4-3600,16 GB,3600,17-18-18,2,https://www.amazon.ca/dp/B07QVWLJHQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Avexir Blitz Series, weiße LED, DDR4-3600, CL17 - 16 GB Kit",,Avexir,AVD4UZ136001708G-2BZ1SW,0711811366499,,DDR4-3600,16 GB,3600,,2,
"Avexir Core Series, blaue LED, DDR4-2400, CL16 - 16 GB Kit",,Avexir,AVD4UZ124001608G-2COB,0711811365744,,DDR4-2400,16 GB,2400,,2,
"Avexir Core Series, blaue LED, DDR4-2400, CL16 - 8 GB",,Avexir,AVD4UZ124001608G-1COB,0711811365706,,DDR4-2400,8 GB,2400,,1,
"Avexir Core Series, blaue LED, DDR4-2400, CL16 - 8 GB Kit",,Avexir,AVD4UZ124001604G-2COB,0711811365737,,DDR4-2400,8 GB,2400,,2,
"Avexir Core Series, grüne LED, DDR4-2400, CL16 - 8 GB",,Avexir,AVD4UZ124001608G-1COG,0711811367335,,DDR4-2400,8 GB,2400,,1,
"Avexir Core Series, rote LED, DDR4-2400, CL16 - 32 GB Kit",,Avexir,AVD4UZ124001608G-4COR,0711811366239,,DDR4-2400,32 GB,2400,,4,
"Avexir Core Series, rote LED, DDR4-2400, CL16 - 8 GB",,Avexir,AVD4UZ124001608G-1COR,0711811366154,,DDR4-2400,8 GB,2400,,1,
"Avexir Core Series, rote LED, DDR4-2400, CL16 - 8 GB Kit",,Avexir,AVD4UZ124001604G-2COR,0711811366185,,DDR4-2400,8 GB,2400,,2,
"Avexir Core Series, weiße LED, DDR4-2400, CL16 - 8 GB",,Avexir,AVD4UZ124001608G-1COW,0711811366277,,DDR4-2400,8 GB,2400,,1,
"Avexir Core Series, weiße LED, DDR4-2400, CL16 - 8 GB Kit",,Avexir,AVD4UZ124001604G-2COW,0711811366307,,DDR4-2400,8 GB,2400,,2,
Ballistix Sport DDR3-1600 CL9,,Ballistix,BLS8G3D1609DS1S00CEU,0649528757906,,DDR3-1600,8 GB,1600,,1,
