Rank,Active Mil Personnel,Reserve Mil Personnel ,Paramilitary ,Air Force Personnel,Army Personnel,Navy Personnel,Total Aircraft,Fighter Aircrafts,Attack Type Aircrafts,Helicopters,Attack Helicopteres,Tanks,Self-Propelled Artillerry,Towed Artillery,Rocket Artillery,Aircraft Carriers,Destroyers,Frigates,Corvettes,Submarines,Patrol Vessels,Mine Warfare,Purchasing Power Parity ,Defense Budget
"145                
             
			
				
                	
						Bhutan                    
                
				
                	
						BUT                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 6.2017","8,000",0,0,0,"5,000",0," 2			

				Readiness: 1*"," 0 (0.0%)
            	

                	Readiness: 0*"," 0 (0.0%)
            	

                	Readiness: 0*"," 2 (100.0%)
            	

                	Readiness: 1*"," 0 (0.0%)
            	

                	Readiness: 0*"," 0				

					Readiness: 0*"," 0				

					Readiness: 0*"," 0				

					Readiness: 0*"," 0				

					Readiness: 0*",,,,,,,,"$8,420,000,000 USD","$28,908,000 USD"
"144                
             
			
				
                	
						Benin                    
                
				
                	
						BEN                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 4.1269","5,000",0,0,300,"4,300",200," 2			

				Readiness: 1*"," 0 (0.0%)
            	

                	Readiness: 0*"," 0 (0.0%)
            	

                	Readiness: 0*"," 0 (0.0%)
            	

                	Readiness: 0*"," 0 (0.0%)
            	

                	Readiness: 0*"," 0				

					Readiness: 0*"," 0				

					Readiness: 0*"," 0				

					Readiness: 0*"," 0				

					Readiness: 0*",0,0,0,0,0,0,0,"$42,000,000,000 USD","$75,251,700 USD"
"143                
             
			
				
                	
						Moldova                    
                
				
                	
						MOL                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 4.0861","6,000","12,000","1,000",700,"4,000",0," 3			

				Readiness: 2*"," 0 (0.0%)
            	

                	Readiness: 0*"," 0 (0.0%)
            	

                	Readiness: 0*"," 2 (66.7%)
            	

                	Readiness: 1*"," 0 (0.0%)
            	

                	Readiness: 0*"," 0				

					Readiness: 0*"," 0				

					Readiness: 0*"," 0				

					Readiness: 0*"," 0				

					Readiness: 0*",,,,,,,,"$32,260,000,000 USD","$47,640,000 USD"
"142                
             
			
				
                	
						Somalia                    
                
				
                	
						SOM                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 4.0196","17,500",0,0,300,"15,000",300," 0			

				Readiness: 0*"," 0 (0.0%)
            	

                	Readiness: 0*"," 0 (0.0%)
            	

                	Readiness: 0*"," 0 (0.0%)
            	

                	Readiness: 0*"," 0 (0.0%)
            	

                	Readiness: 0*"," 0				

					Readiness: 0*"," 0				

					Readiness: 0*"," 0				

					Readiness: 0*"," 0				

					Readiness: 0*",0,0,0,0,0,11,0,"$13,190,000,000 USD","$63,934,000 USD"
"141                
             
			
				
                	
						Liberia                    
                
				
                	
						LIB                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 4.0006","2,000",0,0,0,"1,500",350," 0			

				Readiness: 0*"," 0 (0.0%)
            	

                	Readiness: 0*"," 0 (0.0%)
            	

                	Readiness: 0*"," 0 (0.0%)
            	

                	Readiness: 0*"," 0 (0.0%)
            	

                	Readiness: 0*"," 0				

					Readiness: 0*"," 0				

					Readiness: 0*"," 0				

					Readiness: 0*"," 0				

					Readiness: 0*",0,0,0,0,0,6,0,"$6,500,000,000 USD","$11,800,000 USD"
"140                
             
			
				
                	
						Suriname                    
                
				
                	
						SRN                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 4.0003","1,800",0,0,350,"1,000",350," 3			

				Readiness: 1*"," 0 (0.0%)
            	

                	Readiness: 0*"," 0 (0.0%)
            	

                	Readiness: 0*"," 3 (100.0%)
            	

                	Readiness: 1*"," 0 (0.0%)
            	

                	Readiness: 0*"," 0				

					Readiness: 0*"," 0				

					Readiness: 0*"," 0				

					Readiness: 0*"," 0				

					Readiness: 0*",0,0,0,0,0,16,0,"$9,460,000,000 USD","$41,888,000 USD"
"139                
             
			
				
                	
						Beliz                    
                
				
                	
						BLZ                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 3.7178","2,000","1,000",0,0,"1,500",0," 2			

				Readiness: 1*"," 0 (0.0%)
            	

                	Readiness: 0*"," 0 (0.0%)
            	

                	Readiness: 0*"," 1 (50.0%)
            	

                	Readiness: 1*"," 0 (0.0%)
            	

                	Readiness: 0*"," 0				

					Readiness: 0*"," 0				

					Readiness: 0*"," 0				

					Readiness: 0*"," 1				

					Readiness: 1*",0,0,0,0,0,10,0,"$2,450,000,000 USD","$19,332,000 USD"
"138                
             
			
				
                	
						Sierra Leone                    
                
				
                	
						SLE                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 3.5241","13,000",0,0,350,"5,000",250," 4			

				Readiness: 2*"," 0 (0.0%)
            	

                	Readiness: 0*"," 0 (0.0%)
            	

                	Readiness: 0*"," 4 (100.0%)
            	

                	Readiness: 2*"," 2 (50.0%)
            	

                	Readiness: 1*"," 2				

					Readiness: 1*"," 0				

					Readiness: 0*"," 0				

					Readiness: 0*"," 0				

					Readiness: 0*",0,0,0,0,0,7,0,"$13,150,000,000 USD","$19,325,000 USD"
"137                
             
			
				
                	
						Iceland                    
                
				
                	
						ICE                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 3.4845",0,0,0,0,0,0," 0			

				Readiness: 0*"," 0 (0.0%)
            	

                	Readiness: 0*"," 0 (0.0%)
            	

                	Readiness: 0*"," 0 (0.0%)
            	

                	Readiness: 0*"," 0 (0.0%)
            	

                	Readiness: 0*"," 0				

					Readiness: 0*"," 0				

					Readiness: 0*"," 0				

					Readiness: 0*"," 0				

					Readiness: 0*",0,0,0,0,0,0,0,"$20,000,000,000 USD",$0 USD
"136                
             
			
				
                	
						Central African Republic                    
                
				
                	
						CAR                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 3.2931","10,000",0,"1,000",500,"7,500",0," 3			

				Readiness: 1*"," 0 (0.0%)
            	

                	Readiness: 0*"," 0 (0.0%)
            	

                	Readiness: 0*"," 1 (33.3%)
            	

                	Readiness: 0*"," 0 (0.0%)
            	

                	Readiness: 0*"," 3				

					Readiness: 2*"," 0				

					Readiness: 0*"," 0				

					Readiness: 0*"," 0				

					Readiness: 0*",,,,,,,,"$4,500,000,000 USD","$41,454,000 USD"
