id,country,state,city,station,station_code,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
0,India,Andhra_Pradesh,A0ntapur,Gulzarpet, APPCB,26-12-2023 22:00,14.675886,77.593027,SO2,0,0,0
1,India,Andhra_Pradesh,Chittoor,Gangineni Cheruvu, APPCB,26-12-2023 22:00,13.20488,79.097889,SO2,7,32,12
2,India,Andhra_Pradesh,Tirupati,Tirumala, APPCB,26-12-2023 22:00,13.67,79.35,NH3,2,5,3
3,India,Andhra_Pradesh,Tirupati,Tirumala, APPCB,26-12-2023 22:00,13.67,79.35,CO,40,64,47
4,India,Andhra_Pradesh,Tirupati,Tirumala, APPCB,26-12-2023 22:00,13.67,79.35,OZONE,9,50,34
5,India,Andhra_Pradesh,Tirupati,Vaikuntapuram, APPCB,26-12-2023 22:00,13.615387,79.40923,PM10,16,250,91
6,India,Andhra_Pradesh,Tirupati,Vaikuntapuram, APPCB,26-12-2023 22:00,13.615387,79.40923,CO,42,57,48
7,India,Andhra_Pradesh,Vijayawada,HB Colony, APPCB,26-12-2023 22:00,16.536107,80.594233,PM10,31,66,46
8,India,Andhra_Pradesh,Vijayawada,HB Colony, APPCB,26-12-2023 22:00,16.536107,80.594233,CO,24,24,24
9,India,Andhra_Pradesh,Vijayawada,Rajiv Gandhi Park, APPCB,26-12-2023 22:00,16.509717,80.612222,PM2.5,52,82,66
10,India,Andhra_Pradesh,Vijayawada,Rajiv Gandhi Park, APPCB,26-12-2023 22:00,16.509717,80.612222,OZONE,3,78,52
11,India,Andhra_Pradesh,Visakhapat0m,GVM Corporation, APPCB,26-12-2023 22:00,17.72,83.3,PM2.5,103,310,186
12,India,Assam,Guwahati,IITG, PCBA,26-12-2023 22:00,26.2028636,91.70046436,PM2.5,46,330,202
13,India,Assam,Guwahati,IITG, PCBA,26-12-2023 22:00,26.2028636,91.70046436,SO2,12,14,13
14,India,Assam,Guwahati,IITG, PCBA,26-12-2023 22:00,26.2028636,91.70046436,OZONE,1,18,8
15,India,Assam,0gaon,Christianpatty, PCBA,26-12-2023 22:00,26.349082,92.68449,PM2.5,45,210,87
16,India,Assam,0lbari,Bata Chowk, PCBA,26-12-2023 22:00,26.446912,91.439057,NO2,39,62,49
17,India,Assam,Silchar,Tarapur, PCBA,26-12-2023 22:00,24.82827,92.79525,NH3,1,1,1
18,India,Assam,Silchar,Tarapur, PCBA,26-12-2023 22:00,24.82827,92.79525,CO,27,43,32
19,India,Assam,Sivasagar,Girls College, PCBA,26-12-2023 22:00,26.987634,94.636574,NH3,1,3,2
20,India,Bihar,Araria,Kharahiya Basti, BSPCB,26-12-2023 22:00,26.146529,87.454184,OZONE,10,50,27
21,India,Bihar,Arrah,New DM Office, BSPCB,26-12-2023 22:00,25.5626095,84.663264,PM10,105,260,170
22,India,Bihar,Aurangabad,Gurdeo 0gar, BSPCB,26-12-2023 22:00,24.75746,84.366208,OZONE,1,76,28
