bhk,type,area_sq_ft,location,price_lakh,carpet_area,status,bathrooms
3,Independent,1100,Rajajipuram,33,720,StatusReady,2
3,Independent,1200,Sarojini Nagar,27,,StatusUnder,2
2,Independent,1250,Jankipuram,50,1000,StatusReady,2
3,Independent,1320,Omaxe City,42,900,StatusReady,3
3,Independent,900,Vrindavan Yojna,48, ,StatusReady,2
2,Independent,1350,Matiyari,45,1120,StatusReady,2
3,Independent,1219,Bhitauli,44,,StatusReady,2
2,Independent,836,Kalyanpur West,43.47,,StatusReady,2
3,Independent,1350,Fazullaganj,42,,StatusReady,2
3,Independent,1030,IBIS,42,300,StatusReady,2
2,Independent,850,Jankipuram,27,600,StatusUnder,1
2,Villa,955,Samridhi Udyan 2,45,800,StatusReady,2
2,Independent,1000,Rajajipuram,30,800,StatusReady,2
1,Independent,720,Sarojini Nagar,28,720,StatusUnder,1
2,Independent,1050,Bakshi Ka Talab,31.5,840,StatusUnder,2
3,Independent,1450,Aurangabad,45,1000,StatusUnder,2
2,Independent,1500,Jankipuram,42,1250,StatusReady,2
3,Independent,800,Neel Matha,34,800,StatusReady,2
2,Independent,900,Neel Matha,19.99,750,StatusReady,2
2,Independent,950,Vrindavan Yojna,42.5,950,StatusReady,1
3,Independent,1050,Alambagh,45,1000,StatusReady,2
2,Villa,650,Vrindavan Yojna,28,630,StatusReady,1
2,Independent,1100,Kanausi,32,1100,StatusUnder,1
3,Independent,1100,Omaxe City,45, ,StatusReady,3
1,Independent,600,Alambagh,40,500,StatusReady,1
2,Villa,1000,Anora Kala,49.5,,StatusReady,1
2,Independent,1100,Jankipuram,44,700,StatusReady,2
2,Independent,1000,Sharda Nagar,50,750,StatusReady,2
2,Villa,1180,Bharavara,42,920,StatusReady,2
2,Independent,1100,Jankipuram,46,1000,StatusReady,2
3,Villa,1350,Faizabad Road,45,,StatusReady,2
3,Villa,1535,Bijnor Road,45,,StatusReady,5
3,Villa,1000,Sultanpur Road,27, ,StatusReady,2
2,Villa,1150,Jankipuram,38,1000,StatusReady,2
2,Villa,1100,Gomti Nagar,48,1000,StatusReady,3
2,Villa,1200,Mohanlalganj,30,1000,StatusReady,2
3,Villa,1560,Gosainganj,44,,StatusReady,2
2,Villa,1265,Alambagh,48.07,,StatusReady,3
2,Independent,1000,Mati,33,1000,StatusUnder,2
2,Independent,1250,Jankipuram,50,950,StatusReady,2
2,Independent,1000,Jankipuram,40,,StatusReady,2
2,Independent,903,Jankipuram,35,,StatusReady,2
2,Independent,1002,Jankipuram,40,,StatusReady,2
2,Independent,1261,Jankipuram,48,,StatusReady,2
2,Independent,901,Jankipuram,35,,StatusReady,2
2,Independent,1150,Jankipuram,45,900,StatusReady,2
2,Independent,1250,Jankipuram,50,1100,StatusReady,2
2,Independent,900,Jankipuram,35.2,,StatusReady,2
2,Independent,1260,Jankipuram,48,1160,StatusReady,2
2,Independent,1200,Jankipuram,46,,StatusReady,2
2,Independent,1001,Jankipuram,40,,StatusReady,2
2,Independent,1001,Jankipuram,39,,StatusReady,2
2,Independent,1201,Jankipuram,46,,StatusReady,2
2,Independent,1005,Jankipuram,39,,StatusReady,2
2,Independent,1264,Jankipuram,45,,StatusReady,2
3,Villa,1200,Jankipuram,34,800,StatusReady,3
1,Independent,750,Jankipuram,26,650,StatusReady,2
2,Independent,1100,Jankipuram,40,1000,StatusReady,2
2,Independent,1000,Neel Matha,40,900,StatusReady,2
2,Independent,1200,Cantonment,32,700,StatusReady,2
2,Independent,1300,Neel Matha,40,600,StatusReady,2
2,Independent,1000,Neel Matha,36,900,StatusReady,2
2,Independent,1000,Cantonment,35,900,StatusReady,2
2,Independent,1100,Cantonment,38,1000,StatusReady,2
1,Independent,1100,Neel Matha,40,1000,StatusReady,2
2,Independent,1000,Cantonment,38,900,StatusReady,2
2,Independent,1000,Neel Matha,37,900,StatusReady,2
2,Independent,1150,Jankipuram,45,1010,StatusReady,2
