index,Format,Metric,Year,Number of Records,Value (Actual)
0,CD,Units,1973,1,
1,CD,Units,1974,1,
2,CD,Units,1975,1,
3,CD,Units,1976,1,
4,CD,Units,1977,1,
5,CD,Units,1978,1,
6,CD,Units,1979,1,
7,CD,Units,1980,1,
8,CD,Units,1981,1,
9,CD,Units,1982,1,
10,CD,Units,1983,1,0.8
11,CD,Units,1984,1,5.8
12,CD,Units,1985,1,22.6
13,CD,Units,1986,1,53.0
14,CD,Units,1987,1,102.1
15,CD,Units,1988,1,149.7
16,CD,Units,1989,1,207.2
17,CD,Units,1990,1,286.5
18,CD,Units,1991,1,333.3
19,CD,Units,1992,1,407.5
20,CD,Units,1993,1,495.4
21,CD,Units,1994,1,662.1
22,CD,Units,1995,1,722.9
23,CD,Units,1996,1,778.9
24,CD,Units,1997,1,753.1
25,CD,Units,1998,1,847.0
26,CD,Units,1999,1,938.9
27,CD,Units,2000,1,942.5
28,CD,Units,2001,1,881.9
29,CD,Units,2002,1,803.3
30,CD,Units,2003,1,746.0
31,CD,Units,2004,1,767.0
32,CD,Units,2005,1,705.4
33,CD,Units,2006,1,619.7
34,CD,Units,2007,1,499.7
35,CD,Units,2008,1,368.4
36,CD,Units,2009,1,296.6
37,CD,Units,2010,1,253.0
38,CD,Units,2011,1,240.8
39,CD,Units,2012,1,198.164387234
40,CD,Units,2013,1,173.793302906
41,CD,Units,2014,1,138.702363357
42,CD,Units,2015,1,117.144051764
43,CD,Units,2016,1,97.577071197
44,CD,Units,2017,1,87.682499971
45,CD,Units,2018,1,51.954275644
46,CD,Units,2019,1,46.506495584
47,CD Single,Units,1973,1,
48,CD Single,Units,1974,1,
49,CD Single,Units,1975,1,
50,CD Single,Units,1976,1,
51,CD Single,Units,1977,1,
52,CD Single,Units,1978,1,
53,CD Single,Units,1979,1,
54,CD Single,Units,1980,1,
55,CD Single,Units,1981,1,
56,CD Single,Units,1982,1,
57,CD Single,Units,1983,1,
58,CD Single,Units,1984,1,
59,CD Single,Units,1985,1,
60,CD Single,Units,1986,1,
61,CD Single,Units,1987,1,
62,CD Single,Units,1988,1,1.6
63,CD Single,Units,1989,1,-0.1
64,CD Single,Units,1990,1,1.1
65,CD Single,Units,1991,1,5.7
66,CD Single,Units,1992,1,7.3
67,CD Single,Units,1993,1,7.8
68,CD Single,Units,1994,1,9.3
69,CD Single,Units,1995,1,21.5
70,CD Single,Units,1996,1,43.2
71,CD Single,Units,1997,1,66.7
72,CD Single,Units,1998,1,56.0
73,CD Single,Units,1999,1,55.9
74,CD Single,Units,2000,1,34.2
75,CD Single,Units,2001,1,17.3
76,CD Single,Units,2002,1,4.5
77,CD Single,Units,2003,1,8.3
78,CD Single,Units,2004,1,3.1
79,CD Single,Units,2005,1,2.8
80,CD Single,Units,2006,1,1.7
81,CD Single,Units,2007,1,2.6
