Entity,Code,Year,Indicator:Number of cases of yaws reported,Total (estimated) polio cases,Reported cases of guinea worm disease in humans,"Number of new cases of rabies, in both sexes aged all ages","Number of new cases of malaria, in both sexes aged all ages","Number of new cases of hiv/aids, in both sexes aged all ages","Number of new cases of tuberculosis, in both sexes aged all ages",Number of reported smallpox cases,Reported cholera cases
Afghanistan,AFG,1980,,6160,0,,,,,,
Afghanistan,AFG,1981,,5859,0,,,,,,
Afghanistan,AFG,1982,,9730,0,,,,,,
Afghanistan,AFG,1983,,13937,0,,,,,,
Afghanistan,AFG,1984,,3864,0,,,,,,
Afghanistan,AFG,1985,,13867,0,,,,,,
Afghanistan,AFG,1986,,12901,0,,,,,,
Afghanistan,AFG,1987,,4396,0,,,,,,
Afghanistan,AFG,1988,,2149,0,,,,,,
Afghanistan,AFG,1989,,385,0,,,,,,
Afghanistan,AFG,1990,,336,0,2.145772,1219845.8,87.665596,16303.112,,
Afghanistan,AFG,1991,,14,0,2.3209748,1132781.5,103.77359,17582.254,,
Afghanistan,AFG,1995,,0,0,3.126361,725758.3,143.54527,22163.428,,19903
Afghanistan,AFG,1997,,21,0,3.446122,605853.06,160.59525,23140.863,,4170
Afghanistan,AFG,1998,,65,0,3.5570247,547045.4,164.60725,23179.447,,10000
Afghanistan,AFG,1999,,167,0,3.607037,502898.88,168.99359,22944.182,,24639
Afghanistan,AFG,2000,,133,0,3.6362348,491614.72,177.66675,22879.678,,4330
Afghanistan,AFG,2001,,22,0,3.7118323,511626.2,192.51457,23330.46,,4499
Afghanistan,AFG,2002,,11,0,3.841707,546030.6,208.17296,24148.05,,3
Afghanistan,AFG,2003,,9,0,3.914814,574740.3,220.20476,24519.38,,41
Afghanistan,AFG,2004,,4,0,3.9608393,601074,233.17265,24681.549,,
Afghanistan,AFG,2005,,10,0,3.9896567,625202.75,244.33427,24736.137,,33
Afghanistan,AFG,2006,,34,0,3.929627,605759,252.45116,24318.215,,
Afghanistan,AFG,2007,,19,0,3.826987,540832.3,268.99326,23911.043,,
Afghanistan,AFG,2008,,34,0,3.7016175,453018.84,282.07034,23510.375,,4384
Afghanistan,AFG,2009,,42,0,3.568791,368269,290.23172,23083.846,,662
