Entity,Code,Year,Number of one-year-olds vaccinated with HepB3,"Number of one-year-olds vaccinated with DTP containing vaccine, 3rd dose","Number of one-year-olds vaccinated with polio, 3rd dose",Population - Sex: all - Age: 0 - Variant: estimates,"Number of one-year-olds vaccinated with measles-containing vaccine, 1st dose",Number of one-year-olds vaccinated with Hib3,"Number of one-year-olds vaccinated with rubella-containing vaccine, 1st dose","Number of one-year-olds vaccinated with rotavirus, last dose",Number of one-year-olds vaccinated with BCG
Afghanistan,AFG,1980,,19716,,553827,54220,,,,
Afghanistan,AFG,1981,,13222,13222,493818,,,,,
Afghanistan,AFG,1982,,19906,19906,445673,31849,,,,39811
Afghanistan,AFG,1983,,19612,19612,439692,35301,,,,39223
Afghanistan,AFG,1984,,64560,64560,452788,56490,,,,44385
Afghanistan,AFG,1985,,62072,62072,466221,57933,,,,70348
Afghanistan,AFG,1986,,45599,45599,468356,58035,,,,74616
Afghanistan,AFG,1987,,103979,103979,466714,128934,,,,112297
Afghanistan,AFG,1988,,148133,148133,472557,143901,,,,169295
Afghanistan,AFG,1989,,144966,144966,489435,96644,,,,166931
Afghanistan,AFG,1990,,111116,111116,493998,88893,,,,133340
Afghanistan,AFG,1991,,103644,103644,500573,85619,,,,94632
Afghanistan,AFG,1992,,107213,107213,565739,112318,,,,97002
Afghanistan,AFG,1993,,107715,107715,660898,149605,,,,101731
Afghanistan,AFG,1994,,79961,53308,733686,266538,,,,99952
Afghanistan,AFG,1995,,142702,142702,781341,292539,,,,221188
Afghanistan,AFG,1996,,231464,231464,812995,313597,,,,350930
Afghanistan,AFG,1997,,217516,217516,841163,295200,,,,334042
Afghanistan,AFG,1998,,217340,225389,867303,249538,,,,281737
Afghanistan,AFG,1999,,224980,224980,895539,258310,,,,316638
Afghanistan,AFG,2000,,201575,201575,898809,226772,,,,251969
Afghanistan,AFG,2001,,276803,293579,894038,310355,,,,360683
Afghanistan,AFG,2002,,318858,318858,941149,310001,,,,407430
Afghanistan,AFG,2003,,387641,387641,999679,368732,,,,416005
Afghanistan,AFG,2004,,485434,485434,1020639,466017,,,,495143
Afghanistan,AFG,2005,,572164,572164,1032348,493245,,,,562299
Afghanistan,AFG,2006,,583006,583006,1058386,532746,,,,603109
Afghanistan,AFG,2007,645329,645329,645329,1077660,563382,,,,614599
Afghanistan,AFG,2008,669517,669517,669517,1059313,617211,,,,690440
Afghanistan,AFG,2009,652515,652515,652515,1054455,621443,652515,,,662872
Afghanistan,AFG,2010,679742,679742,679742,1079439,638545,679742,,,700340
Afghanistan,AFG,2011,720234,720234,720234,1098601,677868,720234,,,752009
Afghanistan,AFG,2012,724379,724379,724379,1135475,637886,724379,,,843306
Afghanistan,AFG,2013,714391,714391,714391,1177473,636255,714391,,,803690
Afghanistan,AFG,2014,718959,718959,718959,1207415,695767,718959,,,858113
Afghanistan,AFG,2015,760167,760167,795800,1238201,736412,760167,,,902698
Afghanistan,AFG,2016,803156,803156,864001,1256664,778818,803156,,,949184
Afghanistan,AFG,2017,817409,817409,879334,1268641,829794,817409,,,1040338
Afghanistan,AFG,2018,901598,901598,951686,1290266,889075,901598,,563499,1114475
Afghanistan,AFG,2019,917706,917706,955944,1313684,815739,917706,,739263,1096149
Afghanistan,AFG,2020,909802,909802,974788,1338671,857813,909802,,805825,1130754
Afghanistan,AFG,2021,873686,873686,939874,1368682,833973,873686,,781022,1111963
Africa (UN),,1980,,,,19983808,,,,,
Africa (UN),,1981,,,,20500578,,,,,
Africa (UN),,1982,,,,21050260,,,,,
Africa (UN),,1983,,,,21581688,,,,,
Africa (UN),,1984,,,,22072876,,,,,
Africa (UN),,1985,,,,22575868,,,,,
Africa (UN),,1986,,,,23086980,,,,,
Africa (UN),,1987,,,,23581914,,,,,
Africa (UN),,1988,,,,23989244,,,,,
Africa (UN),,1989,,,,24367404,,,,,
Africa (UN),,1990,,,,24750820,,,,,
Africa (UN),,1991,,,,25128872,,,,,
Africa (UN),,1992,,,,25542832,,,,,
Africa (UN),,1993,,,,25963164,,,,,
Africa (UN),,1994,,,,26340292,,,,,
Africa (UN),,1995,,,,26787130,,,,,
Africa (UN),,1996,,,,27298976,,,,,
Africa (UN),,1997,,,,27704506,,,,,
Africa (UN),,1998,,,,28092308,,,,,
Africa (UN),,1999,,,,28629486,,,,,
Africa (UN),,2000,,,,29264746,,,,,
Africa (UN),,2001,,,,29917160,,,,,
Africa (UN),,2002,,,,30585526,,,,,
Africa (UN),,2003,,,,31239192,,,,,
Africa (UN),,2004,,,,31933734,,,,,
Africa (UN),,2005,,,,32704952,,,,,
Africa (UN),,2006,,,,33511882,,,,,
Africa (UN),,2007,,,,34319510,,,,,
Africa (UN),,2008,,,,35167750,,,,,
Africa (UN),,2009,,,,35970776,,,,,
Africa (UN),,2010,,,,36739270,,,,,
Africa (UN),,2011,,,,37498870,,,,,
Africa (UN),,2012,,,,38183570,,,,,
Africa (UN),,2013,,,,38824220,,,,,
Africa (UN),,2014,,,,39456324,,,,,
Africa (UN),,2015,,,,40085576,,,,,
Africa (UN),,2016,,,,40600428,,,,,
Africa (UN),,2017,,,,41102304,,,,,
Africa (UN),,2018,,,,41705100,,,,,
Africa (UN),,2019,,,,42313264,,,,,
Africa (UN),,2020,,,,42887228,,,,,
Africa (UN),,2021,,,,43436140,,,,,
Albania,ALB,1980,,71047,69535,77513,68024,,,,70291
Albania,ALB,1981,,70992,69481,78103,67971,,,,70236
Albania,ALB,1982,,72305,70022,79439,70783,,,,70022
Albania,ALB,1983,,73506,71185,80811,74280,,,,69638
Albania,ALB,1984,,74709,72350,81783,75495,,,,70777
Albania,ALB,1985,,76354,74763,82311,76354,,,,73172
Albania,ALB,1986,,76811,75210,82346,76811,,,,73610
Albania,ALB,1987,,76836,75235,82347,76836,,,,73634
Albania,ALB,1988,,76839,76839,82254,76839,,,,73638
Albania,ALB,1989,,75126,76724,81526,76724,,,,75126
Albania,ALB,1990,,74465,70504,80306,69712,,,,74465
Albania,ALB,1991,,60884,64006,78570,62445,,,,62445
Albania,ALB,1992,,71757,74047,76522,66413,,,,61833
Albania,ALB,1993,,71373,72860,74395,56504,,,,60965
Albania,ALB,1994,71567,71567,70844,72684,65061,,,,62892
Albania,ALB,1995,62117,68469,69175,71239,64234,,,,68469
Albania,ALB,1996,66319,67700,68391,68797,63555,,,,64937
Albania,ALB,1997,64602,65934,65934,65176.004,63270,,,,62604
Albania,ALB,1998,59293,60555,61186,61280,56139,,,,54878
Albania,ALB,1999,56977,57570,57570,57952,50448,,,,55196
Albania,ALB,2000,53905,54466,54466,54764,53343,,,,52220
Albania,ALB,2001,50958,51489,51489,51341,50427,,50427,,49365
Albania,ALB,2002,47744,48738,48738,48026,47744,,47744,,46749
Albania,ALB,2003,45178,45178,45178,45408,43315,,43315,,44246
Albania,ALB,2004,43679,42796,43238,43120,42355,,42355,,42796
Albania,ALB,2005,41092,41092,40673,40634,40673,,40673,,41092
Albania,ALB,2006,38813,38417,38417,38196,37625,,37625,,38417
Albania,ALB,2007,36574,36574,36947,36224,36200,,36200,,36574
Albania,ALB,2008,35146,35146,35146,35026,34791,,34791,,35146
Albania,ALB,2009,33754,33754,33754,34473,33410,33754,33410,,33410
Albania,ALB,2010,33632,33632,33632,34316,33632,33632,33632,,33632
Albania,ALB,2011,33496,33496,33496,34353,33496,33496,33496,,32819
Albania,ALB,2012,33509,33509,33509,34584,33170,33509,33170,,32493
Albania,ALB,2013,33724,33724,33724,34797,33724,33724,33724,,33724
Albania,ALB,2014,33605,33605,33605,34575,33605,33605,33605,,33948
Albania,ALB,2015,33730,33730,33730,33567,33049,33730,33049,,33730
Albania,ALB,2016,32305,32305,32305,32138,31645,32305,31645,,32634
Albania,ALB,2017,31116,31116,31116,30844,30173,31116,30173,,31116
Albania,ALB,2018,29841,29841,29841,29625,28333,29841,28333,,29841
Albania,ALB,2019,28606,28606,28606,28770,27450,28606,27450,,28606
Albania,ALB,2020,27472,27472,27472,28415,25510,27472,25510,27472,27472
Albania,ALB,2021,27164,27164,27164,28218,24115,27164,24115,27164,27441
Algeria,DZA,1980,,,,743546,,,,,
Algeria,DZA,1981,,,220925,767368,,,,,
Algeria,DZA,1982,,,229166,785234,,,,,
Algeria,DZA,1983,,,228128,798881,,,,,
Algeria,DZA,1984,,,233434,808149,,,,,
Algeria,DZA,1985,,546434,546434,815792,538514,,,,681062
Algeria,DZA,1986,,586359,578326,814665,538165,,,,706843
Algeria,DZA,1987,,635180,635180,805192,586938,,,,747743
Algeria,DZA,1988,,676352,676352,794308,644523,,,,763880
Algeria,DZA,1989,,683725,683725,783581,644431,,,,754455
Algeria,DZA,1990,,690490,690490,769239,643941,,,,768074
Algeria,DZA,1991,,678161,678161,759633,647682,,,,746739
Algeria,DZA,1992,,662383,662383,762378,647329,,,,730127
Algeria,DZA,1993,,664976,664976,759287,657419,,,,717871
Algeria,DZA,1994,,654918,654918,745434,662446,,,,700084
Algeria,DZA,1995,,650551,650551,710451,657943,,,,687514
Algeria,DZA,1996,,617172,617172,665985,631199,,,,659252
Algeria,DZA,1997,,586376,586376,639353,606142,,,,619319
Algeria,DZA,1998,,540592,540592,606102,534232,,,,604191
Algeria,DZA,1999,,499400,499400,581118,499400,,,,583636
Algeria,DZA,2000,,496225,496225,582652,461605,,,,559696
Algeria,DZA,2001,,514846,514846,587198,480138,,,,561125
Algeria,DZA,2002,,501402,501402,593676,472250,,,,571364
Algeria,DZA,2003,,512944,512944,610472,495256,,,,577799
Algeria,DZA,2004,491264,521589,521589,637081,491264,,,,594369
Algeria,DZA,2005,525170,556807,556807,665688,525170,,,,620080
Algeria,DZA,2006,529177,628397,628397,696782,601939,,,,654856
Algeria,DZA,2007,623829,658486,658486,732910,637692,,,,686212
Algeria,DZA,2008,663669,678256,670962,772410,641790,678256,,,722014
Algeria,DZA,2009,722733,730422,722733,810594,707356,730422,,,761176
Algeria,DZA,2010,766728,766728,766728,844220,766728,766728,,,799011
Algeria,DZA,2011,798685,798685,798685,874219,798685,798685,,,832314
Algeria,DZA,2012,827172,827172,827172,908333,827172,827172,,,862000
Algeria,DZA,2013,859545,859545,859545,934108,859545,859545,,,895736
Algeria,DZA,2014,884001,884001,884001,953358,884001,884001,,,921222
Algeria,DZA,2015,902258,902258,902258,975970,902258,902258,,,940248
Algeria,DZA,2016,884816,884816,884816,991100,913986,884816,,,962602
Algeria,DZA,2017,898601,898601,898601,998043,868977,898601,868977,,977599
Algeria,DZA,2018,904973,904973,904973,995429,795581,904973,795581,,984531
Algeria,DZA,2019,902670,902670,902670,984232,793556,902670,793556,,982026
Algeria,DZA,2020,892681,892681,892681,967564,784774,892681,784774,,971158
Algeria,DZA,2021,877730,877730,877730,946304,771630,877730,771630,,954893
American Samoa,ASM,1980,,,,1069,,,,,
American Samoa,ASM,1981,,,,1115,,,,,
American Samoa,ASM,1982,,,,1176,,,,,
American Samoa,ASM,1983,,,,1236,,,,,
American Samoa,ASM,1984,,,,1296,,,,,
American Samoa,ASM,1985,,,,1357,,,,,
American Samoa,ASM,1986,,,,1422,,,,,
American Samoa,ASM,1987,,,,1489,,,,,
American Samoa,ASM,1988,,,,1559,,,,,
American Samoa,ASM,1989,,,,1632,,,,,
American Samoa,ASM,1990,,,,1694,,,,,
American Samoa,ASM,1991,,,,1722,,,,,
American Samoa,ASM,1992,,,,1732,,,,,
American Samoa,ASM,1993,,,,1746,,,,,
American Samoa,ASM,1994,,,,1759,,,,,
American Samoa,ASM,1995,,,,1762,,,,,
American Samoa,ASM,1996,,,,1749,,,,,
American Samoa,ASM,1997,,,,1715,,,,,
American Samoa,ASM,1998,,,,1670,,,,,
American Samoa,ASM,1999,,,,1654,,,,,
American Samoa,ASM,2000,,,,1655,,,,,
American Samoa,ASM,2001,,,,1610,,,,,
American Samoa,ASM,2002,,,,1538,,,,,
American Samoa,ASM,2003,,,,1477,,,,,
American Samoa,ASM,2004,,,,1429,,,,,
American Samoa,ASM,2005,,,,1390,,,,,
American Samoa,ASM,2006,,,,1361,,,,,
American Samoa,ASM,2007,,,,1339,,,,,
American Samoa,ASM,2008,,,,1327,,,,,
American Samoa,ASM,2009,,,,1321,,,,,
American Samoa,ASM,2010,,,,1278,,,,,
American Samoa,ASM,2011,,,,1216,,,,,
American Samoa,ASM,2012,,,,1172,,,,,
American Samoa,ASM,2013,,,,1125,,,,,
American Samoa,ASM,2014,,,,1079,,,,,
American Samoa,ASM,2015,,,,1038,,,,,
American Samoa,ASM,2016,,,,994,,,,,
American Samoa,ASM,2017,,,,945,,,,,
American Samoa,ASM,2018,,,,893,,,,,
American Samoa,ASM,2019,,,,845,,,,,
American Samoa,ASM,2020,,,,810,,,,,
American Samoa,ASM,2021,,,,787,,,,,
Andorra,AND,1980,,,,379,,,,,
Andorra,AND,1981,,,,294,,,,,
Andorra,AND,1982,,,,416,,,,,
Andorra,AND,1983,,,,543,,,,,
Andorra,AND,1984,,,,487,,,,,
Andorra,AND,1985,,,,407,,,,,
Andorra,AND,1986,,,,467,,,,,
Andorra,AND,1987,,,,575,,,,,
Andorra,AND,1988,,,,573,,,,,
Andorra,AND,1989,,,,559,,,,,
Andorra,AND,1990,,,,531,,,,,
Andorra,AND,1991,,,,584,,,,,
Andorra,AND,1992,,,,662,,,,,
Andorra,AND,1993,,,,673,,,,,
Andorra,AND,1994,,,,681,,,,,
Andorra,AND,1995,,,,688,,,,,
Andorra,AND,1996,,,,706,,,,,
Andorra,AND,1997,524,629,629,719,629,,629,,
Andorra,AND,1998,566,629,636,713,636,389,636,,
Andorra,AND,1999,524,629,664,703,678,559,678,,
Andorra,AND,2000,578,674,654,688,667,619,667,,
Andorra,AND,2001,586,670,663,728,677,642,677,,
Andorra,AND,2002,633,730,715,788,738,693,738,,
Andorra,AND,2003,646,789,789,795,765,725,765,,
Andorra,AND,2004,608,782,782,770,774,750,774,,
Andorra,AND,2005,593,736,736,708,706,728,706,,
Andorra,AND,2006,592,656,656,775,642,656,642,,
Andorra,AND,2007,702,740,740,862,725,732,725,,
Andorra,AND,2008,809,826,826,836,817,817,817,,
Andorra,AND,2009,782,807,807,782,799,791,799,,
Andorra,AND,2010,728,750,750,683,750,743,750,,
Andorra,AND,2011,671,671,671,722,671,671,671,,
Andorra,AND,2012,698,720,720,787,712,712,712,,
Andorra,AND,2013,726,741,741,721,733,741,733,,
Andorra,AND,2014,662,676,676,644,669,676,669,,
Andorra,AND,2015,574,593,593,565,587,593,587,,
Andorra,AND,2016,528,551,551,605,545,551,545,,
Andorra,AND,2017,605,611,611,452,611,611,611,,
Andorra,AND,2018,492,497,497,295,497,497,497,,
Andorra,AND,2019,386,390,390,355,390,386,390,,
Andorra,AND,2020,433,438,438,347,433,433,433,,
Andorra,AND,2021,416,421,416,336,421,416,421,,
Angola,AGO,1980,,,,375764,,,,,
Angola,AGO,1981,,,,391103,,,,,
Angola,AGO,1982,,,,407393,,,,,
Angola,AGO,1983,,22749,,424455,98579,,,,94787
Angola,AGO,1984,,31601,,442813,138256,,,,110604
Angola,AGO,1985,,32988,53605,461802,181431,,,,115456
Angola,AGO,1986,,43022,64532,480183,189295,,,,137669
Angola,AGO,1987,,44678,71484,496875,245727,,,,129565
Angola,AGO,1988,,55431,60050,512617,258676,,,,147815
Angola,AGO,1989,,85835,90603,528251,228892,,,,224124
Angola,AGO,1990,,117966,113051,543131,186779,,,,235932
Angola,AGO,1991,,131560,131560,558183,197340,,,,268180
Angola,AGO,1992,,109179,109179,571332,202762,,,,244354
Angola,AGO,1993,,159651,149008,583909,250120,,,,282050
Angola,AGO,1994,,147185,152636,599126,239857,,,,261662
Angola,AGO,1995,,134376,156771,615087,257553,,,,335939
Angola,AGO,1996,,161008,189760,631651,356518,,,,373769
Angola,AGO,1997,,242310,224580,648402,460981,,,,413701
Angola,AGO,1998,,285177,260907,664466,357988,,,,364056
Angola,AGO,1999,,130701,199163,682677,248954,,,,304969
Angola,AGO,2000,,198561,134509,703779,204966,,,,339476
Angola,AGO,2001,,277843,185228,727080,396918,,,,463071
Angola,AGO,2002,,321914,150683,751774,404105,,,,520541
Angola,AGO,2003,,326712,149151,777214,312507,,,,383532
Angola,AGO,2004,,346335,132639,804754,316860,,,,464236
Angola,AGO,2005,,359645,107128,833971,160692,,,,390253
Angola,AGO,2006,,349924,63623,863051,167009,,,,429452
Angola,AGO,2007,354980,396257,354980,891749,478810,354980,,,619151
Angola,AGO,2008,385027,419252,308022,920854,410696,385027,,,624600
Angola,AGO,2009,416467,443050,318996,950553,407606,416467,,,620271
Angola,AGO,2010,449453,467799,513661,979876,568696,449453,,,724629
Angola,AGO,2011,474043,493005,474043,1007643,540409,474043,,,701584
Angola,AGO,2012,508411,518188,527966,1035980.94,635514,508411,,,713731
Angola,AGO,2013,544389,544389,483901,1064526,594796,544389,,,715771
Angola,AGO,2014,571173,571173,571173,1091597,581558,571173,,186929,747718
Angola,AGO,2015,586885,629567,661579,1117282,544202,586885,,426825,682920
Angola,AGO,2016,601780,645546,634605,1142049,492366,601780,,481424,437658
Angola,AGO,2017,582456,627260,582456,1167852,470445,582456,,481646,772874
Angola,AGO,2018,676548,722415,699482,1194189,573346,676548,573346,550412,825618
Angola,AGO,2019,622099,669050,657312,1220704,598624,622099,598624,680788,809903
Angola,AGO,2020,564383,612415,612415,1248319,528358,564383,528358,468317,696472
Angola,AGO,2021,503866,553023,528445,1275484,442419,503866,442419,442419,688207
Anguilla,AIA,1980,,,,154,,,,,
Anguilla,AIA,1981,,,,156,,,,,
Anguilla,AIA,1982,,,,160,,,,,
Anguilla,AIA,1983,,,,159,,,,,
Anguilla,AIA,1984,,,,158,,,,,
Anguilla,AIA,1985,,,,161,,,,,
Anguilla,AIA,1986,,,,166,,,,,
Anguilla,AIA,1987,,,,173,,,,,
Anguilla,AIA,1988,,,,181,,,,,
Anguilla,AIA,1989,,,,185,,,,,
Anguilla,AIA,1990,,,,184,,,,,
Anguilla,AIA,1991,,,,180,,,,,
Anguilla,AIA,1992,,,,170,,,,,
Anguilla,AIA,1993,,,,162,,,,,
Anguilla,AIA,1994,,,,166,,,,,
Anguilla,AIA,1995,,,,174,,,,,
Anguilla,AIA,1996,,,,180,,,,,
Anguilla,AIA,1997,,,,187,,,,,
Anguilla,AIA,1998,,,,196,,,,,
Anguilla,AIA,1999,,,,209,,,,,
Anguilla,AIA,2000,,,,229,,,,,
Anguilla,AIA,2001,,,,225,,,,,
Anguilla,AIA,2002,,,,199,,,,,
Anguilla,AIA,2003,,,,189,,,,,
Anguilla,AIA,2004,,,,191,,,,,
Anguilla,AIA,2005,,,,193,,,,,
Anguilla,AIA,2006,,,,194,,,,,
Anguilla,AIA,2007,,,,197,,,,,
Anguilla,AIA,2008,,,,201,,,,,
Anguilla,AIA,2009,,,,205,,,,,
Anguilla,AIA,2010,,,,209,,,,,
Anguilla,AIA,2011,,,,192,,,,,
Anguilla,AIA,2012,,,,171,,,,,
Anguilla,AIA,2013,,,,169,,,,,
Anguilla,AIA,2014,,,,159,,,,,
Anguilla,AIA,2015,,,,152,,,,,
Anguilla,AIA,2016,,,,155,,,,,
Anguilla,AIA,2017,,,,155,,,,,
Anguilla,AIA,2018,,,,154,,,,,
Anguilla,AIA,2019,,,,152,,,,,
Anguilla,AIA,2020,,,,151,,,,,
Anguilla,AIA,2021,,,,150,,,,,
Antigua and Barbuda,ATG,1980,,802,535,1491,,,,,
Antigua and Barbuda,ATG,1981,,1161,691,1393,,,,,
Antigua and Barbuda,ATG,1982,,1084,1180,1353,,,,,
Antigua and Barbuda,ATG,1983,,1318,1318,1359,639,,,,
Antigua and Barbuda,ATG,1984,,1258,1244,1356,977,,,,
Antigua and Barbuda,ATG,1985,,1326,1326,1324,924,,,,
Antigua and Barbuda,ATG,1986,,1260,1260,1301,1050,,,,
Antigua and Barbuda,ATG,1987,,1255,1281,1283,1152,,,,
Antigua and Barbuda,ATG,1988,,1252,1265,1276,1214,,1214,,
Antigua and Barbuda,ATG,1989,,1263,1263,1291,1212,,1212,,
Antigua and Barbuda,ATG,1990,,1284,1284,1307,1154,,1154,,
Antigua and Barbuda,ATG,1991,,1234,1274,1238,1142,,1142,,
Antigua and Barbuda,ATG,1992,,1238,1238,1211,1238,,1238,,
Antigua and Barbuda,ATG,1993,,1218,1218,1272,1218,,1218,,
Antigua and Barbuda,ATG,1994,,1273,1273,1315,1170,,1170,,
Antigua and Barbuda,ATG,1995,,1317,1317,1375,1237,,1237,,
Antigua and Barbuda,ATG,1996,,1381,1381,1415,1381,,1381,,
Antigua and Barbuda,ATG,1997,,1423,1423,1419,1336,,1336,,
Antigua and Barbuda,ATG,1998,,1423,1423,1371,1423,,1423,,
Antigua and Barbuda,ATG,1999,,1373,1373,1313,1373,,1373,,
Antigua and Barbuda,ATG,2000,,1260,1273,1387,1260,,1260,,
Antigua and Barbuda,ATG,2001,1337,1351,1379,1418,1351,1351,1351,,
Antigua and Barbuda,ATG,2002,1404,1390,1319,1339,1404,1375,1404,,
Antigua and Barbuda,ATG,2003,1324,1324,1324,1296,1324,1297,1324,,
Antigua and Barbuda,ATG,2004,1256,1256,1256,1264,1256,1256,1256,,
