country,region,land_area,fertility_rate,median_age
Afghanistan,Asia,652860,4.4,17
Albania,Europe,27400,1.4,38
Algeria,Africa,2381740,2.8,28
American Samoa,Oceania,200,2.2,29
Andorra,Europe,470,1.1,43
Angola,Africa,1246700,5.1,16
Anguilla,Latin America,90,1.3,38
Antigua and Barbuda,Latin America,440,1.6,36
Argentina,Latin America,2736690,1.9,32
Armenia,Asia,28470,1.6,35
Aruba,Latin America,180,1.2,42
Australia,Oceania,7682300,1.6,38
Austria,Europe,82409,1.5,43
Azerbaijan,Asia,82658,1.7,32
Bahamas,Latin America,10010,1.4,33
Bahrain,Asia,760,1.8,34
Bangladesh,Asia,130170,1.9,27
Barbados,Latin America,430,1.6,40
Belarus,Europe,202910,1.5,41
Belgium,Europe,30280,1.6,41
Belize,Latin America,22810,2,26
Benin,Africa,112760,4.8,18
Bermuda,North America,50,1.4,46
Bhutan,Asia,38117,1.4,29
Bolivia,Latin America,1083300,2.5,24
Bosnia and Herzegovina,Europe,51000,1.3,42
Botswana,Africa,566730,2.7,24
Brazil,Latin America,8358140,1.6,34
British Virgin Islands,Latin America,150,1,39
Brunei,Asia,5270,1.7,33
Bulgaria,Europe,108560,1.6,45
Burkina Faso,Africa,273600,4.6,17
Burundi,Africa,25680,4.9,16
Cambodia,Asia,176520,2.3,27
Cameroon,Africa,472710,4.3,18
Canada,North America,9093510,1.5,41
Cape Verde,Africa,4030,1.9,27
Caribbean Netherlands,Latin America,328,1.6,40
Cayman Islands,Latin America,240,1.2,38
Central African Republic,Africa,622980,5.8,15
Chad,Africa,1259200,6.1,15
Chile,Latin America,743532,1.5,36
China,Asia,9388211,1.2,39
Colombia,Latin America,1109500,1.7,32
Comoros,Africa,1861,3.8,20
Congo,Africa,341500,4,18
Cook Islands,Oceania,240,2.2,33
Costa Rica,Latin America,51060,1.5,34
Côte d'Ivoire,Africa,318000,4.3,18
Croatia,Europe,55960,1.4,44
Cuba,Latin America,106440,1.5,41
Curaçao,Latin America,444,1.6,36
Cyprus,Asia,9240,1.3,39
Czech Republic (Czechia),Europe,77240,1.7,43
Democratic Republic of the Congo,Africa,2267050,6.1,16
Denmark,Europe,42430,1.7,41
Djibouti,Africa,23180,2.7,24
Dominica,Latin America,750,1.6,32
Dominican Republic,Latin America,48320,2.2,28
Ecuador,Latin America,248360,2,28
Egypt,Africa,995450,2.8,24
El Salvador,Latin America,20720,1.8,27
Equatorial Guinea,Africa,28050,4.1,21
Eritrea,Africa,101000,3.7,19
Estonia,Europe,42390,1.7,42
Eswatini,Africa,17200,2.8,22
Ethiopia,Africa,1000000,4,19
Falkland Islands,Latin America,12170,1.6,40
Faroe Islands,Europe,1396,2.7,38
Fiji,Oceania,18270,2.4,27
Finland,Europe,303890,1.4,43
France,Europe,547557,1.8,42
French Guiana,Latin America,82200,3.4,24
French Polynesia,Oceania,3660,1.7,34
Gabon,Africa,257670,3.4,22
Gambia,Africa,10120,4.5,17
Georgia,Asia,69490,2.1,37
Germany,Europe,348560,1.5,45
Ghana,Africa,227540,3.5,21
Gibraltar,Europe,10,1.8,42
Greece,Europe,128900,1.4,45
Greenland,North America,410450,1.9,35
Grenada,Latin America,340,2,32
Guadeloupe,Latin America,1690,2,42
Guam,Oceania,540,2.5,30
Guatemala,Latin America,107160,2.3,23
Guinea,Africa,245720,4.2,18
Guinea-Bissau,Africa,28120,3.8,19
Guyana,Latin America,196850,2.3,26
Haiti,Latin America,27560,2.7,23
Holy See,Europe,0,,
Honduras,Latin America,111890,2.3,24
Hong Kong,Asia,1050,0.8,46
Hungary,Europe,90530,1.6,42
Iceland,Europe,100250,1.7,36
India,Asia,2973190,2,28
Indonesia,Asia,1811570,2.1,30
Iran,Asia,1628550,1.7,33
Iraq,Asia,434320,3.4,20
Ireland,Europe,68890,1.8,38
Isle of Man,Europe,570,1.6,46
Israel,Asia,21640,2.9,29
Italy,Europe,294140,1.3,48
Jamaica,Latin America,10830,1.3,32
Japan,Asia,364555,1.3,49
Jordan,Asia,88780,2.7,24
Kazakhstan,Asia,2699700,3,30
Kenya,Africa,569140,3.2,20
Kiribati,Oceania,810,3.2,22
Kuwait,Asia,17820,2.1,40
Kyrgyzstan,Asia,191800,2.9,24
Laos,Asia,230800,2.4,24
Latvia,Europe,62200,1.6,44
Lebanon,Asia,10230,2.1,29
Lesotho,Africa,30360,2.9,22
Liberia,Africa,96320,4,18
Libya,Africa,1759540,2.4,27
Liechtenstein,Europe,160,1.5,44
Lithuania,Europe,62674,1.6,44
Luxembourg,Europe,2590,1.4,39
Macao,Asia,30,1.1,39
Madagascar,Africa,581795,3.7,19
Malawi,Africa,94280,3.8,17
Malaysia,Asia,328550,1.8,31
Maldives,Asia,300,1.7,32
Mali,Africa,1220190,5.8,15
Malta,Europe,320,1.2,40
Marshall Islands,Oceania,180,2.6,26
Martinique,Latin America,1060,1.9,47
Mauritania,Africa,1030700,4.3,18
Mauritius,Africa,2030,1.4,37
Mayotte,Africa,375,4.3,17
Mexico,Latin America,1943950,1.8,30
Micronesia,Oceania,700,2.7,26
Moldova,Europe,32850,1.8,35
Monaco,Europe,1,2.1,54
Mongolia,Asia,1553560,2.7,27
Montenegro,Europe,13450,1.7,39
Montserrat,Latin America,100,1.6,44
Morocco,Africa,446300,2.3,29
Mozambique,Africa,786380,4.5,17
Myanmar,Asia,653290,2.1,30
Namibia,Africa,823290,3.2,21
Nauru,Oceania,20,3.4,20
Nepal,Asia,143350,2,24
Netherlands,Europe,33720,1.6,42
New Caledonia,Oceania,18280,2,34
New Zealand,Oceania,263310,1.8,37
Nicaragua,Latin America,120340,2.3,25
Niger,Africa,1266700,6.7,15
Nigeria,Africa,910770,5.1,17
Niue,Oceania,260,2.4,36
North Korea,Asia,120410,1.8,36
North Macedonia,Europe,25220,1.4,39
Northern Mariana Islands,Oceania,460,2.1,38
Norway,Europe,365268,1.5,40
Oman,Asia,309500,2.5,29
Pakistan,Asia,770880,3.3,21
Palau,Oceania,460,2.3,36
Panama,Latin America,74340,2.3,29
Papua New Guinea,Oceania,452860,3.1,22
Paraguay,Latin America,397300,2.4,26
Peru,Latin America,1280000,2.1,29
Philippines,Asia,298170,2.7,25
Poland,Europe,306230,1.5,40
Portugal,Europe,91590,1.4,46
Puerto Rico,Latin America,8870,1.3,44
Qatar,Asia,11610,1.8,34
Réunion,Africa,2500,2.2,34
Romania,Europe,230170,1.7,41
Russia,Europe,16376870,1.5,39
Rwanda,Africa,24670,3.7,19
Saint Barthelemy,North America,21,1,40
Saint Helena,Africa,390,1.6,53
Saint Kitts & Nevis,Latin America,260,1.5,35
Saint Lucia,Latin America,610,1.4,34
Saint Martin,Latin America,53,2.4,39
Saint Pierre & Miquelon,North America,230,1.6,44
Samoa,Oceania,2830,3.8,21
San Marino,Europe,60,1.1,47
Sao Tome & Principe,Africa,960,3.7,19
Saudi Arabia,Asia,2149690,2.4,31
Senegal,Africa,192530,4.3,18
Serbia,Europe,87460,1.5,43
Seychelles,Africa,460,2.3,33
Sierra Leone,Africa,72180,3.8,19
Singapore,Asia,700,1,43
Sint Maarten,Latin America,34,1.6,48
Slovakia,Europe,48088,1.6,40
Slovenia,Europe,20140,1.6,44
Solomon Islands,Oceania,27990,3.9,19
Somalia,Africa,627340,6.1,15
South Africa,Africa,1213090,2.3,28
South Korea,Asia,97230,0.9,44
South Sudan,Africa,610952,4.3,17
Spain,Europe,498800,1.3,45
Sri Lanka,Asia,62710,2,33
St. Vincent & Grenadines,Latin America,390,1.8,33
State of Palestine,Asia,6020,3.4,20
Sudan,Africa,1765048,4.3,19
Suriname,Latin America,156000,2.3,28
Sweden,Europe,410340,1.7,40
Switzerland,Europe,39516,1.5,42
Syria,Asia,183630,2.7,22
Taiwan,Asia,35410,1.2,42
Tajikistan,Asia,139960,3.1,22
Tanzania,Africa,885800,4.6,17
Thailand,Asia,510890,1.3,40
Timor-Leste,Asia,14870,3,21
Togo,Africa,54390,4.1,19
Tokelau,Oceania,10,2.6,27
Tonga,Oceania,720,3.2,22
Trinidad and Tobago,Latin America,5130,1.6,36
Tunisia,Africa,155360,2,32
Turkey,Asia,769630,1.9,32
Turkmenistan,Asia,469930,2.6,26
Turks and Caicos,Latin America,950,1.6,38
Tuvalu,Oceania,30,3.1,25
U.S. Virgin Islands,Latin America,350,2.1,43
Uganda,Africa,199810,4.4,16
Ukraine,Europe,579320,1.3,45
United Arab Emirates,Asia,83600,1.4,34
United Kingdom,Europe,241930,1.6,40
United States,North America,9147420,1.7,38
Uruguay,Latin America,175020,1.5,36
Uzbekistan,Asia,425400,2.8,27
Vanuatu,Oceania,12190,3.7,20
Venezuela,Latin America,882050,2.2,28
Vietnam,Asia,310070,1.9,33
Wallis & Futuna,Oceania,140,1.9,37
Western Sahara,Africa,266000,2.2,32
Yemen,Asia,527970,3.6,19
Zambia,Africa,743390,4.2,17
Zimbabwe,Africa,386850,3.4,18
