channel,title,published_at,duration,view_count,like_count,comment_count
Tips Official,"Tera Fitoor Lyrical - Genius | Utkarsh Sharma, Ishita Chauhan | Arijit Singh | Himesh Reshammiya",2018-07-17T11:04:57Z,PT5M34S,789713802,4107077,161740
Tips Official,"Dil Meri Na Sune Lyrical - Genius | Utkarsh Sharma, Ishita | Atif Aslam | Himesh Reshammiya",2018-08-03T07:30:11Z,PT4M22S,779518828,4206855,170804
Tips Official,"Jeene Laga Hoon Lyrical - Ramaiya Vastavaiya|Girish Kumar, Shruti Haasan |Atif Aslam, Shreya Ghoshal",2013-07-29T05:28:27Z,PT3M22S,598594500,3271158,79266
Tips Official,"Kasam Khake Kaho | Dil Hai Tumhaara | Preity Zinta Arjun & Mahima | Alka Yagnik, Kumar Sanu",2009-12-09T07:49:01Z,PT5M21S,338669778,966511,23811
Tips Official,"Chamma Chamma | Fraud Saiyaan | Elli AvrRam, Arshad | Neha Kakkar, Tanishk, Ikka,Romy |Party Song",2019-01-15T09:31:45Z,PT3M40S,319369057,1592186,37632
Tips Official,"Husnn Hai Suhaana New - Coolie No.1| VarunDhawan | Sara Ali Khan | Chandana, Abhijeet| David Dhawan",2020-12-09T06:59:59Z,PT2M45S,243803586,No Like Count,19254
Tips Official,"Khal Nayak Hoon Main Lyrical - Khal Nayak | Sanjay Dutt, Madhuri Dixit | Kavita K, Vinod Rathod",2019-08-06T05:59:54Z,PT8M14S,237009044,1106557,24550
Tips Official,Daiya Daiya Daiya Re | Dil Ka Rishta | Aishwarya Rai & Arjun Rampal | Alka Yagnik | Hindi Hits,2009-12-09T04:15:28Z,PT4M51S,233446386,866223,29722
Tips Official,"Sabki Baaratein Aayi | Zaara Yesmin | Parth Samthaan | Dev Negi, Seepi Jha | Raaj |Tips Official",2022-01-24T06:30:13Z,PT4M27S,218259941,1718991,27950
Tips Official,Mohabbat Dil Ka Sakoon Hai Aitbaar | Dil Hai Tumhaara | Alka Yagnik | Kumar Sanu | Udit Narayan,2009-12-09T07:01:17Z,PT5M18S,215909661,761688,20217
Tips Official,"Kitna Pyara Tujhe Rab Ne Banaya | Raja Hindustani | Aamir Khan, Karisma | Alka Yagnik, Udit Narayan",2010-09-01T11:51:36Z,PT6M2S,215597649,568929,20722
Tips Official,"Tere Ishq Mein Nachenge | Raja Hindustani | Aamir Khan, Karisma Kapoor | Kumar Sanu, Alisha Chinai",2010-09-02T10:18:08Z,PT6M37S,187298088,637672,25467
Tips Official,"Pardesi Pardesi Jana Nahi | Raja Hindustani | Aamir Khan, Karisma | Udit,  Alka | 90's Hindi Songs",2010-09-02T09:28:11Z,PT11M45S,165974856,502923,25227
Tips Official,"Heeriye Heeriye Ni Nasha Tera Karke | Race 3 | Salman Khan, Jacqueline | Deep Money, Neha Bhasin",2018-05-18T10:41:27Z,PT3M,153116168,1150512,79815
Tips Official,"Tujhko Mirchi Lagi Toh Main Kya Karoon | Coolie No.1 | Varun Dhawan, Sara Ali Khan | Love Song",2020-12-21T06:49:56Z,PT3M24S,146804696,No Like Count,45953
Tips Official,"Dil Meri Na Sune | Genius | Utkarsh Sharma, Ishita | Atif Aslam | Himesh Reshammiya | Love Songs",2018-07-28T04:30:01Z,PT3M9S,142496915,1037573,54354
Tips Official,Mehboob Mere | Fiza | Sushmita Sen | Sunidhi Chauhan & Karsan Sargathiya | Anu Malik | Dance Song,2011-10-12T16:23:13Z,PT5M30S,140146921,614830,15291
Tips Official,"Chamma Chamma Baje Re Meri Paijaniya | Fraud Saiyaan | Elli AvrRam, Arshad | Neha Kakk | Dance Songs",2018-12-14T07:54:50Z,PT3M16S,135078844,1002091,40005
Tips Official,Teri Chunnariya Lyrical - Hello Brother | Salman Khan & Rani Mukerji | Himesh Reshammiya,2018-09-10T07:56:27Z,PT6M32S,132149187,487126,12533
Tips Official,"Teri Ungli Pakad Ke Chala Lyrical - Laadla | Anil Kapoor | Udit Narayan, Jyotsna Hardikar",2019-12-24T11:30:02Z,PT4M46S,124731497,661218,18611
Tips Official,"Ashiqui Mein Teri 2.0 Official Song - Happy Hardy And Heer | Himesh Reshammiya, Ranu Mondal | Sonia",2019-11-14T10:00:04Z,PT3M38S,105286416,1065783,22323
Tips Official,"Raaz Jukebox - Full Album Songs | Bipasha Basu, Dino Morea, Nadeem Shravan",2014-02-03T06:08:24Z,PT42M4S,104119011,356167,27254
Tips Official,"Heeriye Full Video - Race 3 | Salman Khan & Jacqueline | Meet Bros ft. Deep Money, Neha Bhasin",2018-10-12T10:59:46Z,PT5M32S,98205044,546681,14517
Tips Official,"Gallan Kardi Lyrical - Jawaani Jaaneman | Saif Ali Khan, Tabu, Alaya F|Jazzy B, Jyotica,Prem,Hardeep",2020-01-25T08:30:00Z,PT3M14S,95851827,603880,6929
Tips Official,Tera Rang Balle Balle | Sonu Nigam | Jaspinder Narula | Soldier I Bobby | Preity Zinta I 90s Hits,2011-04-28T09:55:52Z,PT4M25S,95332436,266007,8101
Tips Official,"Main Rang Sharbaton Ka - Phata Poster Nikhla Hero I Shahid,Ileana | Atif Aslam & Chinmayi | Pritam",2013-08-26T07:32:53Z,PT2M26S,91301164,521769,12468
Tips Official,"Jadoo Ki Jhappi Lyrical Video - Ramaiya Vastavaiya | Girish Kumar & Shruti | Mika Singh, Neha Kakkar",2013-08-19T05:18:46Z,PT3M40S,91152910,416665,5861
Tips Official,"Aaye Ho Meri Zindagi Mein (Male) | Aamir, Karisma | Udit Narayan |  Raja Hindustani | 90's Hit",2010-09-02T09:51:38Z,PT5M29S,82116714,475960,11155
Tips Official,"Dhating Naach - Phata Poster Nikhla Hero I Shahid & Nargis | Nakash Aziz, Neha Kakkar | Pritam",2013-09-01T15:00:34Z,PT2M25S,74098904,364162,5087
Tips Official,"Is Tarah Aashiqui Ka Lyrical - Imtihan | Kumar Sanu | Saif Ali Khan, Raveena Tandon & Sunny Deol",2019-08-16T09:00:03Z,PT7M49S,72383462,333965,6705
Tips Official,Kuch Is Tarah Lyrical - Doorie | Atif Aslam | Mithoon & Atif Aslam,2012-08-29T08:08:06Z,PT5M14S,71679028,491817,21691
Tips Official,"Party On My Mind Video Song - Race 2 I Saif, Deepika Padukone, John Abraham, Jacqueline | Pritam",2012-11-27T07:47:37Z,PT2M21S,67601573,199323,7298
Tips Official,"Ramta Jogi Lyrical- Taal | Aishwarya Rai, Anil Kapoor | Sukhwinder, Alka Yagnik | A.R.Rahman",2019-01-06T05:30:00Z,PT6M43S,63703506,396633,4763
Tips Official,"Kachche Dhaage Audio Jukebox | Ajay Devgan, Manisha Koirala, Nusrat Fateh Ali Khan",2014-06-30T05:33:08Z,PT50M59S,62713519,224328,11999
Tips Official,"Kaala Jaadu | Freddy | Kartik Aaryan | Pritam | Arijit Singh, Nikhita Gandhi | Irshad Kamil",2022-11-11T10:00:04Z,PT3M36S,60776299,369910,27781
Tips Official,"Pagg Wala Munda - Video Song | Ambarsariya | Diljit Dosanjh, Navneet, Monica, Lauren",2016-03-01T13:00:00Z,PT3M4S,57081458,210689,4428
Tips Official,"OSCAR - Video Song | Kaptaan | Gippy Grewal feat. Badshah | Jaani, B Praak",2016-05-03T13:31:08Z,PT3M37S,57041179,391836,8171
Tips Official,"Aaj Zid - Song Video | Aksar 2 | Arijit Singh, Mithoon | Zareen Khan, Gautam Rode",2017-09-06T14:30:01Z,PT2M40S,56941748,188772,4328
Tips Official,"Tum Jo Milo | Freddy | Kartik Aaryan, Alaya F | Pritam | Abhijeet Srivastava | Irshad Kamil",2022-11-21T10:02:41Z,PT3M1S,56198220,241753,10460
Tips Official,"Allah Duhai Hai Song Video - Race 3 | Salman Khan | JAM8 (TJ) | Amit, Jonita, Sreerama, Raja Kumari",2018-06-01T12:30:01Z,PT2M48S,55447304,461241,43669
Tips Official,"Main Rang Sharbaton Ka Reprise- Phata Poster Nikhla Hero |Arijit Singh |Shahid , Ileana | Pritam",2018-09-26T11:27:24Z,PT4M58S,54525499,620877,12076
Tips Official,"Piya O Re Piya Video Song - Tere Naal Love Ho Gaya | Riteish Deshmukh, Genelia Dsouza | Atif Aslam",2012-01-06T14:06:55Z,PT2M36S,54143796,326779,7676
Tips Official,"Tukur Tukur Dekhte Ho Kya - Lyrical | Inder Kumar, Ayesha Jhulka | Kumar Sanu, Poornima | Masoom",2021-09-02T10:00:33Z,PT7M19S,54140167,142859,1751
Tips Official,"Raah Mein Unse Mulaqat - Lyrical | Ajay Devgn, Tabu | Kumar Sanu, Alka Yagnik | Vijaypath Movie",2021-07-19T09:30:05Z,PT7M36S,51254281,162700,2552
Tips Official,"Hum Yaar Hain Tumhare Lyrical - Haan Maine Bhi Pyaar Kiya | Akshay, Karisma, Abhishek | Alka, Udit",2019-02-15T08:30:00Z,PT7M33S,50831780,352046,7717
Tips Official,"Tere Bin Lyrical - Bas Ek Pal | Atif Aslam, Mithoon | Urmila, Juhi Chawla, Jimmy Shergill & Sanjay",2018-09-15T05:30:26Z,PT5M6S,50710521,524472,13694
Tips Official,"Jhanjharia Lyrical Video (Male) - Krishna - Suniel Shetty, Karisma Kapoor | Abhijeet Bhattacharya",2018-10-30T07:31:22Z,PT5M9S,47957357,233276,3596
Tips Official,"Selfish Song Video - Race 3 | Salman Khan, Bobby, Jacqueline | Atif Aslam, lulia Vantur | Vishal",2018-05-25T06:29:52Z,PT3M3S,46374680,404418,45566
Tips Official,"Peene Ki Tamanna Song Video - Loveshhuda | Girish, Navneet | Vishal, Parichay",2015-12-22T05:30:22Z,PT3M1S,45685494,256121,2709
Tips Official,"Pucho Zara Pucho | Aamir Khan,Karisma Kapoor | Alka Yagnik,Kumar Sanu | Raja Hindustani | 90's Hit",2010-09-02T09:19:49Z,PT7M40S,43467359,164317,4206
Tips Official,"Is Tarah Aashiqui Ka - (Official Video) Siddharth Gupta, Zaara Y | Dev Negi | Chirantann B | Manoj Y",2021-07-12T06:30:14Z,PT4M19S,42782962,373513,15272
Tips Official,Ek Dil Hai - Lyrical | Ek Rishtaa | Akshay Kumar | Karisma Kapoor | Alka Yagnik | Kumar Sanu,2022-05-18T04:30:04Z,PT5M11S,42390958,173537,3591
Tips Official,"Jaan Audio Jukebox | Ajay Devgan, Twinkle Khanna, Anand Milind | Bollywood Hits",2017-03-31T06:30:00Z,PT47M30S,42267957,99984,6107
Tips Official,"Yai Re | Yo Yo Honey Singh, Iulia Vantur | Mihir Gulati | Honey Singh Remake Songs | Party Song",2022-12-17T15:28:40Z,PT4M24S,41073614,1096870,61062
Tips Official,Kitna Pyaara Hai - Video Song | Raaz | Bipasha Basu & Dino Morea | Alka Yagnik & Udit Narayan,2010-02-22T07:49:02Z,PT2M32S,41070241,158380,2616
Tips Official,"Genius Official Trailer | Utkarsh Sharma, Ishita, Nawazuddin | Anil Sharma | Bollywood Movie 2018",2018-07-24T06:45:15Z,PT3M21S,40839689,286422,13145
Tips Official,"Heeriye Song Lyrical Video - Race 3 | Salman Khan, Jacqueline | Meet Bros ft.Deep Money, Neha Bhasin",2018-05-22T06:30:01Z,PT5M32S,40651575,256326,12991
Tips Official,Jeene Laga Hoon Song Video | Ramaiya Vastavaiya | Girish Kumar & Shruti Haasan | Atif & Shreya,2013-05-11T06:30:05Z,PT2M8S,40335914,208252,8357
Tips Official,"Tujhse Kahan Juda Hoon Main Lyrical - Genius | Utkarsh Sharma, Ishita | Himesh, Neeti Mohan, Vineet",2018-08-31T11:05:29Z,PT5M9S,39965239,287010,9177
Tips Official,"Taal Se Taal Lyrical - Taal | Aishwarya Rai, Akshaye Khanna, Anil Kapoor |A R Rahman | Anand Bakshi",2018-08-14T06:30:26Z,PT6M51S,39508775,303851,6076
Tips Official,Lat Lag Gayee  Song - Race 2 | Saif Ali Khan & Jacqueline | Benny Dayal & Shalmali | Pritam | Tips,2012-12-27T04:30:48Z,PT2M22S,38633415,65303,5782
Tips Official,Race 3 Official Trailer | Salman Khan | Remo D'Souza | Bollywood Movie 2018 | #Race3ThisEID,2018-05-15T11:45:00Z,PT3M32S,38367349,511921,55769
Tips Official,"Haan Maine Bhi Pyaar Kiya Jukebox - Full Album Songs | Akshay Kumar, Karisma Kapoor, Abhishek",2015-03-02T05:45:54Z,PT54M23S,36383563,117168,6849
Tips Official,"Chaha Hai Tujhko | Pearl V Puri, Sanjeeda Shaikh | Sanjeev Rathod | Sanjeev-Darshan | Arvindr Khaira",2022-08-25T05:30:13Z,PT4M43S,35889769,682977,28348
Tips Official,Kitne Dino Ke Baad Mile Ho - Lyrical | Govinda | Mamta Kulkarni | Alka Yagnik | Kumar Sanu | Andolan,2021-07-27T09:30:05Z,PT5M27S,35907702,96361,1281
Tips Official,"Jaana Ve Full Song Video - Aksar 2 | Arijit Singh, Mithoon | Zareen Khan, Abhinav | Bollywood Song",2018-08-01T11:07:20Z,PT4M5S,35727027,300729,5142
Tips Official,"Tujhse Kahan Juda Hoon Main | Genius | Utkarsh Sharma, Ishita | Himesh,  Neeti, Vineet | Love Songs",2018-08-27T13:22:42Z,PT3M1S,35374627,279470,8181
Tips Official,"Rang Jo Lagyo (Special Edition) - Ramaiya Vastavaiya | Girish Kumar, Shruti Haasan | Atif & Shreya",2013-10-05T11:32:05Z,PT4M8S,35211790,418040,5328
Tips Official,Woh Kisna Hai - Lyrical | Krishna Janmashtami Special | Sukhwinder Singh | Kisna,2019-01-17T09:28:34Z,PT6M11S,34556811,336802,5284
Tips Official,Ek Bewafaa - Full Song | Sameer Khan | Siddharth Gupta | Krystle D Souza | Bharat Goel | Kaushal K,2021-05-05T10:00:16Z,PT3M53S,34349853,359686,17603
Tips Official,Tu Na Jaa Mere Baadshah Lyrical-  Khuda Gawah | Amitabh Bachchan & Sridevi | Alka  & Mohammad,2018-10-13T06:30:00Z,PT5M35S,33266397,215233,3925
Tips Official,90's Sad Song | Khali Dil Nahin | Kachche Dhaage | Ajay Devgan | Alka Yagnik | Hans Raj Hans,2019-01-19T09:17:17Z,PT2M52S,32952091,121630,2171
Tips Official,"Dil Hai Tumhaara Jukebox | Arjun Rampal, Preity Zinta, Nadeem Shravan",2014-12-08T05:30:02Z,PT43M43S,32727567,103779,8067
Tips Official,"OLE OLE 2.0 - Jawaani Jaaneman | Saif Ali Khan | Tabu | Alaya F | Amit Mishra, Tanishk Bagchi",2020-01-22T06:30:01Z,PT1M50S,32673978,320418,21528
Tips Official,Piya O Re Piya (Sad) - Video Song | Tere Naal Love Ho Gaya | Riteish Deshmukh & Genelia D'Souza,2012-03-06T07:03:54Z,PT2M11S,32563117,392906,6360
Tips Official,Audio Jukebox | Soldier Movie | Bobby Deol | Preity Zinta | Anu Malik | Sameer | 90s Bollywood Hits,2014-01-03T10:41:43Z,PT47M43S,32312448,107378,4485
Tips Official,"Holi Biraj Ma  Song Video - Genius | Utkarsh Sharma, Ishita | Jubin Nautiyal, Himesh Reshammiya",2018-08-06T04:30:02Z,PT3M5S,32114738,306710,8799
Tips Official,"Mera Mann (Lyrical Video) | Aamir Khan | Manisha Koirala | Udit N, Alka Y | Mann Movie | Tips",2021-03-13T09:30:04Z,PT4M47S,31695447,146444,1464
Tips Official,Teri Meri Kahani OFFICIAL Song - Happy Hardy And Heer | Himesh Reshammiya & Ranu Mondal | Sonia Mann,2019-09-11T08:30:14Z,PT5M17S,31070501,572568,26634
